time_bins,age_median,mat,map,wmm,cmm,wmmcmm,wetmon,drymon,wetdry
Anisian,244.0684593,13.57218605,1.06309435,22.13543721,6.014317733,16.12111948,1.490700373,0.677930068,0.812770306
Artinskian,286.8,28.44181094,0.296123473,29.93886771,26.06995469,3.868913021,0.792080882,0.010851142,0.78122974
Asselian,296.096,11.74044667,3.5328411,12.60308,10.61478,1.9883,5.778464073,1.51107952,4.267384553
Capitanian,261.5598165,-2.444644037,1.252861891,11.0168422,-13.09421284,24.11105505,2.020821916,0.913160293,1.107661623
Carnian,231.9037037,24.17398025,1.924075034,27.40213868,20.93423251,6.467906173,3.232759651,0.631016399,2.601743252
Changhsingian,253.00345,21.65127,0.902331818,27.911245,16.21223,11.699015,1.019595617,0.754662376,0.264933241
Hettangian,200.45,21.60502787,1.450443676,32.87613279,10.7162541,22.15987869,2.164925799,0.518775696,1.646150103
Induan,250.0317692,-1.572874359,1.038017884,26.70277436,-26.27274017,52.97551453,1.902068167,0.463125953,1.438942214
Kungurian,278.95,23.41701757,0.553246219,25.23121081,19.84096081,5.39025,1.366519311,0.036887586,1.329631725
Ladinian,239.3420833,13.09283583,1.729636057,27.3348725,1.193776667,26.14109583,2.344482938,0.628879463,1.715603475
Norian,217.5776367,27.03029824,1.903795058,30.37689287,24.33400381,6.042889063,3.147549104,0.608601871,2.538947233
Olenekian,248.7667969,8.900449219,1.525764079,10.27455234,6.154563281,4.119989062,2.242400527,0.926201373,1.316199153
Rhaetian,204.9104167,24.48890893,2.418243323,32.5919119,15.57525417,17.01665774,4.318782701,0.934301307,3.384481394
Roadian,269.4959524,21.31332619,1.439173912,25.78557857,15.63915,10.14642857,2.445522293,1.002477983,1.44304431
Wordian,265.47075,3.183055,2.173190495,5.21419,1.366335,3.847855,2.742615735,1.57404025,1.168575485
Wuchiapingian,255.8949698,7.944279266,1.510060926,39.87992376,-19.04572009,58.92564384,1.811412847,1.190361327,0.62105152
