time_bins,age_median,mat,map,wmm,cmm,wmmcmm,wetmon,drymon,wetdry
Anisian,243.953653,-0.411447489,1.101592679,23.55387489,-21.28799726,44.84187215,1.762653862,0.705240356,1.057413505
Artinskian,285.4875,23.96424904,1.113407203,25.27507692,22.34349327,2.931583654,2.223679054,0.164767383,2.058911672
Asselian,293.5612821,24.32994487,0.320353539,25.61251282,21.71272949,3.899783333,0.826772927,0.00595472,0.820818207
Capitanian,261.5536962,-7.369575443,1.26588404,15.64385595,-25.74953114,41.39338709,2.519181318,0.618585415,1.900595904
Carnian,232.0516129,12.06874839,2.180665563,26.62033065,-2.273814516,28.89414516,2.825357504,0.957400133,1.867957371
Changhsingian,253.021,2.90745,0.704774291,5.383,0.755004545,4.627995455,1.312052195,0.45057238,0.861479815
Induan,249.8264789,-4.168568582,0.90924245,37.71592835,-40.15460345,77.8705318,1.771928354,0.343196357,1.428731996
Kungurian,279.2876623,24.56146494,0.499732106,26.28601299,20.97299091,5.313022078,1.373928623,0.000354552,1.373574071
Ladinian,239.4951064,10.05892085,0.882089726,44.61157872,-23.11843362,67.73001234,1.385637765,0.123814711,1.261823054
Norian,217.7030726,19.85909888,0.668734221,38.84295698,0.200322905,38.64263408,1.049186657,0.134476907,0.91470975
Olenekian,248.1763158,-7.527689474,0.851888042,21.09034737,-32.53902105,53.62936842,1.452149652,0.404171216,1.047978436
Rhaetian,204.95,22.30247412,2.365230371,35.96457412,8.28094,27.68363412,4.519842841,0.978697835,3.541145005
Roadian,269.5893182,18.52944091,1.53411238,25.44531364,10.75566545,14.68964818,1.921088405,0.805765326,1.115323079
Sakmarian,290.46,21.99172273,0.611072543,23.56855909,18.59342273,4.975136364,1.363417577,0.015331554,1.348086023
Wordian,264.5530435,1.455761957,2.387749651,2.919111957,-0.235171739,3.154283696,2.898568426,1.868505339,1.030063088
Wuchiapingian,256.5232261,-2.03460751,1.08952082,38.13779355,-36.25841167,74.39620522,1.887036429,0.532699081,1.354337348
