genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Acerosodontosaurus,-50.09196,-50.09196,0,0,0,1,0,0.0,-0.3179518273738846
Acrodenta,5.137181,5.137181,0,0,1,0,0,0.0,-0.3179518273738846
Adelosaurus,26.1672,26.1672,0,1,0,0,0,0.0,-0.3179518273738846
Aenigmasaurus,-60.88067,-60.88067,0,0,0,1,0,0.0,-0.3179518273738846
Aenigmastropheus,-47.78411,-47.78411,0,0,0,1,0,0.0,-0.3179518273738846
Agkistrognathus,31.61801,31.61801,0,1,0,0,0,0.0,-0.3179518273738846
Ammorhynchus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.24450593047704175
Amotosaurus,22.98052,27.06795,0,1,1,0,0,4.087430000000001,2.6703266827895285e-07
Anarosaurus,26.46257,28.4265,0,1,0,0,0,1.9639300000000013,-0.1651820779793111
Anisodontosaurus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.24450593047704175
Anomoiodon,11.92386,26.46257,0,1,1,0,0,14.53871,0.8129821077563789
Anshunsaurus,18.78245,18.78245,0,0,1,0,0,0.0,-0.3179518273738846
Antarctanax,-76.62466,-76.62466,0,0,0,0,1,0.0,-0.3179518273738846
Anthodon,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.8780640294788764
Archeopelta,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Archosaurus,43.07523,46.3931,0,1,0,0,0,3.317869999999999,-0.05986209483567134
Arganaceras,5.137181,5.137181,0,0,1,0,0,0.0,-0.3179518273738846
Arizonasaurus,7.907044,9.506042,0,0,1,0,0,1.5989980000000008,-0.19356932711042094
Asilisaurus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Askeptosaurus,18.78245,20.93788,0,0,1,0,0,2.155429999999999,-0.15028571863398796
Asperoris,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3179518273738846
Atopodentatus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Augustaburiania,41.16511,57.37442,0,1,0,0,0,16.209310000000002,0.9429343684472257
Augustasaurus,16.03868,16.03868,0,0,1,0,0,0.0,-0.3179518273738846
Australothyris,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3179518273738846
Baisesaurus,9.647978,9.647978,0,0,1,0,0,0.0,-0.3179518273738846
Barasaurus,-47.63135,-37.33496,0,0,0,1,0,10.296389999999995,0.48298146452999746
Barberenasuchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Barracudasauroides,12.57983,12.57983,0,0,1,0,0,0.0,-0.3179518273738846
Barracudasaurus,12.57983,15.06738,0,0,1,0,0,2.4875500000000006,-0.12445084205033886
Bashkyroleter,41.97247,42.68761,0,1,0,0,0,0.7151399999999981,-0.26232267634404394
Batrachotomus,27.72418,27.72418,0,1,0,0,0,0.0,-0.3179518273738846
Belebey,39.6978,42.6534,0,1,0,0,0,2.955599999999997,-0.08804227290371473
Benggwigwishingasuchus,16.03868,16.03868,0,0,1,0,0,0.0,-0.3179518273738846
Bentonyx,21.05439,21.05439,0,0,1,0,0,0.0,-0.3179518273738846
Besanosaurus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3179518273738846
Blezingeria,26.46257,26.46257,0,1,0,0,0,0.0,-0.3179518273738846
Blomosaurus,45.21636,45.21636,0,1,0,0,0,0.0,-0.3179518273738846
Boreopricea,52.70026,52.70026,0,1,0,0,0,0.0,-0.3179518273738846
Bradysaurus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3179518273738846
Brasinorhynchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Bromsgroveia,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.22821195813768502
Broomia,-65.18245,-62.75164,0,0,0,1,0,2.430810000000001,-0.1288645205320811
Bunostegos,-9.576991,-9.576991,0,0,1,0,0,0.0,-0.3179518273738846
Bystrowisuchus,41.16511,41.16511,0,1,0,0,0,0.0,-0.3179518273738846
Candelaria,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3179518273738846
Captorhinus,-47.78411,-47.78411,0,0,0,1,0,0.0,-0.3179518273738846
Cartorhynchus,32.10397,32.10397,0,1,0,0,0,0.0,-0.3179518273738846
Ceresiosaurus,12.62107,22.30036,0,0,1,0,0,9.679290000000002,0.4349786271827446
Chalishevia,51.56832,51.56832,0,1,0,0,0,0.0,-0.3179518273738846
Chanaresuchus,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3179518273738846
Chaohusaurus,15.79962,32.10397,0,1,1,0,0,16.304349999999996,0.9503273187980321
Chasmatosuchus,45.89776,49.80777,0,1,0,0,0,3.9100099999999998,-0.013800840408831897
Chinchenia,15.06738,15.06738,0,0,1,0,0,0.0,-0.3179518273738846
Cladeiodon,29.56131,29.56131,0,1,0,0,0,0.0,-0.3179518273738846
Clarazia,20.93788,20.93788,0,0,1,0,0,0.0,-0.3179518273738846
Claudiosaurus,-47.63135,-47.63135,0,0,0,1,0,0.0,-0.3179518273738846
Coartaredens,21.05439,21.05439,0,0,1,0,0,0.0,-0.3179518273738846
Coelodontognathus,41.16511,41.16511,0,1,0,0,0,0.0,-0.3179518273738846
Coelurosauravus,-50.09196,27.6348,0,1,0,1,0,77.72676,5.7282400666611135
Coletta,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.3179518273738846
Collilongus,29.45002,29.45002,0,1,0,0,0,0.0,-0.3179518273738846
Contectopalatus,20.93788,20.93788,0,0,1,0,0,0.0,-0.3179518273738846
Corosaurus,16.0684,16.0684,0,0,1,0,0,0.0,-0.3179518273738846
Cosesaurus,12.62107,12.62107,0,0,1,0,0,0.0,-0.3179518273738846
Ctenosauriscus,28.45267,28.45267,0,1,0,0,0,0.0,-0.3179518273738846
Cyamodus,14.2073,31.13755,0,1,1,0,0,16.93025,0.9990146885851754
Cymatosaurus,22.98052,29.8481,0,1,1,0,0,6.86758,0.2162619559825408
