genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Abajudon,-56.95375,-56.95375,0,0,0,1,0,0.0,-0.30335579218285075
Abdalodon,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.30335579218285075
Aelurognathus,-63.15948,-29.13487,0,0,0,1,0,34.02461,1.6344919742216963
Aelurosaurus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.1718659746707467
Aelurosuchus,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.30335579218285075
Akidnognathus,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.1718659746707467
Aleodon,-49.04351,-46.55859,0,0,0,1,0,2.4849199999999954,-0.16182891879050393
Alepognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Alopecideops,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Alopecodon,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Alopecognathus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Alopecorhinus,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Aloposaurus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.5723376077457153
Alrausuchus,42.68761,42.68761,0,1,0,0,0,0.0,-0.30335579218285075
Andescynodon,-49.50839,-49.50839,0,0,0,1,0,0.0,-0.30335579218285075
Angelosaurus,2.689371,2.689371,0,0,1,0,0,0.0,-0.30335579218285075
Angonisaurus,-74.17096,-46.55859,0,0,0,1,1,27.61236999999999,1.2692873484625793
Annatherapsidus,44.03487,46.3931,0,1,0,0,0,2.358229999999999,-0.16904445876365234
Anningia,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Anomocephalus,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.30335579218285075
Antecosuchus,48.82432,48.82432,0,1,0,0,0,0.0,-0.30335579218285075
Anteosaurus,-62.75164,40.12712,0,1,0,1,0,102.87876,5.556031729862793
Archaeosyodon,44.97893,44.97893,0,1,0,0,0,0.0,-0.30335579218285075
Arctognathus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.5723376077457153
Arctops,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.1718659746707467
Aulacephalodon,-63.15948,-57.40221,0,0,0,1,0,5.757270000000005,0.024545477224437576
Aulacocephalus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.30335579218285075
Australobarbarus,44.38761,44.38761,0,1,0,0,0,0.0,-0.30335579218285075
Australosyodon,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.30335579218285075
Avenantia,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Basilodon,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.1718659746707467
Bauria,-63.33496,-61.37537,0,0,0,1,0,1.9595900000000057,-0.19174871999102558
Beishanodon,47.95446,47.95446,0,1,0,0,0,0.0,-0.30335579218285075
Biarmosuchoides,40.69209,40.69209,0,1,0,0,0,0.0,-0.30335579218285075
Biarmosuchus,43.11683,44.97893,0,1,0,0,0,1.862099999999998,-0.1973011944719026
Biseridens,39.6978,39.6978,0,1,0,0,0,0.0,-0.30335579218285075
Blattoidealestes,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.30335579218285075
Bolotridon,-63.33496,-63.33496,0,0,0,1,0,0.0,-0.30335579218285075
Bonacynodon,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.30335579218285075
Brachyprosopus,-65.24442,-62.75164,0,0,0,1,0,2.4927800000000033,-0.16138125801073439
Bulbasaurus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.30335579218285075
Bullacephalus,-65.24442,-65.24442,0,0,0,1,0,0.0,-0.30335579218285075
Burnetia,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.30335579218285075
Candelariodon,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.30335579218285075
Caodeyao,38.44569,38.44569,0,1,0,0,0,0.0,-0.30335579218285075
Cerdorhinus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.30335579218285075
Cerdosuchus,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.30335579218285075
Charassognathus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.30335579218285075
Chiniquodon,-49.98075,-47.29913,0,0,0,1,0,2.6816200000000023,-0.15062600843673976
Choerosaurus,-60.85079,-60.85079,0,0,0,1,0,0.0,-0.30335579218285075
Chthomaloporus,44.97893,44.97893,0,1,0,0,0,0.0,-0.30335579218285075
Chthonosaurus,43.51609,43.51609,0,1,0,0,0,0.0,-0.30335579218285075
Cistecephaloides,-63.15948,-63.15948,0,0,0,1,0,0.0,-0.30335579218285075
Cistecephalus,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.5723376077457153
Cistecynodon,-61.37537,-61.37537,0,0,0,1,0,0.0,-0.30335579218285075
Clelandina,-63.15948,-60.85079,0,0,0,1,0,2.3086899999999986,-0.1718659746707467
Colobodectes,-62.75164,-58.47538,0,0,0,1,0,4.276260000000001,-0.05980440718343095
