genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Abajudon	-0.3033557921828507	0	0	0	1	0
Abdalodon	-0.3033557921828507	0	0	0	1	0
Aelurognathus	1.6344919742216963	0	0	0	1	0
Aelurosaurus	-0.1718659746707467	0	0	0	1	0
Aelurosuchus	-0.3033557921828507	0	0	0	1	0
Akidnognathus	-0.1718659746707467	0	0	0	1	0
Aleodon	-0.1618289187905039	0	0	0	1	0
Alepognathus	-0.3033557921828507	0	0	0	1	0
Alopecideops	-0.3033557921828507	0	0	0	1	0
Alopecodon	-0.3033557921828507	0	0	0	1	0
Alopecognathus	-0.3033557921828507	0	0	0	1	0
Alopecorhinus	-0.3033557921828507	0	0	0	1	0
Aloposaurus	0.5723376077457153	0	0	0	1	0
Alrausuchus	-0.3033557921828507	0	1	0	0	0
Andescynodon	-0.3033557921828507	0	0	0	1	0
Angelosaurus	-0.3033557921828507	0	0	1	0	0
Angonisaurus	1.2692873484625793	0	0	0	1	1
Annatherapsidus	-0.1690444587636523	0	1	0	0	0
Anningia	-0.3033557921828507	0	0	0	1	0
Anomocephalus	-0.3033557921828507	0	0	0	1	0
Antecosuchus	-0.3033557921828507	0	1	0	0	0
Anteosaurus	5.556031729862793	0	1	0	1	0
Archaeosyodon	-0.3033557921828507	0	1	0	0	0
Arctognathus	0.5723376077457153	0	0	0	1	0
Arctops	-0.1718659746707467	0	0	0	1	0
Aulacephalodon	0.0245454772244375	0	0	0	1	0
Aulacocephalus	-0.3033557921828507	0	0	0	1	0
Australobarbarus	-0.3033557921828507	0	1	0	0	0
Australosyodon	-0.3033557921828507	0	0	0	1	0
Avenantia	-0.3033557921828507	0	0	0	1	0
Basilodon	-0.1718659746707467	0	0	0	1	0
Bauria	-0.1917487199910255	0	0	0	1	0
Beishanodon	-0.3033557921828507	0	1	0	0	0
Biarmosuchoides	-0.3033557921828507	0	1	0	0	0
Biarmosuchus	-0.1973011944719026	0	1	0	0	0
Biseridens	-0.3033557921828507	0	1	0	0	0
Blattoidealestes	-0.3033557921828507	0	0	0	1	0
Bolotridon	-0.3033557921828507	0	0	0	1	0
Bonacynodon	-0.3033557921828507	0	0	0	1	0
Brachyprosopus	-0.1613812580107343	0	0	0	1	0
Bulbasaurus	-0.3033557921828507	0	0	0	1	0
Bullacephalus	-0.3033557921828507	0	0	0	1	0
Burnetia	-0.3033557921828507	0	0	0	1	0
Candelariodon	-0.3033557921828507	0	0	0	1	0
Caodeyao	-0.3033557921828507	0	1	0	0	0
Cerdorhinus	-0.3033557921828507	0	0	0	1	0
Cerdosuchus	-0.3033557921828507	0	0	0	1	0
Charassognathus	-0.3033557921828507	0	0	0	1	0
Chiniquodon	-0.1506260084367397	0	0	0	1	0
Choerosaurus	-0.3033557921828507	0	0	0	1	0
Chthomaloporus	-0.3033557921828507	0	1	0	0	0
Chthonosaurus	-0.3033557921828507	0	1	0	0	0
Cistecephaloides	-0.3033557921828507	0	0	0	1	0
Cistecephalus	0.5723376077457153	0	0	0	1	0
Cistecynodon	-0.3033557921828507	0	0	0	1	0
Clelandina	-0.1718659746707467	0	0	0	1	0
Colobodectes	-0.0598044071834309	0	0	0	1	0
Compsodon	0.5723376077457153	0	0	0	1	0
Cotylorhynchus	-0.3033557921828507	0	0	1	0	0
Counillonia	-0.3033557921828507	0	0	1	0	0
Cricodon	0.6521305787961628	0	0	0	1	0
Criocephalosaurus	-0.3033557921828507	0	0	0	1	0
Cromptodon	-0.3033557921828507	0	0	0	1	0
Cryptocynodon	-0.1069443402876664	0	0	0	1	0
Cynariognathus	-0.3033557921828507	0	0	0	1	0
Cyniscops	-0.3033557921828507	0	0	0	1	0
Cynognathus	1.2692873484625793	0	0	0	1	1
Cynosaurus	-0.1718659746707467	0	0	0	1	0
Cyonosaurus	-0.1509193230697946	0	0	0	1	0
Dalongkoua	-0.3033557921828507	0	1	0	0	0
Daptocephalus	0.591823381611161	0	0	0	1	0
Daqingshanodon	-0.3033557921828507	0	1	0	0	0
Davletkulia	-0.3033557921828507	0	1	0	0	0
Delectosaurus	-0.1335402886755525	0	1	0	0	0
Delphinognathus	-0.3033557921828507	0	0	0	1	0
Deuterosaurus	-0.1916507585990155	0	1	0	0	0
Diademodon	1.2692873484625793	0	0	0	1	1
Dicynodon	5.881732285207705	0	1	0	1	0
Dicynodontipus	-0.3033557921828507	0	0	0	1	0
Dicynodontoides	0.8882596797218537	0	0	0	1	0
Digalodon	-0.1718659746707467	0	0	0	1	0
Diictodon	6.65360027863654	0	1	0	1	0
Diictodontoides	-0.3033557921828507	0	0	0	1	0
