Species	Status	min_age	max_age
Parabradysaurus	extinct	266.9	276.5
Parabradysaurus	extinct	266.9	276.5
Kamagorgon	extinct	266.9	276.5
Kamagorgon	extinct	266.9	276.5
Microsyodon	extinct	266.9	276.5
Biarmosuchus	extinct	266.9	276.5
Microsyodon	extinct	266.9	276.5
Phreatophasma	extinct	266.9	276.5
Syodon	extinct	273.01	276.5
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Reiszia	extinct	264.28	274.4
Reiszia	extinct	264.28	274.4
Nikkasaurus	extinct	264.28	274.4
Nikkasaurus	extinct	264.28	274.4
Niaftasuchus	extinct	264.28	274.4
Alrausuchus	extinct	264.28	274.4
Alrausuchus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Pyozia	extinct	264.28	274.4
Niaftasuchus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Alrausuchus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Niaftasuchus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Alrausuchus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Mesenosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Ennatosaurus	extinct	264.28	274.4
Watongia	extinct	264.28	273.01
Angelosaurus	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Varanodon	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Angelosaurus	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Cotylorhynchus	extinct	264.28	273.01
Phthinosaurus	extinct	266.9	273.01
Estemmenosuchus	extinct	266.9	273.01
Davletkulia	extinct	266.9	273.01
Raranimus	extinct	266.9	273.01
Biseridens	extinct	266.9	273.01
Biseridens	extinct	266.9	273.01
Biseridens	extinct	266.9	273.01
Sinophoneus	extinct	266.9	273.01
Sinophoneus	extinct	266.9	273.01
Sinophoneus	extinct	266.9	273.01
Sinophoneus	extinct	266.9	273.01
Sinophoneus	extinct	266.9	273.01
Dicynodon	extinct	256.8	266.9
Dicynodon	extinct	256.8	266.9
Ennatosaurus	extinct	259.51	266.9
Lalieudorhynchus	extinct	259.51	266.9
Abajudon	extinct	259.51	266.9
Abajudon	extinct	259.51	266.9
Abajudon	extinct	259.51	266.9
Abajudon	extinct	259.51	266.9
Abajudon	extinct	259.51	266.9
Syodon	extinct	259.51	266.9
Porosteognathus	extinct	259.51	266.9
Porosteognathus	extinct	259.51	266.9
Ulemica	extinct	259.51	266.9
Ulemosaurus	extinct	259.51	266.9
Deuterosaurus	extinct	259.51	266.9
Deuterosaurus	extinct	259.51	266.9
Deuterosaurus	extinct	259.51	266.9
Titanophoneus	extinct	259.51	266.9
Anteosaurus	extinct	259.51	266.9
Titanophoneus	extinct	259.51	266.9
Syodon	extinct	259.51	266.9
Notosyodon	extinct	259.51	266.9
Ulemica	extinct	259.51	266.9
Ulemosaurus	extinct	259.51	266.9
Deuterosaurus	extinct	259.51	266.9
Microurania	extinct	259.51	266.9
Perplexisaurus	extinct	259.51	266.9
Titanophoneus	extinct	259.51	266.9
Syodon	extinct	259.51	266.9
Syodon	extinct	259.51	266.9
Pampaphoneus	extinct	259.51	266.9
Rastodon	extinct	259.51	266.9
Brachyprosopus	extinct	259.51	266.9
Bullacephalus	extinct	259.51	266.9
Porosteognathus	extinct	259.51	266.9
Deuterosaurus	extinct	259.51	266.9
Syodon	extinct	259.51	266.9
Ulemosaurus	extinct	259.51	266.9
Titanophoneus	extinct	259.51	266.9
Ulemosaurus	extinct	259.51	266.9
Ulemica	extinct	259.51	266.9
Ulemosaurus	extinct	259.51	266.9
Pampaphoneus	extinct	264.28	266.9
