id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
1057,690412,690412,24.55053,Rhombopholis,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1058,690413,690413,24.55053,Langeronyx,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1059,725442,725442,26.46257,Teratosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1060,797372,797372,20.93788,Macrocnemus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1061,797372,797372,20.93788,Macrocnemus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1062,797372,797372,20.93788,Macrocnemus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1063,797953,797953,20.93788,Macrocnemus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1064,950449,950449,20.93788,Tanystropheus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1065,966703,966703,20.78674,Hupehsuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1066,966703,966703,20.78674,Hupehsuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1067,966703,966703,20.78674,Hupehsuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1068,966703,966703,20.78674,Hupehsuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1069,1091664,1091664,26.46257,Tanystropheus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1070,1091751,1091751,26.46257,Tanystropheus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1071,1277671,1277671,20.93788,Eusaurosphargis,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1072,1374079,1374079,26.46257,Tanystropheus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1073,1374080,1374080,26.46257,Thecodontosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1074,1382838,1382838,-47.42171,Decuriasuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1075,1412687,1412687,20.78674,Eretmorhipis,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1076,1418845,1418845,20.78674,Nanchangosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1077,1561500,1561500,20.93788,Tanystropheus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1078,1639892,1639892,8.561859,Anisodontosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1079,1639894,1639894,9.506042,Anisodontosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1080,299716,299716,43.04599,Scutosaurus,264.28,254.14,Lopingian,"(264.28, 254.14)"
1081,1320530,1320530,-62.75164,Bradysaurus,264.28,254.14,Lopingian,"(264.28, 254.14)"
1311,N206,N206,-61.37537,Eohyosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1312,N207,N207,-61.37537,Eohyosaurus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1313,N208,N208,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1314,N209,N209,-63.33496,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1315,N210,N210,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1316,N211,N211,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1317,N212,N212,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1318,N213,N213,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1319,N214,N214,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1320,N215,N215,-61.37537,Erythrosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1321,N358,N358,-61.37537,Mesosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1322,N359,N359,-61.37537,Mesosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1323,N360,N360,-61.37537,Mesosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1324,N361,N361,-61.37537,Mesosuchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1325,N485,N485,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1326,N486,N486,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1327,N487,N487,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1328,N488,N488,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1329,N489,N489,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1330,N490,N490,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1331,N491,N491,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1332,N492,N492,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1333,N493,N493,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1334,N494,N494,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1335,N495,N495,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1336,N496,N496,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1337,N497,N497,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1338,N498,N498,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1339,N499,N499,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1340,N500,N500,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1341,N501,N501,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1342,N502,N502,-46.55859,Stenaulorhynchus,246.7,237.0,Middle Triassic,"(246.7, 237.0)"
1344,285740,285740,40.04971,Eumetabolodon,251.2,242.0,Middle Triassic,"(251.2, 242.0)"
1345,285752,285752,40.04971,Eumetabolodon,251.2,242.0,Middle Triassic,"(251.2, 242.0)"
1346,833134,833134,40.04971,Pentaedrusaurus,251.2,242.0,Middle Triassic,"(251.2, 242.0)"
1347,890990,890990,40.04971,Xilousuchus,251.2,242.0,Middle Triassic,"(251.2, 242.0)"
1348,902425,902425,40.04971,Fugusuchus,251.2,242.0,Middle Triassic,"(251.2, 242.0)"
1357,287287,287287,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1358,287715,287715,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1359,287715,287715,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1360,287715,287715,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1361,287747,287747,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1362,287764,287764,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1363,287827,287827,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1364,287904,287904,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1365,287929,287929,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1366,289331,289331,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1367,289337,289337,2.689371,Rothianiscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1368,745278,745278,42.68761,Nycteroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1369,792642,792642,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1370,792642,792642,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1371,792642,792642,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1372,792642,792642,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1373,792722,792722,2.689371,Macroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1374,837590,837590,42.68761,Lanthaniscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1375,1374680,1374680,42.68761,Lanthaniscus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1376,1374681,1374681,42.68761,Bashkyroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1377,1374682,1374682,42.68761,Nycteroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1378,1374686,1374686,42.68761,Macroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1379,1374687,1374687,42.68761,Bashkyroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1380,1374690,1374690,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1381,1374692,1374692,42.68761,Macroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1382,1374692,1374692,42.68761,Macroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1383,1374693,1374693,42.68761,Bashkyroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1384,1374695,1374695,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1385,1374698,1374698,42.68761,Bashkyroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1386,1374699,1374699,42.68761,Lanthanolania,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1387,1374701,1374701,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1388,1374703,1374703,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1389,1374705,1374705,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1390,1374705,1374705,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1391,1385576,1385576,42.68761,Nyctiphruretus,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1392,1385577,1385577,42.68761,Bashkyroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1393,1385578,1385578,42.68761,Macroleter,274.4,264.28,Guadalupian,"(274.4, 264.28)"
1401,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1402,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1403,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1404,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1405,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1406,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1407,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1408,749595,749595,-60.85079,Milleropsis,259.51,251.902,Lopingian,"(259.51, 251.902)"
1409,749610,749610,-60.85079,Milleretta,259.51,251.902,Lopingian,"(259.51, 251.902)"
1410,749933,749933,-60.85079,Milleretta,259.51,251.902,Lopingian,"(259.51, 251.902)"
1411,749933,749933,-60.85079,Milleretta,259.51,251.902,Lopingian,"(259.51, 251.902)"
