Time,mean_z_trans,Mod_R_deltaTMyr_z_trans
232.25,0.382853707,-1.035018983
233,0.382853707,-1.035018983
234,0.382853707,-1.035018983
235,0.382853707,-1.035018983
236,0.382853707,-1.035018983
237,0.382853707,-1.035018983
238,0.382853707,-1.035018983
239,0.742399336,0.831026493
240,0.742399336,0.831026493
241,0.742399336,0.831026493
242,0.742399336,0.831026493
243,0.742399336,0.831026493
244,0.94087146,0.084910612
245,0.94087146,0.084910612
246,0.94087146,0.084910612
247,0.94087146,0.084910612
248,0.94087146,0.084910612
249,0.94087146,0.084910612
250,0.94087146,0.084910612
250.5,1.590873654,1.430727745
251,1.590873654,1.430727745
252,1.590873654,1.430727745
253,1.590873654,1.430727745
254,1.590873654,1.430727745
255,1.590873654,1.430727745
256,1.590873654,1.430727745
257,-0.427245263,-1.475899184
258,-0.427245263,-1.475899184
259,-0.427245263,-1.475899184
260,-0.427245263,-1.475899184
261,-0.427245263,-1.475899184
262,-0.427245263,-1.475899184
263,-0.427245263,-1.475899184
264,-0.427245263,-1.475899184
265,-0.427245263,-1.475899184
265.5,-1.435390012,1.184505421
266,-1.435390012,1.184505421
267,-1.435390012,1.184505421
268,-1.435390012,1.184505421
269,-1.435390012,1.184505421
270,-1.435390012,1.184505421
270.5,-0.767960511,-0.712796116
271,-0.767960511,-0.712796116
272,-0.767960511,-0.712796116
273,-0.767960511,-0.712796116
274,-0.767960511,-0.712796116
275,-0.767960511,-0.712796116
276,-0.767960511,-0.712796116
277,-0.767960511,-0.712796116
278,-0.767960511,-0.712796116
279,-0.767960511,-0.712796116
280,-0.767960511,-0.712796116
281,-0.767960511,-0.712796116
282,-0.767960511,-0.712796116
283,-0.767960511,-0.712796116
284,-0.767960511,-0.712796116
285,-0.767960511,-0.712796116
286,-0.767960511,-0.712796116
287,-0.767960511,-0.712796116
288,-0.767960511,-0.712796116
289,-0.767960511,-0.712796116
290,-0.767960511,-0.712796116
291,-0.767960511,-0.712796116
292,-1.026402371,-0.307455988
293,-1.026402371,-0.307455988
294,-1.026402371,-0.307455988
295,-1.026402371,-0.307455988
296,-1.026402371,-0.307455988
297,-1.026402371,-0.307455988
298,-1.026402371,-0.307455988
299,-1.026402371,-0.307455988
300,-1.026402371,-0.307455988
