Time	mean_z_trans	Mod_R_deltaTMyr_z_trans
232.25	0.382853707	-1.035018983
232.3	0.382853707	-1.035018983
232.4	0.382853707	-1.035018983
232.5	0.382853707	-1.035018983
232.6	0.382853707	-1.035018983
232.7	0.382853707	-1.035018983
232.8	0.382853707	-1.035018983
232.9	0.382853707	-1.035018983
233.0	0.382853707	-1.035018983
233.1	0.382853707	-1.035018983
233.2	0.382853707	-1.035018983
233.3	0.382853707	-1.035018983
233.4	0.382853707	-1.035018983
233.5	0.382853707	-1.035018983
233.6	0.382853707	-1.035018983
233.7	0.382853707	-1.035018983
233.8	0.382853707	-1.035018983
233.9	0.382853707	-1.035018983
234.0	0.382853707	-1.035018983
234.1	0.382853707	-1.035018983
234.2	0.382853707	-1.035018983
234.3	0.382853707	-1.035018983
234.4	0.382853707	-1.035018983
234.5	0.382853707	-1.035018983
234.6	0.382853707	-1.035018983
234.7	0.382853707	-1.035018983
234.8	0.382853707	-1.035018983
234.9	0.382853707	-1.035018983
235.0	0.382853707	-1.035018983
235.1	0.382853707	-1.035018983
235.2	0.382853707	-1.035018983
235.3	0.382853707	-1.035018983
235.4	0.382853707	-1.035018983
235.5	0.382853707	-1.035018983
235.6	0.382853707	-1.035018983
235.7	0.382853707	-1.035018983
235.8	0.382853707	-1.035018983
235.9	0.382853707	-1.035018983
236.0	0.382853707	-1.035018983
236.1	0.382853707	-1.035018983
236.2	0.382853707	-1.035018983
236.3	0.382853707	-1.035018983
236.4	0.382853707	-1.035018983
236.5	0.382853707	-1.035018983
236.6	0.382853707	-1.035018983
236.7	0.382853707	-1.035018983
236.8	0.382853707	-1.035018983
236.9	0.382853707	-1.035018983
237.0	0.382853707	-1.035018983
237.1	0.382853707	-1.035018983
237.2	0.382853707	-1.035018983
237.3	0.382853707	-1.035018983
237.4	0.382853707	-1.035018983
237.5	0.382853707	-1.035018983
237.6	0.382853707	-1.035018983
237.7	0.382853707	-1.035018983
237.8	0.382853707	-1.035018983
237.9	0.382853707	-1.035018983
238.0	0.382853707	-1.035018983
238.1	0.382853707	-1.035018983
238.2	0.382853707	-1.035018983
238.3	0.382853707	-1.035018983
238.4	0.382853707	-1.035018983
238.5	0.382853707	-1.035018983
238.6	0.382853707	-1.035018983
238.7	0.382853707	-1.035018983
238.8	0.382853707	-1.035018983
238.9	0.382853707	-1.035018983
239.0	0.742399336	0.831026493
239.1	0.742399336	0.831026493
239.2	0.742399336	0.831026493
239.3	0.742399336	0.831026493
239.4	0.742399336	0.831026493
239.5	0.742399336	0.831026493
239.6	0.742399336	0.831026493
239.7	0.742399336	0.831026493
239.8	0.742399336	0.831026493
239.9	0.742399336	0.831026493
240.0	0.742399336	0.831026493
240.1	0.742399336	0.831026493
240.2	0.742399336	0.831026493
240.3	0.742399336	0.831026493
240.4	0.742399336	0.831026493
240.5	0.742399336	0.831026493
240.6	0.742399336	0.831026493
240.7	0.742399336	0.831026493
240.8	0.742399336	0.831026493
240.9	0.742399336	0.831026493
241.0	0.742399336	0.831026493
241.1	0.742399336	0.831026493
241.2	0.742399336	0.831026493
241.3	0.742399336	0.831026493
241.4	0.742399336	0.831026493
241.5	0.742399336	0.831026493
241.6	0.742399336	0.831026493
241.7	0.742399336	0.831026493
241.8	0.742399336	0.831026493
241.9	0.742399336	0.831026493
242.0	0.742399336	0.831026493
242.1	0.742399336	0.831026493
242.2	0.742399336	0.831026493
242.3	0.742399336	0.831026493
242.4	0.742399336	0.831026493
242.5	0.742399336	0.831026493
242.6	0.742399336	0.831026493
242.7	0.742399336	0.831026493
242.8	0.742399336	0.831026493
242.9	0.742399336	0.831026493
243.0	0.742399336	0.831026493
243.1	0.742399336	0.831026493
243.2	0.742399336	0.831026493
243.3	0.742399336	0.831026493
243.4	0.742399336	0.831026493
243.5	0.742399336	0.831026493
243.6	0.742399336	0.831026493
243.7	0.742399336	0.831026493
243.8	0.742399336	0.831026493
243.9	0.742399336	0.831026493
244.0	0.94087146	0.084910612
244.1	0.94087146	0.084910612
244.2	0.94087146	0.084910612
244.3	0.94087146	0.084910612
244.4	0.94087146	0.084910612
244.5	0.94087146	0.084910612
244.6	0.94087146	0.084910612
244.7	0.94087146	0.084910612
244.8	0.94087146	0.084910612
244.9	0.94087146	0.084910612
245.0	0.94087146	0.084910612
245.1	0.94087146	0.084910612
245.2	0.94087146	0.084910612
245.3	0.94087146	0.084910612
245.4	0.94087146	0.084910612
245.5	0.94087146	0.084910612
245.6	0.94087146	0.084910612
245.7	0.94087146	0.084910612
245.8	0.94087146	0.084910612
245.9	0.94087146	0.084910612
246.0	0.94087146	0.084910612
246.1	0.94087146	0.084910612
246.2	0.94087146	0.084910612
246.3	0.94087146	0.084910612
246.4	0.94087146	0.084910612
246.5	0.94087146	0.084910612
246.6	0.94087146	0.084910612
246.7	0.94087146	0.084910612
246.8	0.94087146	0.084910612
246.9	0.94087146	0.084910612
247.0	0.94087146	0.084910612
247.1	0.94087146	0.084910612
247.2	0.94087146	0.084910612
247.3	0.94087146	0.084910612
247.4	0.94087146	0.084910612
247.5	0.94087146	0.084910612
247.6	0.94087146	0.084910612
247.7	0.94087146	0.084910612
247.8	0.94087146	0.084910612
247.9	0.94087146	0.084910612
248.0	0.94087146	0.084910612
248.1	0.94087146	0.084910612
248.2	0.94087146	0.084910612
248.3	0.94087146	0.084910612
248.4	0.94087146	0.084910612
248.5	0.94087146	0.084910612
248.6	0.94087146	0.084910612
248.7	0.94087146	0.084910612
248.8	0.94087146	0.084910612
248.9	0.94087146	0.084910612
249.0	0.94087146	0.084910612
249.1	0.94087146	0.084910612
249.2	0.94087146	0.084910612
249.3	0.94087146	0.084910612
249.4	0.94087146	0.084910612
249.5	0.94087146	0.084910612
249.6	0.94087146	0.084910612
249.7	0.94087146	0.084910612
249.8	0.94087146	0.084910612
249.9	0.94087146	0.084910612
250.0	0.94087146	0.084910612
250.1	0.94087146	0.084910612
250.2	0.94087146	0.084910612
250.3	0.94087146	0.084910612
250.4	0.94087146	0.084910612
250.5	1.590873654	1.430727745
250.6	1.590873654	1.430727745
250.7	1.590873654	1.430727745
250.8	1.590873654	1.430727745
250.9	1.590873654	1.430727745
251.0	1.590873654	1.430727745
251.1	1.590873654	1.430727745
251.2	1.590873654	1.430727745
251.3	1.590873654	1.430727745
251.4	1.590873654	1.430727745
251.5	1.590873654	1.430727745
251.6	1.590873654	1.430727745
251.7	1.590873654	1.430727745
251.8	1.590873654	1.430727745
251.9	1.590873654	1.430727745
252.0	1.590873654	1.430727745
252.1	1.590873654	1.430727745
252.2	1.590873654	1.430727745
252.3	1.590873654	1.430727745
252.4	1.590873654	1.430727745
252.5	1.590873654	1.430727745
252.6	1.590873654	1.430727745
252.7	1.590873654	1.430727745
252.8	1.590873654	1.430727745
252.9	1.590873654	1.430727745
253.0	1.590873654	1.430727745
253.1	1.590873654	1.430727745
253.2	1.590873654	1.430727745
253.3	1.590873654	1.430727745
253.4	1.590873654	1.430727745
253.5	1.590873654	1.430727745
253.6	1.590873654	1.430727745
253.7	1.590873654	1.430727745
253.8	1.590873654	1.430727745
253.9	1.590873654	1.430727745
254.0	1.590873654	1.430727745
254.1	1.590873654	1.430727745
254.2	1.590873654	1.430727745
254.3	1.590873654	1.430727745
254.4	1.590873654	1.430727745
254.5	1.590873654	1.430727745
254.6	1.590873654	1.430727745
254.7	1.590873654	1.430727745
254.8	1.590873654	1.430727745
254.9	1.590873654	1.430727745
255.0	1.590873654	1.430727745
255.1	1.590873654	1.430727745
255.2	1.590873654	1.430727745
255.3	1.590873654	1.430727745
255.4	1.590873654	1.430727745
255.5	1.590873654	1.430727745
255.6	1.590873654	1.430727745
255.7	1.590873654	1.430727745
255.8	1.590873654	1.430727745
255.9	1.590873654	1.430727745
256.0	1.590873654	1.430727745
256.1	1.590873654	1.430727745
256.2	1.590873654	1.430727745
256.3	1.590873654	1.430727745
256.4	1.590873654	1.430727745
256.5	1.590873654	1.430727745
256.6	1.590873654	1.430727745
256.7	1.590873654	1.430727745
256.8	1.590873654	1.430727745
256.9	1.590873654	1.430727745
257.0	-0.427245263	-1.475899184
257.1	-0.427245263	-1.475899184
257.2	-0.427245263	-1.475899184
257.3	-0.427245263	-1.475899184
257.4	-0.427245263	-1.475899184
257.5	-0.427245263	-1.475899184
257.6	-0.427245263	-1.475899184
257.7	-0.427245263	-1.475899184
257.8	-0.427245263	-1.475899184
257.9	-0.427245263	-1.475899184
258.0	-0.427245263	-1.475899184
258.1	-0.427245263	-1.475899184
258.2	-0.427245263	-1.475899184
258.3	-0.427245263	-1.475899184
258.4	-0.427245263	-1.475899184
258.5	-0.427245263	-1.475899184
258.6	-0.427245263	-1.475899184
258.7	-0.427245263	-1.475899184
258.8	-0.427245263	-1.475899184
258.9	-0.427245263	-1.475899184
259.0	-0.427245263	-1.475899184
259.1	-0.427245263	-1.475899184
259.2	-0.427245263	-1.475899184
259.3	-0.427245263	-1.475899184
259.4	-0.427245263	-1.475899184
259.5	-0.427245263	-1.475899184
259.6	-0.427245263	-1.475899184
259.7	-0.427245263	-1.475899184
259.8	-0.427245263	-1.475899184
259.9	-0.427245263	-1.475899184
260.0	-0.427245263	-1.475899184
260.1	-0.427245263	-1.475899184
260.2	-0.427245263	-1.475899184
260.3	-0.427245263	-1.475899184
260.4	-0.427245263	-1.475899184
260.5	-0.427245263	-1.475899184
260.6	-0.427245263	-1.475899184
260.7	-0.427245263	-1.475899184
260.8	-0.427245263	-1.475899184
260.9	-0.427245263	-1.475899184
261.0	-0.427245263	-1.475899184
261.1	-0.427245263	-1.475899184
261.2	-0.427245263	-1.475899184
261.3	-0.427245263	-1.475899184
261.4	-0.427245263	-1.475899184
261.5	-0.427245263	-1.475899184
261.6	-0.427245263	-1.475899184
261.7	-0.427245263	-1.475899184
261.8	-0.427245263	-1.475899184
261.9	-0.427245263	-1.475899184
262.0	-0.427245263	-1.475899184
262.1	-0.427245263	-1.475899184
262.2	-0.427245263	-1.475899184
262.3	-0.427245263	-1.475899184
262.4	-0.427245263	-1.475899184
262.5	-0.427245263	-1.475899184
262.6	-0.427245263	-1.475899184
262.7	-0.427245263	-1.475899184
262.8	-0.427245263	-1.475899184
262.9	-0.427245263	-1.475899184
263.0	-0.427245263	-1.475899184
263.1	-0.427245263	-1.475899184
263.2	-0.427245263	-1.475899184
263.3	-0.427245263	-1.475899184
263.4	-0.427245263	-1.475899184
263.5	-0.427245263	-1.475899184
263.6	-0.427245263	-1.475899184
263.7	-0.427245263	-1.475899184
263.8	-0.427245263	-1.475899184
263.9	-0.427245263	-1.475899184
264.0	-0.427245263	-1.475899184
264.1	-0.427245263	-1.475899184
264.2	-0.427245263	-1.475899184
264.3	-0.427245263	-1.475899184
264.4	-0.427245263	-1.475899184
264.5	-0.427245263	-1.475899184
264.6	-0.427245263	-1.475899184
264.7	-0.427245263	-1.475899184
264.8	-0.427245263	-1.475899184
264.9	-0.427245263	-1.475899184
265.0	-0.427245263	-1.475899184
265.1	-0.427245263	-1.475899184
265.2	-0.427245263	-1.475899184
265.3	-0.427245263	-1.475899184
265.4	-0.427245263	-1.475899184
265.5	-1.435390012	1.184505421
265.6	-1.435390012	1.184505421
265.7	-1.435390012	1.184505421
265.8	-1.435390012	1.184505421
265.9	-1.435390012	1.184505421
266.0	-1.435390012	1.184505421
266.1	-1.435390012	1.184505421
266.2	-1.435390012	1.184505421
266.3	-1.435390012	1.184505421
266.4	-1.435390012	1.184505421
266.5	-1.435390012	1.184505421
266.6	-1.435390012	1.184505421
266.7	-1.435390012	1.184505421
266.8	-1.435390012	1.184505421
266.9	-1.435390012	1.184505421
267.0	-1.435390012	1.184505421
267.1	-1.435390012	1.184505421
267.2	-1.435390012	1.184505421
267.3	-1.435390012	1.184505421
267.4	-1.435390012	1.184505421
267.5	-1.435390012	1.184505421
267.6	-1.435390012	1.184505421
267.7	-1.435390012	1.184505421
267.8	-1.435390012	1.184505421
267.9	-1.435390012	1.184505421
268.0	-1.435390012	1.184505421
268.1	-1.435390012	1.184505421
268.2	-1.435390012	1.184505421
268.3	-1.435390012	1.184505421
268.4	-1.435390012	1.184505421
268.5	-1.435390012	1.184505421
268.6	-1.435390012	1.184505421
268.7	-1.435390012	1.184505421
268.8	-1.435390012	1.184505421
268.9	-1.435390012	1.184505421
269.0	-1.435390012	1.184505421
269.1	-1.435390012	1.184505421
269.2	-1.435390012	1.184505421
269.3	-1.435390012	1.184505421
269.4	-1.435390012	1.184505421
269.5	-1.435390012	1.184505421
269.6	-1.435390012	1.184505421
269.7	-1.435390012	1.184505421
269.8	-1.435390012	1.184505421
269.9	-1.435390012	1.184505421
270.0	-1.435390012	1.184505421
270.1	-1.435390012	1.184505421
270.2	-1.435390012	1.184505421
