Time,mean_z_trans,Mod_R_deltaTMyr_z_trans
227,0.382853707,-1.035018983
228,0.382853707,-1.035018983
229,0.382853707,-1.035018983
230,0.382853707,-1.035018983
231,0.382853707,-1.035018983
232,0.382853707,-1.035018983
233,0.382853707,-1.035018983
234,0.382853707,-1.035018983
235,0.382853707,-1.035018983
236,0.382853707,-1.035018983
237,0.742399336,0.831026493
238,0.742399336,0.831026493
239,0.742399336,0.831026493
240,0.742399336,0.831026493
241,0.742399336,0.831026493
242,0.94087146,0.084910612
243,0.94087146,0.084910612
244,0.94087146,0.084910612
245,0.94087146,0.084910612
246,0.94087146,0.084910612
247,0.94087146,0.084910612
248,0.94087146,0.084910612
249,0.94087146,0.084910612
250,0.94087146,0.084910612
251,0.94087146,0.084910612
251.2,1.590873654,1.430727745
252,,
253,,
254,,
254.14,-0.427245263,-1.475899184
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
265.1,-1.435390012,1.184505421
266,,
267,,
268,,
268.8,-0.767960511,-0.712796116
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
290.1,-1.026402371,-0.307455988
