Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
227,0.382853707,-1.035018983
227.1,0.382853707,-1.035018983
227.2,0.382853707,-1.035018983
227.3,0.382853707,-1.035018983
227.4,0.382853707,-1.035018983
227.5,0.382853707,-1.035018983
227.6,0.382853707,-1.035018983
227.7,0.382853707,-1.035018983
227.8,0.382853707,-1.035018983
227.9,0.382853707,-1.035018983
228,0.382853707,-1.035018983
228.1,0.382853707,-1.035018983
228.2,0.382853707,-1.035018983
228.3,0.382853707,-1.035018983
228.4,0.382853707,-1.035018983
228.5,0.382853707,-1.035018983
228.6,0.382853707,-1.035018983
228.7,0.382853707,-1.035018983
228.8,0.382853707,-1.035018983
228.9,0.382853707,-1.035018983
229,0.382853707,-1.035018983
229.1,0.382853707,-1.035018983
229.2,0.382853707,-1.035018983
229.3,0.382853707,-1.035018983
229.4,0.382853707,-1.035018983
229.5,0.382853707,-1.035018983
229.6,0.382853707,-1.035018983
229.7,0.382853707,-1.035018983
229.8,0.382853707,-1.035018983
229.9,0.382853707,-1.035018983
230,0.382853707,-1.035018983
230.1,0.382853707,-1.035018983
230.2,0.382853707,-1.035018983
230.3,0.382853707,-1.035018983
230.4,0.382853707,-1.035018983
230.5,0.382853707,-1.035018983
230.6,0.382853707,-1.035018983
230.7,0.382853707,-1.035018983
230.8,0.382853707,-1.035018983
230.9,0.382853707,-1.035018983
231,0.382853707,-1.035018983
231.1,0.382853707,-1.035018983
231.2,0.382853707,-1.035018983
231.3,0.382853707,-1.035018983
231.4,0.382853707,-1.035018983
231.5,0.382853707,-1.035018983
231.6,0.382853707,-1.035018983
231.7,0.382853707,-1.035018983
231.8,0.382853707,-1.035018983
231.9,0.382853707,-1.035018983
232,0.382853707,-1.035018983
232.1,0.382853707,-1.035018983
232.2,0.382853707,-1.035018983
232.3,0.382853707,-1.035018983
232.4,0.382853707,-1.035018983
232.5,0.382853707,-1.035018983
232.6,0.382853707,-1.035018983
232.7,0.382853707,-1.035018983
232.8,0.382853707,-1.035018983
232.9,0.382853707,-1.035018983
233,0.382853707,-1.035018983
233.1,0.382853707,-1.035018983
233.2,0.382853707,-1.035018983
233.3,0.382853707,-1.035018983
233.4,0.382853707,-1.035018983
233.5,0.382853707,-1.035018983
233.6,0.382853707,-1.035018983
233.7,0.382853707,-1.035018983
233.8,0.382853707,-1.035018983
233.9,0.382853707,-1.035018983
234,0.382853707,-1.035018983
234.1,0.382853707,-1.035018983
234.2,0.382853707,-1.035018983
234.3,0.382853707,-1.035018983
234.4,0.382853707,-1.035018983
234.5,0.382853707,-1.035018983
234.6,0.382853707,-1.035018983
234.7,0.382853707,-1.035018983
234.8,0.382853707,-1.035018983
234.9,0.382853707,-1.035018983
235,0.382853707,-1.035018983
235.1,0.382853707,-1.035018983
235.2,0.382853707,-1.035018983
235.3,0.382853707,-1.035018983
235.4,0.382853707,-1.035018983
235.5,0.382853707,-1.035018983
235.6,0.382853707,-1.035018983
235.7,0.382853707,-1.035018983
235.8,0.382853707,-1.035018983
235.9,0.382853707,-1.035018983
236,0.382853707,-1.035018983
236.1,0.382853707,-1.035018983
236.2,0.382853707,-1.035018983
236.3,0.382853707,-1.035018983
236.4,0.382853707,-1.035018983
236.5,0.382853707,-1.035018983
236.6,0.382853707,-1.035018983
236.7,0.382853707,-1.035018983
236.8,0.382853707,-1.035018983
236.9,0.382853707,-1.035018983
237,0.742399336,0.831026493
237.1,0.742399336,0.831026493
237.2,0.742399336,0.831026493
