Species	Status
Acerosodontosaurus	extinct
Acrodenta	extinct
Adelosaurus	extinct
Aenigmasaurus	extinct
Aenigmastropheus	extinct
Agkistrognathus	extinct
Ammorhynchus	extinct
Amotosaurus	extinct
Anarosaurus	extinct
Anisodontosaurus	extinct
Anomoiodon	extinct
Anshunsaurus	extinct
Antarctanax	extinct
Anthodon	extinct
Archeopelta	extinct
Archosaurus	extinct
Arganaceras	extinct
Arizonasaurus	extinct
Asilisaurus	extinct
Askeptosaurus	extinct
Asperoris	extinct
Atopodentatus	extinct
Augustaburiania	extinct
Augustasaurus	extinct
Australothyris	extinct
Baisesaurus	extinct
Barasaurus	extinct
Barberenasuchus	extinct
Barracudasauroides	extinct
Barracudasaurus	extinct
Bashkyroleter	extinct
Batrachotomus	extinct
Belebey	extinct
Benggwigwishingasuchus	extinct
Bentonyx	extinct
Besanosaurus	extinct
Blezingeria	extinct
Blomosaurus	extinct
Boreopricea	extinct
Bradysaurus	extinct
Brasinorhynchus	extinct
Bromsgroveia	extinct
Broomia	extinct
Bunostegos	extinct
Bystrowisuchus	extinct
Candelaria	extinct
Captorhinus	extinct
Cartorhynchus	extinct
Ceresiosaurus	extinct
Chalishevia	extinct
Chanaresuchus	extinct
Chaohusaurus	extinct
Chasmatosuchus	extinct
Chinchenia	extinct
Cladeiodon	extinct
Clarazia	extinct
Claudiosaurus	extinct
Coartaredens	extinct
Coelodontognathus	extinct
Coelurosauravus	extinct
Coletta	extinct
Collilongus	extinct
Contectopalatus	extinct
Corosaurus	extinct
Cosesaurus	extinct
Ctenosauriscus	extinct
Cyamodus	extinct
Cymatosaurus	extinct
Cymbospondylus	extinct
Czatkowiella	extinct
Dactylosaurus	extinct
Dawazisaurus	extinct
Decuriasuchus	extinct
Deltavjatia	extinct
Diandongosaurus	extinct
Diandongosuchus	extinct
Dianmeisaurus	extinct
Dianopachysaurus	extinct
Dinocephalosaurus	extinct
Doliovertebra	extinct
Dongusuchus	extinct
Dorosuchus	extinct
Eifelosaurus	extinct
Elessaurus	extinct
Elginia	extinct
Elorhynchus	extinct
Embrithosaurus	extinct
Emeroleter	extinct
Energosuchus	extinct
Eohupehsuchus	extinct
Eohyosaurus	extinct
Eomurruna	extinct
Eorasaurus	extinct
Eretmorhipis	extinct
Erythrosuchus	extinct
Eumetabolodon	extinct
Eunotosaurus	extinct
Euparkeria	extinct
Eusaurosphargis	extinct
Feralisaurus	extinct
Fodonyx	extinct
Fraxinisaura	extinct
Fugusuchus	extinct
Fuyuansaurus	extinct
Galesphyrus	extinct
Gamatavus	extinct
Gansurhinus	extinct
Garjainia	extinct
Gecatogomphius	extinct
Germanosaurus	extinct
Glaurung	extinct
Glyphoderma	extinct
Gondwanax	extinct
Gracilisuchus	extinct
Grippia	extinct
Gualosuchus	extinct
Guchengosuchus	extinct
Guizhouichthyosaurus	extinct
Gulosaurus	extinct
Halazhaisuchus	extinct
Hanosaurus	extinct
Helveticosaurus	extinct
Hemilopas	extinct
Hescheleria	extinct
Heteropelta	extinct
Hispaniasaurus	extinct
Honghesaurus	extinct
Horaffia	extinct
Hovasaurus	extinct
Howesia	extinct
Hupehsuchus	extinct
Hypselorhachis	extinct
Indosauriscus	extinct
Isfjordosaurus	extinct
Jaxtasuchus	extinct
Jesairosaurus	extinct
Jushatyria	extinct
Kadimakara	extinct
Kahneria	extinct
Kalisuchus	extinct
Kapes	extinct
Keichousaurus	extinct
Kinelia	extinct
Kitchingnathus	extinct
Koilamasuchus	extinct
Koiloskiosaurus	extinct
Kudnu	extinct
Kwangsisaurus	extinct
Lagerpeton	extinct
Langeronyx	extinct
Lanthaniscus	extinct
Lanthanolania	extinct
Lanthanosuchus	extinct
Largocephalosaurus	extinct
Lariosaurus	extinct
Lasasaurus	extinct
Lewisuchus	extinct
Litorosuchus	extinct
Lotosaurus	extinct
Luopingosaurus	extinct
Luperosuchus	extinct
Macrocnemus	extinct
Macroleter	extinct
Majiashanosaurus	extinct
Malutinisuchus	extinct
Mambawakale	extinct
Mandaphon	extinct
Mandasuchus	extinct
Marasuchus	extinct
Marcianosuchus	extinct
Megachirella	extinct
Merriamosaurus	extinct
Mesodapedon	extinct
Mesosuchus	extinct
Microcnemus	extinct
Mikadocephalus	extinct
Milleretta	extinct
Millerinoides	extinct
Milleropsis	extinct
Millerosaurus	extinct
Mixosaurus	extinct
Moradisaurus	extinct
Nanchangosaurus	extinct
Nanoparia	extinct
Neoprocolophon	extinct
Neusticosaurus	extinct
Nochelesaurus	extinct
Noteosuchus	extinct
Nothosaurus	extinct
Nundasuchus	extinct
Nyasasaurus	extinct
Nycteroleter	extinct
Nyctiphruretus	extinct
Obirkovia	extinct
Odoiporosaurus	extinct
Omphalosaurus	extinct
Orenburgia	extinct
Oryporan	extinct
Osmolskina	extinct
Owenetta	extinct
Pachypleurosaurus	extinct
Palacrodon	extinct
Palaeagama	extinct
Paliguana	extinct
Pamelaria	extinct
Pamelina	extinct
Panzhousaurus	extinct
Pappochelys	extinct
Parahupehsuchus	extinct
Paralonectes	extinct
Paraplacodus	extinct
Pararcus	extinct
Parasaurus	extinct
Parasuchus	extinct
Pareiasaurus	extinct
Pareiasuchus	extinct
Parringtonia	extinct
Partanosaurus	extinct
Parvosuchus	extinct
Pectodens	extinct
Pentaedrusaurus	extinct
Permotriturus	extinct
Pessopteryx	extinct
Phaanthosaurus	extinct
Phalarodon	extinct
Phantomosaurus	extinct
Phonodus	extinct
Pinheirochampsa	extinct
Pintosaurus	extinct
Pistosaurus	extinct
Placodus	extinct
Polymorphodon	extinct
Prestosuchus	extinct
Procerosuchus	extinct
Procolina	extinct
Procolophon	extinct
Procolophonichnium	extinct
Prolacerta	extinct
Prolacertoides	extinct
Prosantosaurus	extinct
Prosaurosphargis	extinct
Protanystropheus	extinct
Proterosuchus	extinct
Protorosaurus	extinct
Provelosaurus	extinct
Psephoderma	extinct
Psephosauriscus	extinct
Psephosaurus	extinct
Pumiliopareia	extinct
Qianichthyosaurus	extinct
Qianosuchus	extinct
Qianxisaurus	extinct
Quasianosteosaurus	extinct
Rautiania	extinct
Retymaijychampsa	extinct
Rhipaeosaurus	extinct
Rhombopholis	extinct
Rothianiscus	extinct
Ruhuhuaria	extinct
Sanchiaosaurus	extinct
Sanchuansaurus	extinct
Santaisaurus	extinct
Sarmatosuchus	extinct
Saurodektes	extinct
Sauropareion	extinct
Saurorictus	extinct
Saurosternon	extinct
Scharschengia	extinct
Schultzsuchus	extinct
Sclerocormus	extinct
Sclerosaurus	extinct
Scolotosuchus	extinct
Scutosaurus	extinct
Scythosuchus	extinct
Serpianosaurus	extinct
Shansisuchus	extinct
Shihtienfenia	extinct
Shringasaurus	extinct
Simosaurus	extinct
Sinosaurosphargis	extinct
Sophineta	extinct
Spondylolestes	extinct
Spondylosoma	extinct
Stagonosuchus	extinct
Stauromatodon	extinct
Stenaulorhynchus	extinct
Styracocephalus	extinct
Suchonosaurus	extinct
Tanaisosaurus	extinct
Tangasaurus	extinct
Tanystropheus	extinct
Tarjadia	extinct
Tasmaniosaurus	extinct
Teleocrater	extinct
Teratophon	extinct
Teratosaurus	extinct
Teyujagua	extinct
Thadeosaurus	extinct
Thaisaurus	extinct
Thalattoarchon	extinct
Thalattosaurus	extinct
Thecodontosaurus	extinct
Theledectes	extinct
Thelephon	extinct
Thelerpeton	extinct
Tholodus	extinct
Tichvinskia	extinct
Ticinosuchus	extinct
Timanophon	extinct
Trachelosaurus	extinct
Tramuntanasaurus	extinct
Tropidosuchus	extinct
Turfanosuchus	extinct
Uralosaurus	extinct
Utatsusaurus	extinct
Vellbergia	extinct
Vjushkovisaurus	extinct
Vonhuenia	extinct
Vritramimosaurus	extinct
Vytshegdosuchus	extinct
Wangosaurus	extinct
Wapitisaurus	extinct
Weigeltisaurus	extinct
Wimanius	extinct
Wumengosaurus	extinct
Xilousuchus	extinct
Xinminosaurus	extinct
Xinpusaurus	extinct
Yarasuchus	extinct
Youngetta	extinct
Youngina	extinct
Youngosuchus	extinct
Yunguisaurus	extinct
Zanclodon	extinct
Zhongjiania	extinct
