taxon1	taxon2	rank
Cynosaurus	Cyonosaurus	1
Cynosaurus	Scymnosaurus	2
Dicynodontipus	Dicynodontoides	2
Lycaenops	Lycedops	2
Lycosaurus	Sycosaurus	2
Aelurosaurus	Lemurosaurus	3
Alepognathus	Alopecognathus	3
Alepognathus	Scalopognathus	3
Angelosaurus	Anteosaurus	3
Chthonosaurus	Phthinosaurus	3
Compsodon	Cromptodon	3
Cynosaurus	Myosaurus	3
Cyonosaurus	Scymnosaurus	3
Eodicynodon	Prodicynodon	3
Ictidosuchops	Ictidosuchus	3
Lycosaurus	Myosaurus	3
Myosaurus	Sycosaurus	3
Nanogomphodon	Titanogomphodon	3
Paraburnetia	Proburnetia	3
Akidnognathus	Cynognathus	4
Akidnognathus	Sinognathus	4
Alopecorhinus	Lophorhinus	4
Aloposaurus	Scaloposaurus	4
Cerdosuchus	Pardosuchus	4
Chthonosaurus	Cyonosaurus	4
Cistecephalus	Icticephalus	4
Cynognathus	Sinognathus	4
Cynosaurus	Dinosaurus	4
Cynosaurus	Lycosaurus	4
Cynosaurus	Sycosaurus	4
Cyonosaurus	Myosaurus	4
Daptocephalus	Tapinocephalus	4
Delectosaurus	Heleosaurus	4
Dicynodon	Eodicynodon	4
Dicynodontoides	Diictodontoides	4
Dinodontosaurus	Homodontosaurus	4
Emydorhinus	Emydorhynchus	4
Galeops	Galepus	4
Galesaurus	Malasaurus	4
Hipposaurus	Thliptosaurus	4
Icticephalus	Sintocephalus	4
Jonkeria	Vinceria	4
Lycaenodon	Polycynodon	4
Lycedops	Lycideops	4
Lycosaurus	Lystrosaurus	4
Mandagomphodon	Nanogomphodon	4
Microwhaitsia	Moschowhaitsia	4
Mormosaurus	Myosaurus	4
Myosaurus	Nythosaurus	4
Nanogomphodon	Nothogomphodon	4
Pelanomodon	Peramodon	4
Procynosuchus	Trochosuchus	4
Rechnisaurus	Regisaurus	4
Scylacoides	Scylacops	4
Scylacosaurus	Scymnosaurus	4
Scymnosaurus	Sycosaurus	4
Sinokannemeyeria	Xiyukannemeyeria	4
Sinophoneus	Titanophoneus	4
Tapinocephalus	Taurocephalus	4
Aelurognathus	Alepognathus	5
Aelurognathus	Julognathus	5
Aelurosaurus	Lycosaurus	5
Aelurosuchus	Lycosuchus	5
Aleodon	Taoheodon	5
Alepognathus	Arctognathus	5
Aloposaurus	Lycosaurus	5
Angelosaurus	Angonisaurus	5
Biarmosuchus	Pardosuchus	5
Biarmosuchus	Viatkosuchus	5
Bulbasaurus	Malasaurus	5
Cerdorhinus	Ictidorhinus	5
Cerdosuchus	Ictidosuchus	5
Choerosaurus	Cynosaurus	5
Cistecephalus	Sintocephalus	5
Cynosaurus	Nythosaurus	5
Cyonosaurus	Dinosaurus	5
Cyonosaurus	Leontosaurus	5
Cyonosaurus	Lycosaurus	5
Cyonosaurus	Sycosaurus	5
Daptocephalus	Sintocephalus	5
Daptocephalus	Taurocephalus	5
Diademodon	Dinanomodon	5
Dinosaurus	Hipposaurus	5
Emydorhinus	Emyduranus	5
Galesaurus	Heleosaurus	5
Galesaurus	Idelesaurus	5
Galesaurus	Smilesaurus	5
Glanosuchus	Lycosuchus	5
Glanosuchus	Titanosuchus	5
Heleosaurus	Mesenosaurus	5
Ictidosaurus	Ictidosuchus	5
Ictidosaurus	Rabidosaurus	5
Lemurosaurus	Leontosaurus	5
Lemurosaurus	Lystrosaurus	5
Leucocephalus	Taurocephalus	5
Lophorhinus	Moschorhinus	5
Lophorhinus	Trochorhinus	5
Lycosaurus	Nythosaurus	5
Lycosaurus	Phocosaurus	5
Lycosaurus	Ulemosaurus	5
Lystrosaurus	Nythosaurus	5
Malasaurus	Smilesaurus	5
Malasaurus	Wadiasaurus	5
Microhelodon	Microsyodon	5
Moschorhinus	Trochorhinus	5
Muchia	Urumchia	5
Nanocynodon	Uralocynodon	5
Nythosaurus	Sycosaurus	5
Patranomodon	Pelanomodon	5
Phocosaurus	Sycosaurus	5
Phocosaurus	Trochosaurus	5
Polycynodon	Prodicynodon	5
Scaloposaurus	Scaloposuchus	5
Scaloposaurus	Scylacosaurus	5
Scaloposuchus	Scylacosuchus	5
Scylacosaurus	Scylacosuchus	5
Trochosaurus	Trochosuchus	5
Wadiasaurus	Zambiasaurus	5
Abajudon	Abdalodon	6
Aelurosaurus	Aelurosuchus	6
Aelurosaurus	Aloposaurus	6
Aelurosaurus	Choerosaurus	6
Aelurosaurus	Ulemosaurus	6
Aelurosuchus	Glanosuchus	6
Aloposaurus	Anteosaurus	6
Aloposaurus	Cyonosaurus	6
Aloposaurus	Hipposaurus	6
Aloposaurus	Phocosaurus	6
Aloposaurus	Ulemosaurus	6
Anteosaurus	Heleosaurus	6
Anteosaurus	Nythosaurus	6
Basilodon	Rastodon	6
Bonacynodon	Eodicynodon	6
Bonacynodon	Nanocynodon	6
Bonacynodon	Polycynodon	6
Cerdorhinus	Emydorhinus	6
Choerosaurus	Cyonosaurus	6
Choerosaurus	Phocosaurus	6
Choerosaurus	Ulemosaurus	6
Cricodon	Diictodon	6
Cynognathus	Julognathus	6
Cyonosaurus	Nythosaurus	6
Cyonosaurus	Phocosaurus	6
Dinanomodon	Pelanomodon	6
Dinogorgon	Leogorgon	6
Dinosaurus	Myosaurus	6
