genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Abyssomedon,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
Acadiella,10.58739,10.58739,0,0,1,0,0,0.0,-0.3368251980293161
Acaenasuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.3368251980293161
Acallosuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.3368251980293161
Acerosodontosaurus,-50.09196,-50.09196,0,0,0,1,0,0.0,-0.3368251980293161
Acleistorhinus,1.059264,1.059264,0,0,1,0,0,0.0,-0.3368251980293161
Acrodenta,5.137181,5.137181,0,0,1,0,0,0.0,-0.3368251980293161
Actiosaurus,35.78362,35.78362,0,1,0,0,0,0.0,-0.3368251980293161
Adamanasuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.3368251980293161
Adelosaurus,26.1672,26.1672,0,1,0,0,0,0.0,-0.3368251980293161
Aenigmasaurus,-60.88067,-60.88067,0,0,0,1,0,0.0,-0.3368251980293161
Aenigmaspina,24.95607,24.95607,0,1,0,0,0,0.0,-0.3368251980293161
Aenigmastropheus,-47.78411,-47.78411,0,0,0,1,0,0.0,-0.3368251980293161
Aetobarbakinoides,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Aetosauroides,-52.00118,-46.11636,0,0,0,1,0,5.884819999999998,0.1061739155954126
Aetosaurus,20.34746,40.08932,0,1,1,0,0,19.74186,1.1493080195208365
Agkistrognathus,31.61801,31.61801,0,1,0,0,0,0.0,-0.3368251980293161
Agnosphitys,24.95607,24.95607,0,1,0,0,0,0.0,-0.3368251980293161
Ahvaytum,-65.16914,-65.16914,0,0,0,1,0,0.0,-0.3368251980293161
Alexeyisaurus,56.61695,56.61695,0,1,0,0,0,0.0,-0.3368251980293161
Alwalkeria,-31.66627,-31.66627,0,0,0,1,0,0.0,-0.3368251980293161
Amanasaurus,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.08383222099746447
Ammorhynchus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.26574872804390653
Ammosaurus,23.76488,23.76488,0,1,0,0,0,0.0,-0.3368251980293161
Amotosaurus,22.98052,27.06795,0,1,1,0,0,4.087430000000001,-0.02913050779187024
Anarosaurus,26.46257,28.4265,0,1,0,0,0,1.9639300000000013,-0.18898393028943375
Ancistronychus,1.353064,1.353064,0,0,1,0,0,0.0,-0.3368251980293161
Angistorhinus,1.357201,9.714393,0,0,1,0,0,8.357192,0.2922898213581375
Anisodontosaurus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.26574872804390653
Anomoepus,52.14119,52.14119,0,1,0,0,0,0.0,-0.3368251980293161
Anomoiodon,11.92386,26.46257,0,1,1,0,0,14.53871,0.7576238493921822
Anshunsaurus,18.78245,27.01127,0,1,1,0,0,8.228819999999999,0.2826261983052262
Antarctanax,-76.62466,-76.62466,0,0,0,0,1,0.0,-0.3368251980293161
Anthodon,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.8206061731345001
Apachesuchus,1.357201,1.357201,0,0,1,0,0,0.0,-0.3368251980293161
Apatopus,3.837634,29.61478,0,1,1,0,0,25.777146,1.6036339544639164
Apatosuchus,32.59323,32.59323,0,1,0,0,0,0.0,-0.3368251980293161
Aphelosaurus,5.459828,5.459828,0,0,1,0,0,0.0,-0.3368251980293161
Araeoscelis,-2.980824,-1.18553,0,0,1,0,0,1.7952940000000002,-0.20167855791189634
Archeopelta,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Archosaurus,43.07523,46.3931,0,1,0,0,0,3.317869999999999,-0.08706165910678679
Arcticodactylus,40.08932,40.08932,0,1,0,0,0,0.0,-0.3368251980293161
Arganaceras,5.137181,5.137181,0,0,1,0,0,0.0,-0.3368251980293161
Arganasuchus,5.214221,5.214221,0,0,1,0,0,0.0,-0.3368251980293161
Arizonasaurus,7.907044,9.506042,0,0,1,0,0,1.5989980000000008,-0.21645538269295667
Asilisaurus,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3368251980293161
Askeptosaurus,18.78245,20.93788,0,0,1,0,0,2.155429999999999,-0.17456814012777466
Asperoris,-46.55859,-46.55859,0,0,0,1,0,0.0,-0.3368251980293161
Asylosaurus,35.96879,35.96879,0,1,0,0,0,0.0,-0.3368251980293161
Atopodentatus,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Augustaburiania,41.16511,57.37442,0,1,0,0,0,16.209310000000002,0.8833837399617278
Augustasaurus,16.03868,16.03868,0,0,1,0,0,0.0,-0.3368251980293161
Australothyris,-62.75164,-62.75164,0,0,0,1,0,0.0,-0.3368251980293161
Austriadactylus,32.92995,32.92995,0,1,0,0,0,0.0,-0.3368251980293161
Austriadraco,32.92995,32.92995,0,1,0,0,0,0.0,-0.3368251980293161
Avalonnectes,36.29446,36.29446,0,1,0,0,0,0.0,-0.3368251980293161
Avicranium,8.831093,8.831093,0,0,1,0,0,0.0,-0.3368251980293161
Azendohsaurus,5.214221,5.214221,0,0,1,0,0,0.0,-0.3368251980293161
Baeotherates,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
Baisesaurus,9.647978,9.647978,0,0,1,0,0,0.0,-0.3368251980293161
Barasaurus,-47.63135,-37.33496,0,0,0,1,0,10.296389999999995,0.43826930673625364
Barberenasuchus,-49.04351,-49.04351,0,0,0,1,0,0.0,-0.3368251980293161
Barracudasauroides,12.57983,12.57983,0,0,1,0,0,0.0,-0.3368251980293161
Barracudasaurus,12.57983,15.06738,0,0,1,0,0,2.4875500000000006,-0.14956671856907863
Bashkyroleter,41.97247,42.68761,0,1,0,0,0,0.7151399999999981,-0.2829906905817497
Batrachopus,6.088668,6.088668,0,0,1,0,0,0.0,-0.3368251980293161
Batrachotomus,27.72418,27.72418,0,1,0,0,0,0.0,-0.3368251980293161
Beesiiwo,9.714393,9.714393,0,0,1,0,0,0.0,-0.3368251980293161
Belebey,39.6978,42.6534,0,1,0,0,0,2.955599999999997,-0.11433272073532115
Benggwigwishingasuchus,16.03868,16.03868,0,0,1,0,0,0.0,-0.3368251980293161
Bentonyx,21.05439,21.05439,0,0,1,0,0,0.0,-0.3368251980293161
Bergamodactylus,20.34746,20.34746,0,0,1,0,0,0.0,-0.3368251980293161
