genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Abyssomedon,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.29876440904981494
Acadiella,10.58739,10.58739,0,0,1,0,0,0.0,-0.29876440904981494
Acaenasuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.29876440904981494
Acallosuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.29876440904981494
Acerosodontosaurus,-50.09196,-50.09196,0,0,0,1,0,0.0,-0.29876440904981494
Acleistorhinus,1.059264,1.059264,0,0,1,0,0,0.0,-0.29876440904981494
Acrodenta,5.137181,5.137181,0,0,1,0,0,0.0,-0.29876440904981494
Actiosaurus,35.78362,35.78362,0,1,0,0,0,0.0,-0.29876440904981494
Adamanasuchus,1.353064,1.353064,0,0,1,0,0,0.0,-0.29876440904981494
Adelosaurus,26.1672,26.1672,0,1,0,0,0,0.0,-0.29876440904981494
Aenigmasaurus,-60.88067,-60.88067,0,0,0,1,0,0.0,-0.29876440904981494
Aenigmaspina,24.95607,24.95607,0,1,0,0,0,0.0,-0.29876440904981494
Aenigmastropheus,-47.78411,-47.78411,0,0,0,1,0,0.0,-0.29876440904981494
Aetobarbakinoides,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.29876440904981494
Aetosauroides,-52.00118,-46.11636,0,0,0,1,0,5.884819999999998,0.1368248442712616
Aetosaurus,20.34746,40.08932,0,1,1,0,0,19.74186,1.1625108817100096
Agnosphitys,24.95607,24.95607,0,1,0,0,0,0.0,-0.29876440904981494
Ahvaytum,-65.16914,-65.16914,0,0,0,1,0,0.0,-0.29876440904981494
Alwalkeria,-31.66627,-31.66627,0,0,0,1,0,0.0,-0.29876440904981494
Amanasaurus,-49.47713,-46.11636,0,0,0,1,0,3.3607700000000023,-0.050003139396048814
Ammorhynchus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.22887680535616678
Ammosaurus,23.76488,23.76488,0,1,0,0,0,0.0,-0.29876440904981494
Amotosaurus,22.98052,27.06795,0,1,1,0,0,4.087430000000001,0.0037836012040533356
Ancistronychus,1.353064,1.353064,0,0,1,0,0,0.0,-0.29876440904981494
Angistorhinus,1.357201,9.714393,0,0,1,0,0,8.357192,0.3198276673672845
Anisodontosaurus,8.561859,9.506042,0,0,1,0,0,0.9441830000000007,-0.22887680535616678
Anomoepus,52.14119,52.14119,0,1,0,0,0,0.0,-0.29876440904981494
Anomoiodon,11.92386,26.46257,0,1,1,0,0,14.53871,0.7773782483554534
Antarctanax,-76.62466,-76.62466,0,0,0,0,1,0.0,-0.29876440904981494
Anthodon,-63.15948,-47.78411,0,0,0,1,0,15.375370000000004,0.8393070931941422
Apachesuchus,1.357201,1.357201,0,0,1,0,0,0.0,-0.29876440904981494
Apatopus,3.837634,29.61478,0,1,1,0,0,25.777146,1.6092374973616603
Apatosuchus,32.59323,32.59323,0,1,0,0,0,0.0,-0.29876440904981494
Aphelosaurus,5.459828,5.459828,0,0,1,0,0,0.0,-0.29876440904981494
Araeoscelis,-2.980824,-1.18553,0,0,1,0,0,1.7952940000000002,-0.16587831007791617
