genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Abyssomedon,0.0,0,0,1,0,0
Acadiella,0.0,0,0,1,0,0
Acaenasuchus,0.0,0,0,1,0,0
Acallosuchus,0.0,0,0,1,0,0
Acerosodontosaurus,0.0,0,0,0,1,0
Acleistorhinus,0.0,0,0,1,0,0
Acrodenta,0.0,0,0,1,0,0
Actiosaurus,0.0,0,1,0,0,0
Adamanasuchus,0.0,0,0,1,0,0
Adelosaurus,0.0,0,1,0,0,0
Aenigmasaurus,0.0,0,0,0,1,0
Aenigmaspina,0.0,0,1,0,0,0
Aenigmastropheus,0.0,0,0,0,1,0
Aetobarbakinoides,0.0,0,0,0,1,0
Aetosauroides,5.884819999999998,0,0,0,1,0
Aetosaurus,19.74186,0,1,1,0,0
Agkistrognathus,0.0,0,1,0,0,0
Agnosphitys,0.0,0,1,0,0,0
Ahvaytum,0.0,0,0,0,1,0
Alexeyisaurus,0.0,0,1,0,0,0
Alwalkeria,0.0,0,0,0,1,0
Amanasaurus,3.3607700000000023,0,0,0,1,0
Ammorhynchus,0.9441830000000007,0,0,1,0,0
Ammosaurus,0.0,0,1,0,0,0
Amotosaurus,4.087430000000001,0,1,1,0,0
Anarosaurus,1.9639300000000013,0,1,0,0,0
Ancistronychus,0.0,0,0,1,0,0
Angistorhinus,8.357192,0,0,1,0,0
Anisodontosaurus,0.9441830000000007,0,0,1,0,0
Anomoepus,0.0,0,1,0,0,0
Anomoiodon,14.53871,0,1,1,0,0
Anshunsaurus,8.228819999999999,0,1,1,0,0
Antarctanax,0.0,0,0,0,0,1
Anthodon,15.375370000000004,0,0,0,1,0
Apachesuchus,0.0,0,0,1,0,0
Apatopus,25.777146,0,1,1,0,0
Apatosuchus,0.0,0,1,0,0,0
Aphelosaurus,0.0,0,0,1,0,0
Araeoscelis,1.7952940000000002,0,0,1,0,0
Archeopelta,0.0,0,0,0,1,0
Archosaurus,3.317869999999999,0,1,0,0,0
Arcticodactylus,0.0,0,1,0,0,0
Arganaceras,0.0,0,0,1,0,0
Arganasuchus,0.0,0,0,1,0,0
Arizonasaurus,1.5989980000000008,0,0,1,0,0
Asilisaurus,0.0,0,0,0,1,0
Askeptosaurus,2.155429999999999,0,0,1,0,0
Asperoris,0.0,0,0,0,1,0
Asylosaurus,0.0,0,1,0,0,0
Atopodentatus,0.0,0,0,1,0,0
Augustaburiania,16.209310000000002,0,1,0,0,0
Augustasaurus,0.0,0,0,1,0,0
Australothyris,0.0,0,0,0,1,0
Austriadactylus,0.0,0,1,0,0,0
Austriadraco,0.0,0,1,0,0,0
Avalonnectes,0.0,0,1,0,0,0
Avicranium,0.0,0,0,1,0,0
Azendohsaurus,0.0,0,0,1,0,0
Baeotherates,0.0,0,0,1,0,0
Baisesaurus,0.0,0,0,1,0,0
Barasaurus,10.296389999999995,0,0,0,1,0
Barberenasuchus,0.0,0,0,0,1,0
Barracudasauroides,0.0,0,0,1,0,0
Barracudasaurus,2.4875500000000006,0,0,1,0,0
Bashkyroleter,0.7151399999999981,0,1,0,0,0
Batrachopus,0.0,0,0,1,0,0
Batrachotomus,0.0,0,1,0,0,0
Beesiiwo,0.0,0,0,1,0,0
Belebey,2.955599999999997,0,1,0,0,0
Benggwigwishingasuchus,0.0,0,0,1,0,0
Bentonyx,0.0,0,0,1,0,0
Bergamodactylus,0.0,0,0,1,0,0
Besanosaurus,0.0,0,0,1,0,0
Blezingeria,0.0,0,1,0,0,0
Blikanasaurus,0.0,0,0,0,1,0
Blomosaurus,0.0,0,1,0,0,0
Bobosaurus,0.0,0,1,0,0,0
Bolosaurus,2.2508325,0,0,1,0,0
Boreopricea,0.0,0,1,0,0,0
Bradysaurus,0.0,0,0,0,1,0
Brasinorhynchus,0.0,0,0,0,1,0
Brazilosaurus,7.31409,0,0,0,1,0
Bromsgroveia,1.153649999999999,0,1,1,0,0
Broomia,2.430810000000001,0,0,0,1,0
Bunostegos,0.0,0,0,1,0,0
Buriolestes,3.3607700000000023,0,0,0,1,0
Bystrowisuchus,0.0,0,1,0,0,0
Callawayia,6.932289999999998,0,1,1,0,0
Calyptosuchus,3.0955380000000003,0,0,1,0,0
Camelotia,1.9101999999999961,0,1,0,0,0
Camposaurus,0.0,0,0,1,0,0
Candelaria,0.0,0,0,0,1,0
Captorhinikos,2.2039397000000003,0,0,1,0,0
Captorhinoides,0.0,0,0,1,0,0
Captorhinus,49.305214,0,0,1,1,0
Cargninia,0.0,0,0,0,1,0
Carnufex,0.0,0,0,1,0,0
Cartorhynchus,0.0,0,1,0,0,0
Caseosaurus,0.0,0,0,1,0,0
Ceresiosaurus,9.679290000000002,0,0,1,0,0
Chalishevia,0.0,0,1,0,0,0
Chanaresuchus,0.0,0,0,0,1,0
Chaohusaurus,16.304349999999996,0,1,1,0,0
Chasmatosuchus,3.9100099999999998,0,1,0,0,0
Chelyoposuchus,0.0,0,1,0,0,0
Chinchenia,0.0,0,0,1,0,0
Chindesaurus,2.483518,0,0,1,0,0
Chinshakiangosaurus,0.0,0,1,0,0,0
Chirotherium,0.0,0,1,0,0,0
Chromogisaurus,0.0,0,0,0,1,0
Cladeiodon,0.0,0,1,0,0,0
Clarazia,0.0,0,0,1,0,0
Claudiosaurus,0.0,0,0,0,1,0
Clevosaurus,101.61832000000001,0,1,0,1,0
Coahomasuchus,0.9536941000000001,0,0,1,0,0
Coartaredens,0.0,0,0,1,0,0
Coburgosuchus,0.0,0,1,0,0,0
Coelodontognathus,0.0,0,1,0,0,0
Coelophysis,21.481469,0,0,1,0,0
Coelurosauravus,77.72676,0,1,0,1,0
Coletta,0.0,0,0,0,1,0
Collilongus,0.0,0,1,0,0,0
Colobomycter,0.0,0,0,1,0,0
Colobops,0.0,0,0,1,0,0
Coloradisaurus,0.0,0,0,0,1,0
Coloradisuchus,0.0,0,0,0,1,0
Concavispina,0.0,0,1,0,0,0
Contectopalatus,0.0,0,0,1,0,0
Cornualbus,0.0,0,0,0,1,0
Corosaurus,0.0,0,0,1,0,0
Cosesaurus,0.0,0,0,1,0,0
Crosbysaurus,2.828383,0,0,1,0,0
Ctenosauriscus,0.0,0,1,0,0,0
Cyamodus,16.93025,0,1,1,0,0
Cymatosaurus,6.86758,0,1,1,0,0
Cymbospondylus,31.26659,0,1,1,0,0
Czatkowiella,0.0,0,1,0,0,0
Dactylosaurus,2.493359999999999,0,1,0,0,0
Daemonosaurus,0.0,0,0,1,0,0
Dagasuchus,0.0,0,0,0,1,0
Dawazisaurus,0.0,0,0,1,0,0
Decuriasuchus,1.6218000000000004,0,0,0,1,0
Delorhynchus,0.0,0,0,1,0,0
Deltadectes,6.642690000000002,0,1,0,0,0
Deltavjatia,0.0,0,1,0,0,0
Desmatosuchus,11.184491999999999,0,0,1,0,0
Diandongosaurus,0.0,0,0,1,0,0
Diandongosuchus,0.0,0,0,1,0,0
Dianmeisaurus,0.0,0,0,1,0,0
Dianopachysaurus,0.0,0,0,1,0,0
Dimetropus,0.0,0,0,1,0,0
Dimorphodon,0.0,0,1,0,0,0
Dinocephalosaurus,0.0,0,0,1,0,0
Diphydontosaurus,39.006719,0,1,1,0,0
Dolabrosaurus,0.0,0,0,1,0,0
Dolerosaurus,0.0,0,1,0,0,0
Dolichobrachium,0.0,0,0,1,0,0
Doliovertebra,0.0,0,1,0,0,0
Dongusuchus,1.9393200000000022,0,1,0,0,0
Dorosuchus,0.0,0,1,0,0,0
Doswellia,5.316909,0,0,1,0,0
Dracoraptor,0.0,0,1,0,0,0
Drepanosaurus,29.093367999999998,0,1,1,0,0
Dromomeron,58.943087999999996,0,0,1,1,0
Dynamosuchus,0.0,0,0,0,1,0
Dyoplax,0.0,0,1,0,0,0
