id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
7128,1547022,1547022,2.48042,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7129,1547014,1547014,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7130,1547013,1547013,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7131,1491393,1491393,-2.746595,Edaphosaurus,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7132,1340561,1340561,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7133,1340552,1340552,1.441532,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7134,1340551,1340551,0.3448635,Edaphosaurus,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7135,1340550,1340550,0.3448635,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7136,1340549,1340549,0.3448635,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7137,1340548,1340548,0.3448635,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7138,1340534,1340534,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7139,1340528,1340528,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7140,1340527,1340527,2.48042,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7141,1340526,1340526,2.48042,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7142,1340522,1340522,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7143,1340521,1340521,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7144,1339967,1339967,-2.746595,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7145,1339966,1339966,-2.746595,Edaphosaurus,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7146,1339938,1339938,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7147,1339755,1339755,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7148,1339754,1339754,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7149,1337215,1337215,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7150,1337214,1337214,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7151,1337206,1337206,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7152,1337205,1337205,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7153,1337198,1337198,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7154,1337197,1337197,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7155,1335616,1335616,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7156,1335615,1335615,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7157,1334886,1334886,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7158,791565,791565,-2.746595,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7159,790533,790533,-2.746595,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7160,790527,790527,2.48042,Ophiacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7161,790524,790524,2.48042,Dimetrodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7162,790523,790523,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
7163,790517,790517,2.48042,Sphenacodon,298.9,286.1,Cisuralian,"(298.9, 286.1)"
