Time,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans,208-217,217-227,227-237,237-242,242-246.7,246.7-252,252-259.5,259.5-264.3,264.3-274.4,274.4-283.5,283.5-290.1
202,-0.49310454,0.155316173,0,0,0,0,0,0,0,0,0,0,0
203,0.124156959,-1.015368406,0,0,0,0,0,0,0,0,0,0,0
204,0.035532909,-0.632167669,0,0,0,0,0,0,0,0,0,0,0
205,-0.226130286,-0.404854956,0,0,0,0,0,0,0,0,0,0,0
206,0.138178843,-0.522030276,0,0,0,0,0,0,0,0,0,0,0
207,0.449575973,-0.953241893,0,0,0,0,0,0,0,0,0,0,0
208,0.332897911,-0.570839829,1,0,0,0,0,0,0,0,0,0,0
209,0.043541353,-1.113193285,1,0,0,0,0,0,0,0,0,0,0
210,-0.000908633,-0.743479799,1,0,0,0,0,0,0,0,0,0,0
211,0.21049016,-0.634787189,1,0,0,0,0,0,0,0,0,0,0
212,0.470970477,-0.681117085,1,0,0,0,0,0,0,0,0,0,0
213,0.710529943,0.891931608,1,0,0,0,0,0,0,0,0,0,0
214,1.660419472,-0.530114837,1,0,0,0,0,0,0,0,0,0,0
215,1.352673027,2.144833209,1,0,0,0,0,0,0,0,0,0,0
216,-0.162980086,-0.763083899,1,0,0,0,0,0,0,0,0,0,0
217,0.039566226,0.764239401,0,1,0,0,0,0,0,0,0,0,0
218,-0.40654802,-0.079303706,0,1,0,0,0,0,0,0,0,0,0
219,-0.40654802,-0.079303706,0,1,0,0,0,0,0,0,0,0,0
220,-0.40654802,-0.079303706,0,1,0,0,0,0,0,0,0,0,0
221,-0.40654802,-0.079303706,0,1,0,0,0,0,0,0,0,0,0
222,-0.852662267,-0.922846813,0,1,0,0,0,0,0,0,0,0,0
223,-0.787460594,0.038437975,0,1,0,0,0,0,0,0,0,0,0
224,-0.787460594,0.038437975,0,1,0,0,0,0,0,0,0,0,0
225,-0.787460594,0.038437975,0,1,0,0,0,0,0,0,0,0,0
226,-0.722258922,0.999722763,0,1,0,0,0,0,0,0,0,0,0
227,0.276305066,-0.837875677,0,0,1,0,0,0,0,0,0,0,0
228,0.360691636,0.164911135,0,0,1,0,0,0,0,0,0,0,0
229,0.445078206,1.167697947,0,0,1,0,0,0,0,0,0,0,0
230,0.982285861,0.03224209,0,0,1,0,0,0,0,0,0,0,0
231,1.519493516,-1.103213768,0,0,1,0,0,0,0,0,0,0,0
232,1.568449877,1.175278511,0,0,1,0,0,0,0,0,0,0,0
233,0.490611469,-1.138091374,0,0,1,0,0,0,0,0,0,0,0
234,0.523818406,-0.638516233,0,0,1,0,0,0,0,0,0,0,0
235,0.265021985,-1.011535255,0,0,1,0,0,0,0,0,0,0,0
236,0.355376943,-1.044822737,0,0,1,0,0,0,0,0,0,0,0
237,0.430700515,-1.014398882,0,0,0,1,0,0,0,0,0,0,0
238,0.519762364,-0.713689692,0,0,0,1,0,0,0,0,0,0,0
239,0.744613257,0.523448309,0,0,0,1,0,0,0,0,0,0,0
240,1.528109483,0.438044897,0,0,0,1,0,0,0,0,0,0,0
241,2.273040717,1.961768834,0,0,0,1,0,0,0,0,0,0,0
242,0.840052639,1.505401174,0,0,0,0,1,0,0,0,0,0,0
243,2.066962121,-0.964674047,0,0,0,0,1,0,0,0,0,0,0
244,1.955446393,1.314431594,0,0,0,0,1,0,0,0,0,0,0
245,0.814771646,-0.796538939,0,0,0,0,1,0,0,0,0,0,0
246,1.00221091,-0.784246332,0,0,0,0,0,1,0,0,0,0,0
247,1.195201061,0.207175086,0,0,0,0,0,1,0,0,0,0,0
248,1.835880105,-1.049151836,0,0,0,0,0,1,0,0,0,0,0
249,1.909248818,-0.670343207,0,0,0,0,0,1,0,0,0,0,0
250,2.153673365,-1.022197668,0,0,0,0,0,1,0,0,0,0,0
251,2.068133158,1.796309498,0,0,0,0,0,1,0,0,0,0,0
252,0.709860338,3.436901122,0,0,0,0,0,0,1,0,0,0,0
253,-1.389242404,0.036120952,0,0,0,0,0,0,1,0,0,0,0
254,-0.825805019,-0.738633819,0,0,0,0,0,0,1,0,0,0,0
255,-1.039392073,-0.146453112,0,0,0,0,0,0,1,0,0,0,0
256,-0.558398319,-0.011961492,0,0,0,0,0,0,1,0,0,0,0
257,-0.016673172,-0.859216347,0,0,0,0,0,0,1,0,0,0,0
258,0.142463319,-0.885594469,0,0,0,0,0,0,1,0,0,0,0
259,-0.004761794,0.251364994,0,0,0,0,0,0,0,1,0,0,0
260,-0.665395355,0.54552635,0,0,0,0,0,0,0,1,0,0,0
261,0.128070492,2.493327157,0,0,0,0,0,0,0,1,0,0,0
262,-1.54494948,1.524856541,0,0,0,0,0,0,0,1,0,0,0
263,-0.309254682,0.405187023,0,0,0,0,0,0,0,1,0,0,0
264,-1.039348528,-0.688532228,0,0,0,0,0,0,0,0,1,0,0
265,-1.275559591,-0.229129834,0,0,0,0,0,0,0,0,1,0,0
266,-1.719219626,0.881694046,0,0,0,0,0,0,0,0,1,0,0
267,-0.773952999,-0.62192628,0,0,0,0,0,0,0,0,1,0,0
268,-1.040240823,1.139176894,0,0,0,0,0,0,0,0,1,0,0
269,0.021295446,0.842066753,0,0,0,0,0,0,0,0,1,0,0
270,-0.906076974,-0.525905242,0,0,0,0,0,0,0,0,1,0,0
271,-1.215724316,-0.053251943,0,0,0,0,0,0,0,0,1,0,0
272,-0.692644393,-0.604787247,0,0,0,0,0,0,0,0,1,0,0
273,-0.418617222,-0.839167131,0,0,0,0,0,0,0,0,1,0,0
274,-0.586807186,-0.472359569,0,0,0,0,0,0,0,0,0,1,0
275,-0.920633753,0.228485662,0,0,0,0,0,0,0,0,0,1,0
276,-1.570935859,-0.717820441,0,0,0,0,0,0,0,0,0,1,0
277,-1.347950261,0.186008567,0,0,0,0,0,0,0,0,0,1,0
278,-1.032389741,-0.13322554,0,0,0,0,0,0,0,0,0,1,0
279,-0.716829221,-0.452459647,0,0,0,0,0,0,0,0,0,1,0
280,-0.374016595,-0.769568229,0,0,0,0,0,0,0,0,0,1,0
281,-0.573634826,1.147213535,0,0,0,0,0,0,0,0,0,1,0
282,-1.106217482,0.8280158,0,0,0,0,0,0,0,0,0,1,0
283,-1.638800139,0.508818064,0,0,0,0,0,0,0,0,0,1,0
284,-1.250355263,1.073874974,0,0,0,0,0,0,0,0,0,0,1
285,-0.861910387,1.638931885,0,0,0,0,0,0,0,0,0,0,1
286,-0.218306905,1.317566555,0,0,0,0,0,0,0,0,0,0,1
287,0.425296576,0.996201225,0,0,0,0,0,0,0,0,0,0,1
288,-0.571677217,-0.692432648,0,0,0,0,0,0,0,0,0,0,1
289,-0.688902107,-0.459138971,0,0,0,0,0,0,0,0,0,0,1
290,-0.806126998,-0.225845294,0,0,0,0,0,0,0,0,0,0,1
291,-1.251270207,0.336040397,0,0,0,0,0,0,0,0,0,0,0
292,-0.552400397,0.279100824,0,0,0,0,0,0,0,0,0,0,0
293,-1.225558422,-0.741054731,0,0,0,0,0,0,0,0,0,0,0
294,-1.438052283,2.53203133,0,0,0,0,0,0,0,0,0,0,0
295,0.252445046,-0.414350491,0,0,0,0,0,0,0,0,0,0,0
296,-0.107576255,-0.130457163,0,0,0,0,0,0,0,0,0,0,0
297,-0.595793182,-0.4497477,0,0,0,0,0,0,0,0,0,0,0
298,-0.939830423,0.444172418,0,0,0,0,0,0,0,0,0,0,0
299,-0.192132233,-0.486495988,0,0,0,0,0,0,0,0,0,0,0
300,0.135310856,-0.865252117,0,0,0,0,0,0,0,0,0,0,0
