Species	Status
Abyssomedon	extinct
Acadiella	extinct
Acaenasuchus	extinct
Acallosuchus	extinct
Acerosodontosaurus	extinct
Acleistorhinus	extinct
Acrodenta	extinct
Actiosaurus	extinct
Adamanasuchus	extinct
Adelosaurus	extinct
Aenigmasaurus	extinct
Aenigmaspina	extinct
Aenigmastropheus	extinct
Aetobarbakinoides	extinct
Aetosauroides	extinct
Aetosaurus	extinct
Agkistrognathus	extinct
Agnosphitys	extinct
Ahvaytum	extinct
Alexeyisaurus	extinct
Alwalkeria	extinct
Amanasaurus	extinct
Ammorhynchus	extinct
Ammosaurus	extinct
Amotosaurus	extinct
Anarosaurus	extinct
Ancistronychus	extinct
Angistorhinus	extinct
Anisodontosaurus	extinct
Anomoepus	extinct
Anomoiodon	extinct
Anshunsaurus	extinct
Antarctanax	extinct
Anthodon	extinct
Apachesuchus	extinct
Apatopus	extinct
Apatosuchus	extinct
Aphelosaurus	extinct
Araeoscelis	extinct
Archeopelta	extinct
Archosaurus	extinct
Arcticodactylus	extinct
Arganaceras	extinct
Arganasuchus	extinct
Arizonasaurus	extinct
Asilisaurus	extinct
Askeptosaurus	extinct
Asperoris	extinct
Asylosaurus	extinct
Atopodentatus	extinct
Augustaburiania	extinct
Augustasaurus	extinct
Australothyris	extinct
Austriadactylus	extinct
Austriadraco	extinct
Avalonnectes	extinct
Avicranium	extinct
Azendohsaurus	extinct
Baeotherates	extinct
Baisesaurus	extinct
Barasaurus	extinct
Barberenasuchus	extinct
Barracudasauroides	extinct
Barracudasaurus	extinct
Bashkyroleter	extinct
Batrachopus	extinct
Batrachotomus	extinct
Beesiiwo	extinct
Belebey	extinct
Benggwigwishingasuchus	extinct
Bentonyx	extinct
Bergamodactylus	extinct
Besanosaurus	extinct
Blezingeria	extinct
Blikanasaurus	extinct
Blomosaurus	extinct
Bobosaurus	extinct
Bolosaurus	extinct
Boreopricea	extinct
Bradysaurus	extinct
Brasinorhynchus	extinct
Brazilosaurus	extinct
Bromsgroveia	extinct
Broomia	extinct
Bunostegos	extinct
Buriolestes	extinct
Bystrowisuchus	extinct
Callawayia	extinct
Calyptosuchus	extinct
Camelotia	extinct
Camposaurus	extinct
Candelaria	extinct
Captorhinikos	extinct
Captorhinoides	extinct
Captorhinus	extinct
Cargninia	extinct
Carnufex	extinct
Cartorhynchus	extinct
Caseosaurus	extinct
Ceresiosaurus	extinct
Chalishevia	extinct
Chanaresuchus	extinct
Chaohusaurus	extinct
Chasmatosuchus	extinct
Chelyoposuchus	extinct
Chinchenia	extinct
Chindesaurus	extinct
Chinshakiangosaurus	extinct
Chirotherium	extinct
Chromogisaurus	extinct
Cladeiodon	extinct
Clarazia	extinct
Claudiosaurus	extinct
Clevosaurus	extinct
Coahomasuchus	extinct
Coartaredens	extinct
Coburgosuchus	extinct
Coelodontognathus	extinct
Coelophysis	extinct
Coelurosauravus	extinct
Coletta	extinct
Collilongus	extinct
Colobomycter	extinct
Colobops	extinct
Coloradisaurus	extinct
Coloradisuchus	extinct
Concavispina	extinct
Contectopalatus	extinct
Cornualbus	extinct
Corosaurus	extinct
Cosesaurus	extinct
Crosbysaurus	extinct
Ctenosauriscus	extinct
Cyamodus	extinct
Cymatosaurus	extinct
Cymbospondylus	extinct
Czatkowiella	extinct
Dactylosaurus	extinct
Daemonosaurus	extinct
Dagasuchus	extinct
Dawazisaurus	extinct
Decuriasuchus	extinct
Delorhynchus	extinct
Deltadectes	extinct
Deltavjatia	extinct
Desmatosuchus	extinct
Diandongosaurus	extinct
Diandongosuchus	extinct
Dianmeisaurus	extinct
Dianopachysaurus	extinct
Dimetropus	extinct
Dimorphodon	extinct
Dinocephalosaurus	extinct
Diphydontosaurus	extinct
Dolabrosaurus	extinct
Dolerosaurus	extinct
Dolichobrachium	extinct
Doliovertebra	extinct
Dongusuchus	extinct
Dorosuchus	extinct
Doswellia	extinct
Dracoraptor	extinct
Drepanosaurus	extinct
Dromomeron	extinct
Dynamosuchus	extinct
Dyoplax	extinct
Ebrachosuchus	extinct
Effigia	extinct
Efraasia	extinct
Eifelosaurus	extinct
Elachistosuchus	extinct
Elessaurus	extinct
Elginia	extinct
Elorhynchus	extinct
Embrithosaurus	extinct
Emeroleter	extinct
Endennasaurus	extinct
Energosuchus	extinct
Eodromaeus	extinct
Eohupehsuchus	extinct
Eohyosaurus	extinct
Eomurruna	extinct
Eoplesiosaurus	extinct
Eoraptor	extinct
Eorasaurus	extinct
Eorhynchochelys	extinct
Eretmorhipis	extinct
Erpetosuchus	extinct
Erythrosuchus	extinct
Erythrovenator	extinct
Eshanosaurus	extinct
Eucoelophysis	extinct
Eudibamus	extinct
Eudimorphodon	extinct
Eumetabolodon	extinct
Eunotosaurus	extinct
Euparkeria	extinct
Eurhinosaurus	extinct
Eurycleidus	extinct
Eusaurosphargis	extinct
Euscolosuchus	extinct
Fasolasuchus	extinct
Faxinalipterus	extinct
Feeserpeton	extinct
Feralisaurus	extinct
Fodonyx	extinct
Fraserosphenodon	extinct
Fraxinisaura	extinct
Fugusuchus	extinct
Fuyuansaurus	extinct
Galesphyrus	extinct
Gamatavus	extinct
Gansurhinus	extinct
Garjainia	extinct
Garzapelta	extinct
Gecatogomphius	extinct
Gephyrosaurus	extinct
Germanosaurus	extinct
Glaurung	extinct
Glyphoderma	extinct
Gnathovorax	extinct
Gojirasaurus	extinct
Gomphiosauridion	extinct
Gondwanax	extinct
Gorgetosuchus	extinct
Gracilisuchus	extinct
Grallator	extinct
Graoullyodon	extinct
Gresslyosaurus	extinct
Grippia	extinct
Guaibasaurus	extinct
Gualosuchus	extinct
Guanlingsaurus	extinct
