Species	Status
Abyssomedon	extinct
Acadiella	extinct
Acaenasuchus	extinct
Acallosuchus	extinct
Acerosodontosaurus	extinct
Acleistorhinus	extinct
Acrodenta	extinct
Actiosaurus	extinct
Adamanasuchus	extinct
Adelosaurus	extinct
Aenigmasaurus	extinct
Aenigmaspina	extinct
Aenigmastropheus	extinct
Aetobarbakinoides	extinct
Aetosauroides	extinct
Aetosaurus	extinct
Agnosphitys	extinct
Ahvaytum	extinct
Alwalkeria	extinct
Amanasaurus	extinct
Ammorhynchus	extinct
Ammosaurus	extinct
Amotosaurus	extinct
Ancistronychus	extinct
Angistorhinus	extinct
Anisodontosaurus	extinct
Anomoepus	extinct
Anomoiodon	extinct
Antarctanax	extinct
Anthodon	extinct
Apachesuchus	extinct
Apatopus	extinct
Apatosuchus	extinct
Aphelosaurus	extinct
Araeoscelis	extinct
Archeopelta	extinct
Archosaurus	extinct
Arcticodactylus	extinct
Arganaceras	extinct
Arganasuchus	extinct
Arizonasaurus	extinct
Asilisaurus	extinct
Asperoris	extinct
Asylosaurus	extinct
Augustaburiania	extinct
Australothyris	extinct
Austriadactylus	extinct
Avicranium	extinct
Azendohsaurus	extinct
Baeotherates	extinct
Baisesaurus	extinct
Barasaurus	extinct
Barberenasuchus	extinct
Bashkyroleter	extinct
Batrachopus	extinct
Batrachotomus	extinct
Beesiiwo	extinct
Belebey	extinct
Benggwigwishingasuchus	extinct
Bentonyx	extinct
Bergamodactylus	extinct
Blikanasaurus	extinct
Blomosaurus	extinct
Bolosaurus	extinct
Boreopricea	extinct
Bradysaurus	extinct
Brasinorhynchus	extinct
Bromsgroveia	extinct
Broomia	extinct
Bunostegos	extinct
Buriolestes	extinct
Bystrowisuchus	extinct
Calyptosuchus	extinct
Camelotia	extinct
Camposaurus	extinct
Candelaria	extinct
Captorhinikos	extinct
Captorhinoides	extinct
Captorhinus	extinct
Cargninia	extinct
Carnufex	extinct
Cartorhynchus	extinct
Caseosaurus	extinct
Chalishevia	extinct
Chanaresuchus	extinct
Chasmatosuchus	extinct
Chindesaurus	extinct
Chinshakiangosaurus	extinct
Chirotherium	extinct
Chromogisaurus	extinct
Cladeiodon	extinct
Claudiosaurus	extinct
Clevosaurus	extinct
Coahomasuchus	extinct
Coartaredens	extinct
Coburgosuchus	extinct
Coelodontognathus	extinct
Coelophysis	extinct
Coelurosauravus	extinct
Coletta	extinct
Collilongus	extinct
Colobomycter	extinct
Colobops	extinct
Coloradisaurus	extinct
Coloradisuchus	extinct
Cornualbus	extinct
Cosesaurus	extinct
Crosbysaurus	extinct
Ctenosauriscus	extinct
Czatkowiella	extinct
Daemonosaurus	extinct
Dagasuchus	extinct
Decuriasuchus	extinct
Delorhynchus	extinct
Deltadectes	extinct
Deltavjatia	extinct
Desmatosuchus	extinct
Diandongosuchus	extinct
Dimetropus	extinct
Dimorphodon	extinct
Diphydontosaurus	extinct
Dolabrosaurus	extinct
Dolerosaurus	extinct
Dolichobrachium	extinct
Dongusuchus	extinct
Dorosuchus	extinct
Doswellia	extinct
Dracoraptor	extinct
Drepanosaurus	extinct
Dromomeron	extinct
Dynamosuchus	extinct
Dyoplax	extinct
Ebrachosuchus	extinct
Effigia	extinct
Efraasia	extinct
Eifelosaurus	extinct
Elachistosuchus	extinct
Elessaurus	extinct
Elginia	extinct
Elorhynchus	extinct
Embrithosaurus	extinct
Emeroleter	extinct
Energosuchus	extinct
Eodromaeus	extinct
Eohupehsuchus	extinct
Eohyosaurus	extinct
Eomurruna	extinct
Eoraptor	extinct
Eorasaurus	extinct
Eorhynchochelys	extinct
Eretmorhipis	extinct
Erpetosuchus	extinct
Erythrosuchus	extinct
Erythrovenator	extinct
Eshanosaurus	extinct
Eucoelophysis	extinct
Eudibamus	extinct
Eudimorphodon	extinct
Eumetabolodon	extinct
Eunotosaurus	extinct
Euparkeria	extinct
Eusaurosphargis	extinct
Euscolosuchus	extinct
Fasolasuchus	extinct
Faxinalipterus	extinct
Feeserpeton	extinct
Feralisaurus	extinct
Fodonyx	extinct
Fraserosphenodon	extinct
Fraxinisaura	extinct
Fugusuchus	extinct
Fuyuansaurus	extinct
Galesphyrus	extinct
Gamatavus	extinct
Gansurhinus	extinct
Garjainia	extinct
Garzapelta	extinct
Gecatogomphius	extinct
Gephyrosaurus	extinct
Glaurung	extinct
Gnathovorax	extinct
Gojirasaurus	extinct
Gomphiosauridion	extinct
Gondwanax	extinct
Gorgetosuchus	extinct
Gracilisuchus	extinct
Grallator	extinct
Graoullyodon	extinct
Gresslyosaurus	extinct
Guaibasaurus	extinct
Gualosuchus	extinct
Guchengosuchus	extinct
Gyposaurus	extinct
Halazhaisuchus	extinct
Haligonia	extinct
Helveticosaurus	extinct
Hemilopas	extinct
Hemiprotosuchus	extinct
Heptasuchus	extinct
Herrerasaurus	extinct
Hesperosuchus	extinct
Heterodontichnites	extinct
Heteropelta	extinct
Horaffia	extinct
Hovasaurus	extinct
Howesia	extinct
Hupehsuchus	extinct
Hwiccewyrm	extinct
Hyperodapedon	extinct
Hypselorhachis	extinct
Hypsognathus	extinct
Hypuronector	extinct
Icarosaurus	extinct
Idiosaura	extinct
Ignotosaurus	extinct
Incertovenator	extinct
Indosauriscus	extinct
Ingentia	extinct
Issi	extinct
Ixalerpeton	extinct
Jaklapallisaurus	extinct
Jaxtasuchus	extinct
Jesairosaurus	extinct
Jingshanosaurus	extinct
Jupijkam	extinct
Jushatyria	extinct
Kadimakara	extinct
Kahneria	extinct
Kalisuchus	extinct
Kapes	extinct
Kholumolumo	extinct
Kinelia	extinct
Kitchingnathus	extinct
Kocurypelta	extinct
Koilamasuchus	extinct
