genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI,Stage
Acerosodontosaurus,-0.336825198,0,0,1,0,255.18081707507508,255.07870804004006,0.10210903503502777,1.2194596644444444,1.272938661111111,-1.039392073271287,-0.1464531124841439,-0.9769770935151132,-0.1290011358915875,Lopingian
Acrodenta,-0.336825198,0,1,0,0,256.60955075275274,256.5190844104104,0.09046634234232442,2.081169813333333,2.0668969977777776,-0.0166731716554773,-0.8592163467668951,-0.25269329385877554,-0.49008230279831155,Lopingian
Adelosaurus,-0.336825198,1,0,0,0,257.6909667517518,257.5843565745746,0.10661017717717414,1.229360361111111,1.5289804288888889,0.1424633191005636,-0.885594468960644,0.08480206770996822,-0.876036664036082,Lopingian
Aenigmasaurus,-0.336825198,0,0,1,0,248.65646756456457,248.46094597697697,0.1955215875875922,2.8929662966666667,2.4340714755555553,1.9092488182519396,-0.6703432065006151,1.87687170198019,-0.8375088899646761,Early Triassic
Aenigmastropheus,-0.336825198,0,0,1,0,256.2626098878879,256.14505604504507,0.117553842842824,1.1706249155555555,1.1623964166666665,-0.5583983187478894,-0.0119614923970951,-0.44797687500653816,-0.18465996271643986,Lopingian
Agkistrognathus,-0.336825198,1,0,0,0,248.81297151551553,248.58713053953954,0.2258409759759843,2.4639375933333336,1.7759426177777777,1.9092488182519396,-0.6703432065006151,1.8872419481844003,-0.7839664657454442,Early Triassic
Ammorhynchus,-0.265748728,0,1,0,0,246.67920942142143,244.74670263463463,1.9325067867868029,4.207938693333333,0.3591183233333333,0.9084912781202719,-0.7903926351562492,0.9084912781202719,-0.7903926351562492,Anisian
Amotosaurus,-0.029130508,1,1,0,0,246.79407811211212,243.3418607807808,3.452217331331326,3.0455731844444442,0.14261196555555558,1.2574763163909093,-0.08878455880747256,1.2574763163909093,-0.08878455880747256,Anisian
Anarosaurus,-0.18898393,1,0,0,0,246.8897940800801,242.03933941041043,4.850454669669659,3.222661297777778,1.1582965422222222,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Anisodontosaurus,-0.265748728,0,1,0,0,246.79107556956956,240.25119256256255,6.539883007007006,4.720730272222221,1.524518818888889,1.4920807378274252,0.37269038085152245,1.4920807378274252,0.37269038085152245,Anisian
Anomoiodon,0.757623849,1,1,0,0,246.9988270960961,242.56166558958958,4.437161506506527,2.5481104755555557,0.16458452222222222,1.4598477676394097,-0.3077569307883378,1.4598477676394097,-0.3077569307883378,Anisian
Anshunsaurus,0.282626198,1,1,0,0,240.16365533033033,226.62595781681682,13.537697513513507,0.24470465222222224,0.4628916444444444,0.7222784240575909,-0.3498061626742768,0.7222784240575909,-0.3498061626742768,Mixed
Antarctanax,-0.336825198,0,0,0,1,248.5517688288288,248.43251595195196,0.11925287687685682,4.905578775555556,4.1316593911111115,1.8358801052800704,-1.0491518362093228,1.871987959061911,-0.8627240516839789,Early Triassic
Anthodon,0.820606173,0,0,1,0,261.4862844654655,254.40458162462463,7.081702840840848,0.5113278288888888,0.2415068722222222,-0.28772670032470493,0.1981418685776287,-0.28772670032470493,0.1981418685776287,Lopingian
Archeopelta,-0.336825198,0,0,1,0,240.2923402212212,239.86644923423424,0.42589098698695693,0.5136809733333334,0.9510653066666666,1.5281094831347244,0.4380448974548507,1.5281094831347244,0.4380448974548507,Ladinian
Archosaurus,-0.087061659,1,0,0,0,262.30012537737736,254.94115994394394,7.358965433433411,0.3265005588888889,0.39544148333333334,-0.4448795477544153,0.3639812026542426,-0.4448795477544153,0.3639812026542426,Mixed
Arganaceras,-0.336825198,0,1,0,0,256.1856031051051,256.101559992993,0.0840431121121128,2.4891206211111108,2.365207377777778,-0.5583983187478894,-0.0119614923970951,-0.4806165829695465,-0.1336116568268224,Lopingian
