genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mean_pt_1myr_z_trans_NN,Mod_R_deltaTMyr_pt_1myr_z_trans_NN,mean_pt_1myr_z_trans_WI,Mod_R_deltaTMyr_pt_1myr_z_trans_WI
Abajudon,-0.297424559,0,0,1,0,266.1942694744745,259.87117556456457,6.323093909909915,1.4825818155555557,1.7282567188888889,-0.917950967251633,0.7047041508618038,-0.917950967251633,0.7047041508618038
Abdalodon,-0.297424559,0,0,1,0,257.0290669019019,256.8337731741742,0.19529372772768738,1.0965092888888888,1.0861278799999998,-0.0166731716554773,-0.8592163467668951,-0.0166731716554773,-0.8592163467668951
Acratophorus,-0.297424559,0,0,1,0,233.35552446346347,228.59782297797798,4.757701485485484,0.4690962388888889,0.6290016088888889,1.0059082670558652,0.025417829176194284,1.0059082670558652,0.025417829176194284
Adelobasileus,-0.297424559,0,1,0,0,216.76385614714712,216.11342377577577,0.6504323713713518,1.0543589555555557,1.0214594022222223,-0.1629800864626323,-0.7630838993406391,-0.07413517964150304,-0.09313886562460866
Aelurognathus,1.840694848,0,0,1,0,260.1123003203203,252.03434334934934,8.077956970970945,0.9501141244444444,0.9647666011111111,-0.5446506021234072,-0.2261058680101301,-0.5446506021234072,-0.2261058680101301
Aelurosaurus,-0.152345603,0,0,1,0,263.2735337917918,253.48818840640638,9.785345385385426,0.8907188366666667,0.5274745344444445,-0.46940960833060996,0.25784028252283564,-0.46940960833060996,0.25784028252283564
Aelurosuchus,-0.297424559,0,0,1,0,244.68013993093092,244.50406954854856,0.17607038238236328,1.4926438133333335,1.1284839855555557,0.8147716463490362,-0.7965389385741263,1.280047468978877,0.06451593616710372
Agudotherium,-0.297424559,0,0,1,0,231.30585451651652,230.01286442942944,1.2929900870870767,0.38819364666666667,0.45588611888888886,1.5194935163054322,-1.1032137679001923,1.5194935163054322,-1.1032137679001923
Akidnognathus,-0.152345603,0,0,1,0,260.8349455325325,254.12413123023023,6.710814302302282,0.6243681211111112,0.47494857555555553,-0.3570262323043322,-0.18438901281440548,-0.3570262323043322,-0.18438901281440548
Aleodon,-0.141271243,0,0,1,0,246.3329053903904,234.0118061881882,12.32109920220222,1.1422294455555557,0.22833018888888887,1.0663390812578406,-0.048900922783536915,1.0663390812578406,-0.048900922783536915
Alepognathus,-0.297424559,0,0,1,0,262.18786665765765,261.49270834534536,0.6951583123122873,0.6692130144444445,0.8769237166666666,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397
Alopecideops,-0.297424559,0,0,1,0,262.40052778678677,261.82877855255254,0.5717492342342325,1.0753667388888888,0.8251330666666667,-1.5449494797623875,1.5248565411905397,-1.5449494797623875,1.5248565411905397
Alopecodon,-0.297424559,0,0,1,0,264.00780328428425,259.9672420950951,4.040561189189134,1.8698367322222222,1.4858500399999996,-0.6861755106823118,0.8560729686572633,-0.6861755106823118,0.8560729686572633
Alopecognathus,-0.297424559,0,0,1,0,263.6269443153153,260.0695664164164,3.557377898898892,1.3117347,1.4074391444444443,-0.5753778902196263,1.4744569071719458,-0.5753778902196263,1.4744569071719458
Alopecorhinus,-0.297424559,0,0,1,0,259.97103521521524,259.4652615795796,0.5057736356356486,0.7151650688888889,0.6657136733333333,-0.6653953549718581,0.5455263496600072,-0.479194727157799,0.46261650016104655
