genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Acerosodontosaurus,-0.298764409,0,0,1,0,255.63731933533535,255.5355842222222,0.10173511311313632,1.1500538466666665,1.228207132222222,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.7693218219999998,2.534502489,-0.505604034,0.987962875,-1.00590359,Lopingian
Acrodenta,-0.298764409,0,1,0,0,256.75551705405405,256.6824125825826,0.07310447147148125,3.9481850033333337,2.7689967644444446,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.7693218220000002,2.534502489,-0.505604034,0.987962875,-1.00590359,Lopingian
Adelosaurus,-0.298764409,1,0,0,0,256.83223436536537,256.72910483783784,0.10312952752752835,0.9071174566666667,1.3731100344444445,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,Lopingian
Aenigmasaurus,-0.298764409,0,0,1,0,248.69575380380383,248.54915714814814,0.14659665565568503,4.549437601111111,2.4631500077777777,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,Early Triassic
Aenigmastropheus,-0.298764409,0,0,1,0,256.50844433533535,256.40440225025026,0.10404208508509782,1.1389646488888892,1.3002836822222221,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,-0.766473746,-0.046076107,1.691979582,-1.769321822,2.534502489,-0.505604034,0.987962875,-1.00590359,Lopingian
Ammorhynchus,-0.228876805,0,1,0,0,246.76947884184185,244.66773073173175,2.101748110110094,4.96121472111111,0.26579311666666666,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,-0.3484771266666667,-0.4370998383333333,-0.650113508,-0.08101385033333335,-0.29084540066666664,-0.5632834476666667,-0.031337283333333334,-0.6552442079999999,Anisian
Amotosaurus,0.003783601,1,1,0,0,246.91771955855853,243.4198837837838,3.497835774774728,1.8591616000000002,0.18831176111111114,-0.30850061100000004,-0.48859968574999996,-0.5434249135,-0.08179975225,-0.2304753545,-0.61479241375,-0.0804176885,-0.6961617097499999,-0.30850061100000004,-0.48859968574999996,-0.5434249135,-0.08179975225,-0.2304753545,-0.61479241375,-0.0804176885,-0.6961617097499999,Anisian
Anisodontosaurus,-0.228876805,0,1,0,0,246.7769033923924,239.26395453053053,7.512948861861872,4.944203073333334,1.4182984688888889,-0.25281134466666666,-0.37658510477777773,-0.24089354422222226,-0.15514463144444446,0.004552379333333338,-0.5446300543333333,-0.18807635066666664,-0.5686771804444444,-0.25281134466666666,-0.37658510477777773,-0.24089354422222226,-0.15514463144444446,0.004552379333333338,-0.5446300543333333,-0.18807635066666664,-0.5686771804444444,Mixed
Anomoiodon,0.777378248,1,1,0,0,247.04397016016014,243.57150205505505,3.4724681051050936,0.9275187233333334,0.24920276444444445,-0.38045833920000005,-0.3958999604,-0.7354643836,-0.0803851288,-0.33914143760000004,-0.5220762748000001,0.007927040799999997,-0.6225102065999999,-0.38045833920000005,-0.3958999604,-0.7354643836,-0.0803851288,-0.33914143760000004,-0.5220762748000001,0.007927040799999997,-0.6225102065999999,Anisian
Antarctanax,-0.298764409,0,0,0,1,250.00163467867867,249.89894297597596,0.10269170270271388,5.626944404444445,4.242737171111111,-1.743744482,-0.676594417,0.269638942,-2.255303398,2.175326743,-0.431060027,-0.737230785,-0.208189018,-1.743744482,-0.676594417,0.269638942,-2.255303398,2.175326743,-0.431060027,-0.737230785,-0.208189018,Early Triassic
