id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
7207,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)",DE,,,Leukersdorf,,Chemnitz petrified forest (Chemnitz-Hilbersdorf),
7208,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)",DE,,,Leukersdorf,,Chemnitz petrified forest (Chemnitz-Hilbersdorf),
7209,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)",DE,,,Leukersdorf,,Chemnitz petrified forest (Chemnitz-Hilbersdorf),
7210,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)",DE,,,Leukersdorf,,Chemnitz petrified forest (Chemnitz-Hilbersdorf),
7211,1406787,1406787,15.09507,Ascendonanus,293.52,283.5,Cisuralian,"(293.52, 283.5)",DE,,,Leukersdorf,,Chemnitz petrified forest (Chemnitz-Hilbersdorf),
7643,229268,229268,-62.75164,Diictodon,264.28,254.14,Guadalupian,"(264.28, 254.14)",ZA,,,Teekloof,,Wilgerboschkloof,"ETE Locality 1537, Wilgerboschkloof, "
7685,1567517,1567517,-62.75164,Galepus,264.28,259.51,Guadalupian,"(264.28, 259.51)",ZA,,,,Diictodon - Styracocephalus,Galepus jouberti Type Locality,
8048,1418815,1418815,-63.15948,Moschorhinus,259.51,251.902,Lopingian,"(259.51, 251.902)",ZA,,,,,"Elim, Burghersdorp district",
8058,1385154,1385154,-63.15948,Procynosuchus,259.51,251.902,Lopingian,"(259.51, 251.902)",ZA,,,,,"Elim, Burghersdorp district",
8061,1363613,1363613,-47.78411,Kembawacela,259.51,251.902,Lopingian,"(259.51, 251.902)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L53, Luangwa Basin",
8355,1651601,1651601,-47.78411,Aelurognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8362,1475790,1475790,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L7, Luangwa Basin",
8372,1419979,1419979,-47.78411,Theriognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,,Cistecephalus Assemblage Zone,"L123, Luangwa Basin",
8373,1419978,1419978,-47.78411,Theriognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,,Cistecephalus Assemblage Zone,"L120, Luangwa Basin",
8374,1419977,1419977,-47.78411,Theriognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,,Cistecephalus Assemblage Zone,"L106, Luangwa Basin",
8375,1419976,1419976,-47.78411,Theriognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,,Cistecephalus Assemblage Zone,"L89, Luangwa Basin",
8404,1387424,1387424,-47.78411,Aelurognathus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8405,1387423,1387423,-47.78411,Lycaenops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 5, Upper Luangwa Valley",
8406,1387422,1387422,-47.78411,Lycaenops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8407,1387422,1387422,-47.78411,Lycaenops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8483,1384161,1384161,-61.36501,Cistecephalus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZA,,,,,Koppieskraal,
8484,1384160,1384160,-63.15948,Dicynodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZA,,,,,Doornplaats,
8485,1384159,1384159,-63.15948,Cistecephalus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZA,,,,,Doornplaats,
8495,1363627,1363627,-47.78411,Syops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L61, Luangwa Basin",
8496,1363626,1363626,-47.78411,Platypodosaurus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 7, Luangwa Basin",
8497,1363625,1363625,-47.78411,Platypodosaurus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 3, Luangwa Basin",
8498,1363625,1363625,-47.78411,Platypodosaurus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 3, Luangwa Basin",
8499,1363624,1363624,-50.10377,Platypodosaurus,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,,"Munyamadzi Corridor, Kerr's 1974 locality 1",Middle Luangwa Valley
8500,1363623,1363623,-47.78411,Kitchinganomodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 2, Luangwa Basin",
8501,1363622,1363622,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L37, Luangwa Basin",
8502,1363621,1363621,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L30, Luangwa Basin",
8503,1363620,1363620,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L59, Luangwa Basin",
8504,1363619,1363619,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 13, Luangwa Basin",
8505,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8506,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8507,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8508,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8509,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8510,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8511,1363618,1363618,-47.78411,Oudenodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
8512,1363617,1363617,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L39, Luangwa Basin",
8513,1363616,1363616,-47.78411,Odontocyclops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 3, Upper Luangwa Valley",
8514,1363615,1363615,-47.78411,Katumbia,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L59, Luangwa Basin",
8515,1363614,1363614,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L55, Luangwa Basin",
8516,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8517,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8518,1363611,1363611,-47.78411,Kembawacela,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8519,1363609,1363609,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L64, Luangwa Basin",
8520,1363608,1363608,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L29, Luangwa Basin",
8521,1363607,1363607,-47.78411,Dicynodontoides,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8522,1363606,1363606,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L52, Luangwa Basin",
8523,1363605,1363605,-47.78411,Emydops,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Drysdall & Kitching locality 4, Upper Luangwa Valley",
8524,1363604,1363604,-47.78411,Compsodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L45, Luangwa Basin",
8525,1359046,1359046,-47.78411,Compsodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"L26, Luangwa Basin",
8526,1359044,1359044,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 13, Luangwa Basin",
8527,1359043,1359043,-47.78411,Diictodon,259.51,254.14,Lopingian,"(259.51, 254.14)",ZM,,,Madumabisa Mudstone,Cistecephalus Assemblage Zone,"Kerr's 1974 Locality 11, Luangwa Basin",
