id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
6406,803135,Procolophon,251.902,246.7,Fremouw,1
6407,803158,Procolophon,251.902,246.7,Fremouw,1
6408,803158,Procolophon,251.902,246.7,Fremouw,1
6409,803158,Procolophon,251.902,246.7,Fremouw,1
6412,807184,Procolophon,251.902,246.7,Fremouw,1
6424,853631,Palacrodon,251.902,246.7,Fremouw,1
6435,922693,Prolacerta,251.902,246.7,Fremouw,1
6436,922694,Prolacerta,251.902,246.7,Fremouw,1
6437,922695,Prolacerta,251.902,246.7,Fremouw,1
6438,922696,Prolacerta,251.902,246.7,Fremouw,1
6467,1431220,Antarctanax,251.902,246.7,Fremouw,1
6471,1587698,Procolophon,251.902,246.7,Fremouw,1
3164,360364,Zupaysaurus,227.0,208.5,La Rioja,1
3221,513572,Coloradisaurus,227.0,208.5,La Rioja,1
3222,513603,Riojasaurus,227.0,208.5,La Rioja,1
3268,539206,Lessemsaurus,227.0,208.5,La Rioja,1
3269,539206,Lessemsaurus,227.0,208.5,La Rioja,1
3270,539206,Lessemsaurus,227.0,208.5,La Rioja,1
3289,561802,Riojasaurus,227.0,208.5,La Rioja,1
3759,923083,Riojasuchus,227.0,208.5,La Rioja,1
3760,923086,Neoaetosauroides,227.0,208.5,La Rioja,1
3761,923086,Neoaetosauroides,227.0,208.5,La Rioja,1
3762,923087,Hemiprotosuchus,227.0,208.5,La Rioja,1
3763,923087,Hemiprotosuchus,227.0,208.5,La Rioja,1
3764,923088,Pseudhesperosuchus,227.0,208.5,La Rioja,1
3765,923089,Palaeochersis,227.0,208.5,La Rioja,1
3766,923089,Palaeochersis,227.0,208.5,La Rioja,1
3767,923089,Palaeochersis,227.0,208.5,La Rioja,1
3768,923090,Fasolasuchus,227.0,208.5,La Rioja,1
3769,923092,Neoaetosauroides,227.0,208.5,La Rioja,1
3770,923093,Neoaetosauroides,227.0,208.5,La Rioja,1
3771,923093,Neoaetosauroides,227.0,208.5,La Rioja,1
3772,923094,Neoaetosauroides,227.0,208.5,La Rioja,1
3773,923095,Neoaetosauroides,227.0,208.5,La Rioja,1
3774,923096,Neoaetosauroides,227.0,208.5,La Rioja,1
3833,1112358,Coloradisaurus,227.0,208.5,La Rioja,1
3841,1139540,Plateosaurus,227.0,208.5,Santa Cruz,1
3842,1139540,Plateosaurus,227.0,208.5,Santa Cruz,1
3843,1139540,Plateosaurus,227.0,208.5,Santa Cruz,1
3844,1139540,Plateosaurus,227.0,208.5,Santa Cruz,1
3846,1315237,Sphenotitan,227.0,208.5,San Juan,1
3854,1347795,Dromomeron,227.0,208.5,San Juan,1
3855,1347822,Waluchelys,227.0,208.5,San Juan,1
3856,1347823,Sphenotitan,227.0,208.5,San Juan,1
3857,1347824,Sphenotitan,227.0,208.5,San Juan,1
3858,1347830,Lucianovenator,227.0,208.5,San Juan,1
3888,1421955,Ingentia,227.0,208.5,San Juan,1
3890,1435841,Coloradisuchus,227.0,208.5,La Rioja,1
3929,1555177,Powellvenator,227.0,208.5,La Rioja,1
3989,1593287,Yelaphomte,227.0,208.5,San Juan,1
4021,N46,Coloradisaurus,227.0,208.5,La Rioja,1
4091,N315,Ingentia,227.0,208.5,San Juan,1
4093,N327,Lessemsaurus,227.0,208.5,La Rioja,1
4094,N328,Lessemsaurus,227.0,208.5,La Rioja,1
4095,N329,Lessemsaurus,227.0,208.5,La Rioja,1
4096,N330,Lessemsaurus,227.0,208.5,La Rioja,1
4097,N331,Lessemsaurus,227.0,208.5,La Rioja,1
4098,N332,Lessemsaurus,227.0,208.5,La Rioja,1
4099,N333,Lessemsaurus,227.0,208.5,La Rioja,1
4100,N334,Lessemsaurus,227.0,208.5,La Rioja,1
4101,N335,Lessemsaurus,227.0,208.5,La Rioja,1
4102,N336,Lessemsaurus,227.0,208.5,La Rioja,1
4103,N337,Lessemsaurus,227.0,208.5,La Rioja,1
4104,N338,Lessemsaurus,227.0,208.5,La Rioja,1
4105,N339,Lessemsaurus,227.0,208.5,La Rioja,1
4106,N340,Lessemsaurus,227.0,208.5,La Rioja,1
4107,N341,Lessemsaurus,227.0,208.5,La Rioja,1
4108,N342,Lessemsaurus,227.0,208.5,La Rioja,1
4109,N343,Lessemsaurus,227.0,208.5,La Rioja,1
4110,N344,Lessemsaurus,227.0,208.5,La Rioja,1
4111,N345,Leyesaurus,227.0,208.5,San Juan,1
4125,N525,Pachagnathus,227.0,208.5,San Juan,1
4343,256434,Eoraptor,237.0,227.0,San Juan,1
4344,256434,Eoraptor,237.0,227.0,San Juan,1
4345,256435,Herrerasaurus,237.0,227.0,San Juan,1
4346,256436,Saurosuchus,237.0,227.0,San Juan,1
4347,256437,Aetosauroides,237.0,227.0,San Juan,1
4348,256441,Herrerasaurus,237.0,227.0,San Juan,1
4351,277109,Pisanosaurus,237.0,227.0,La Rioja,1
4365,474116,Herrerasaurus,237.0,227.0,San Juan,1
4366,474117,Hyperodapedon,237.0,227.0,San Juan,1
4367,474119,Hyperodapedon,237.0,227.0,San Juan,1
4371,518725,Herrerasaurus,237.0,227.0,San Juan,1
4372,518725,Herrerasaurus,237.0,227.0,San Juan,1
4373,518726,Herrerasaurus,237.0,227.0,San Juan,1
4374,518727,Herrerasaurus,237.0,227.0,San Juan,1
4375,518731,Herrerasaurus,237.0,227.0,San Juan,1
4376,518732,Herrerasaurus,237.0,227.0,San Juan,1
4377,518733,Herrerasaurus,237.0,227.0,San Juan,1
4378,518734,Trialestes,237.0,227.0,San Juan,1
4379,518737,Proterochampsa,237.0,227.0,San Juan,1
4380,519917,Herrerasaurus,237.0,227.0,San Juan,1
4413,800076,Panphagia,237.0,227.0,San Juan,1
4416,820889,Sillosuchus,237.0,227.0,San Juan,1
4427,832678,Aetosauroides,237.0,227.0,San Juan,1
4446,893426,Sanjuansaurus,237.0,227.0,San Juan,1
4449,908663,Eodromaeus,237.0,227.0,San Juan,1
4465,1063632,Chromogisaurus,237.0,227.0,San Juan,1
4484,1142068,Venaticosuchus,237.0,227.0,La Rioja,1
4485,1180352,Ignotosaurus,237.0,227.0,San Juan,1
4486,1181558,Hyperodapedon,237.0,227.0,San Juan,1
4506,1347794,Trialestes,237.0,227.0,La Rioja,1
4507,1349988,Pseudochampsa,237.0,227.0,San Juan,1
4530,1475020,Lewisuchus,237.0,227.0,La Rioja,1
4546,1572197,Incertovenator,237.0,227.0,San Juan,1
4550,1583925,Taytalura,237.0,227.0,San Juan,1
6091,149866,Lewisuchus,242.0,237.0,La Rioja,1
6092,149867,Lagerpeton,242.0,237.0,La Rioja,1
6093,272321,Luperosuchus,242.0,237.0,La Rioja,1
6094,272322,Lagerpeton,242.0,237.0,La Rioja,1
6095,272323,Chanaresuchus,242.0,237.0,La Rioja,1
6096,272324,Gualosuchus,242.0,237.0,La Rioja,1
6097,272325,Gracilisuchus,242.0,237.0,La Rioja,1
6098,272327,Marasuchus,242.0,237.0,La Rioja,1
6099,272328,Lewisuchus,242.0,237.0,La Rioja,1
6100,272329,Tropidosuchus,242.0,237.0,La Rioja,1
6101,272330,Tarjadia,242.0,237.0,La Rioja,1
6104,573788,Gracilisuchus,242.0,237.0,La Rioja,1
6105,573792,Luperosuchus,242.0,237.0,La Rioja,1
6106,573793,Lagerpeton,242.0,237.0,La Rioja,1
6107,573794,Chanaresuchus,242.0,237.0,La Rioja,1
6108,573795,Gualosuchus,242.0,237.0,La Rioja,1
6136,922174,Tropidosuchus,242.0,237.0,La Rioja,1
6137,922175,Marasuchus,242.0,237.0,La Rioja,1
6138,922176,Luperosuchus,242.0,237.0,La Rioja,1
6139,922177,Tarjadia,242.0,237.0,La Rioja,1
6140,922178,Tarjadia,242.0,237.0,La Rioja,1
6141,922179,Tarjadia,242.0,237.0,La Rioja,1
6143,923804,Lewisuchus,242.0,237.0,La Rioja,1
6144,923804,Lewisuchus,242.0,237.0,La Rioja,1
6145,923804,Lewisuchus,242.0,237.0,La Rioja,1
6146,923807,Lagerpeton,242.0,237.0,La Rioja,1
6147,923807,Lagerpeton,242.0,237.0,La Rioja,1
6148,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6149,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6150,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6151,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6152,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6153,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6154,923809,Tropidosuchus,242.0,237.0,La Rioja,1
6299,1565299,Chanaresuchus,242.0,237.0,La Rioja,1
6313,N522,Elorhynchus,242.0,237.0,Cordoba,1
6314,N524,Koilamasuchus,242.0,237.0,Mendoza,1
3170,404182,Placochelys,227.0,208.5,Niederösterreich,3
3742,882293,Mystriosuchus,227.0,208.5,Styria,3
3743,882293,Mystriosuchus,227.0,208.5,Styria,3
3744,882293,Mystriosuchus,227.0,208.5,Styria,3
