id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka,locality
1,557171,557171,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Giving Site, PFV 231",PEFO,Arizona
2,812265,812265,3.836582,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Canjilon Quarry, UCMP V2816",,New Mexico
3,837001,837001,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Placerias Quarry, UCMP A269",,Arizona
4,837005,837005,3.84681,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Utah,San Juan,Chinle,,Blue Lizard Mine,,Utah
5,837007,837007,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,Vancleavea type locality,,Arizona
6,837008,837008,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,," Dinosaur Wash, PFV 122, Dying Grounds","Dawn of the Dinosaurs, PEFO 85025, UCMP V7038, MNA 302/8, SMU 228, Camp Butte N1",Arizona
7,837009,837009,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,"Crocodile Hill locality (SMU Loc. 230, PFV 124)","Petrified Forest, Crocodile Hill Quarry, Blue Mesa",Arizona
8,837011,837011,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Inadvertent Hills, UCMP V82250","Dinosaur Hill, PFV 40, Fossil Cove, Bolt Quarry, FMNH 83-3, PEFO 85119",Arizona
9,837012,837012,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Zuni Well Mound, PFV 215",PEFO,Arizona
10,837089,837089,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Phytosaur Basin E (UCMP 7040, PFV 121)","Adamana, Phytosaur Basin Buttes",Arizona
11,837171,837171,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Navajo,Chinle,,"Saurian Valley (UCMP V82251, PFV 097)",,Arizona
12,837226,837226,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Arizona,Chinle,,Rap Hill (PFV 216),RAP Hill,Arizona
13,837372,837372,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Stinking Springs, SMU Loc. 252",,Arizona
14,837398,837398,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,Stinking Springs SMU 253,,Arizona
15,843204,843204,1.357201,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Redonda,,"Apache Canyon, NMMNH L-485","Gregory's Quarry 2, UCMP 6148, YPM 6649",New Mexico
16,843218,843218,1.357201,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Quay,Redonda,,NMMNH L-441,,New Mexico
17,1578941,1578941,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"Phytosaur Basin (UCMP 7039, PFV 205)",,Arizona
18,1579640,1579640,3.836582,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Chinle,,"Hayden Quarry, Ghost Ranch (site 1)",,New Mexico
19,1581452,1581452,1.353064,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,Arizona,Apache,Chinle,,"near Billings Gap, PFV 445",The Doswellia Quarry,Arizona
20,1589319,1589319,1.357201,Vancleavea,227,208.5,Late Triassic,"(227.0, 208.5)",US,New Mexico,Rio Arriba,Petrified Forest,,"Coyote Amphitheater, NMMNH L-911",,New Mexico
