id,occurrence_no,Taxon,MaxAge,MinAge,Locality,Area
9253,1607015,Notictoides,251.902,246.7,Fremouw,1
9255,1587697,Lystrosaurus,251.902,246.7,Fremouw,1
9282,1418585,Lystrosaurus,251.902,246.7,Fremouw,1
9324,1167760,Ericiolacerta,251.902,246.7,Fremouw,1
9386,922660,Myosaurus,251.902,246.7,Fremouw,1
9387,922660,Myosaurus,251.902,246.7,Fremouw,1
9388,896181,Kombuisia,251.902,246.7,Fremouw,1
9389,896180,Kombuisia,251.902,246.7,Fremouw,1
9426,807229,Thrinaxodon,251.902,246.7,Fremouw,1
9427,807186,Thrinaxodon,251.902,246.7,Fremouw,1
9431,286246,Lystrosaurus,251.902,246.7,Fremouw,1
9432,286245,Lystrosaurus,251.902,246.7,Fremouw,1
9609,1286785,Angonisaurus,246.7,242.0,Fremouw,1
9667,921157,Diademodon,246.7,242.0,Fremouw,1
9668,921155,Cynognathus,246.7,242.0,Fremouw,1
9534,1583880,Stahleckeria,247.2,237.0,La Rioja,1
9682,920923,Cromptodon,246.7,242.0,Mendoza,1
9683,920921,Vinceria,246.7,242.0,Mendoza,1
9684,920921,Vinceria,246.7,242.0,Mendoza,1
9685,920921,Vinceria,246.7,242.0,Mendoza,1
9694,906217,Andescynodon,246.7,242.0,Mendoza,1
9695,906216,Andescynodon,246.7,242.0,Mendoza,1
9751,1417968,Chiniquodon,242.0,237.0,La Rioja,1
9752,1417957,Massetognathus,242.0,237.0,La Rioja,1
9760,922155,Jachaleria,242.0,237.0,La Rioja,1
9761,922154,Dinodontosaurus,242.0,237.0,La Rioja,1
9762,922133,Dinodontosaurus,242.0,237.0,La Rioja,1
9792,573799,Massetognathus,242.0,237.0,La Rioja,1
9793,573798,Massetognathus,242.0,237.0,La Rioja,1
9794,573797,Massetognathus,242.0,237.0,La Rioja,1
9795,573796,Massetognathus,242.0,237.0,La Rioja,1
9796,573791,Probainognathus,242.0,237.0,La Rioja,1
9797,573790,Chiniquodon,242.0,237.0,La Rioja,1
9802,272320,Probainognathus,242.0,237.0,La Rioja,1
9803,272319,Massetognathus,242.0,237.0,La Rioja,1
9804,272318,Chiniquodon,242.0,237.0,La Rioja,1
9805,272317,Dinodontosaurus,242.0,237.0,La Rioja,1
9806,272316,Jachaleria,242.0,237.0,La Rioja,1
9807,272315,Dinodontosaurus,242.0,237.0,La Rioja,1
9808,149868,Massetognathus,242.0,237.0,La Rioja,1
9983,N523,Riojanodon,242.0,237.0,Cordoba,1
9989,1491278,Diegocanis,237.0,227.0,San Juan,1
9992,1456922,Pseudotherium,237.0,227.0,San Juan,1
9994,1417956,Exaeretodon,237.0,227.0,La Rioja,1
9995,1417923,Exaeretodon,237.0,227.0,San Juan,1
9999,1302507,Acratophorus,237.0,227.0,Mendoza,1
10003,921173,Chiniquodon,237.0,227.0,San Juan,1
10005,920920,Cynognathus,237.0,227.0,Mendoza,1
10006,920919,Acratophorus,237.0,227.0,Mendoza,1
10012,891132,Diademodon,237.0,227.0,Mendoza,1
10013,891101,Ecteninion,237.0,227.0,San Juan,1
10014,891052,Pascualgnathus,237.0,227.0,Mendoza,1
