id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range,cc,state,county,formation,zone,collection_name,collection_aka
9253,1607015,1607015,-77.5844,Notictoides,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Halfmoon Bluff (UWBM locality C2951),
9255,1587697,1587697,-76.62466,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Graphite Peak (Fremouw Fm.),
9282,1418585,1418585,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,"Collinson Ridge (Fremouw Fm., 85 m above base)",Cumulus Hills; Halfmoon Bluff; Sentinel Hill
9324,1167760,1167760,-77.5844,Ericiolacerta,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Kitching Ridge (Fremouw Fm.),Cumulus Hills
9386,922660,922660,-77.5844,Myosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Collinson Ridge (42.5 metres above base),Cumulus Hills
9387,922660,922660,-77.5844,Myosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Collinson Ridge (42.5 metres above base),Cumulus Hills
9388,896181,896181,-76.62466,Kombuisia,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Graphite Peak (Fremouw Fm.),
9389,896180,896180,-77.5844,Kombuisia,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,Lystrosaurus,Shenk Peak (uncertain stratigraphic level),
9426,807229,807229,-77.5844,Thrinaxodon,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,Lystrosaurus,Thrinaxodon Col (Fremouw Formation),Mount Kenyon; Cumulus Hills
9427,807186,807186,-76.62466,Thrinaxodon,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,,Graphite Peak (Fremouw Fm.),
9431,286246,286246,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,Lystrosaurus,Thrinaxodon Col (Fremouw Formation),Mount Kenyon; Cumulus Hills
9432,286245,286245,-77.5844,Lystrosaurus,251.902,246.7,Early Triassic,"(251.902, 246.7)",AA,Fremouw,,Fremouw,Lystrosaurus,"Shenk Peak (Fremouw Fm., 28 m above base of section)",Cumulus Hills
9609,1286785,1286785,-74.17096,Angonisaurus,246.7,242,Middle Triassic,"(246.7, 242.0)",AA,Fremouw,,Fremouw,,Fremouw Peak Saddle,Fremouw Peak
9667,921157,921157,-74.17096,Diademodon,246.7,242,Middle Triassic,"(246.7, 242.0)",AA,Fremouw,,Fremouw,,Gordon Valley,
9668,921155,921155,-74.17096,Cynognathus,246.7,242,Middle Triassic,"(246.7, 242.0)",AA,Fremouw,,Fremouw,,Gordon Valley,
9534,1583880,1583880,-47.01264,Stahleckeria,247.2,237,Middle Triassic,"(247.2, 237.0)",AR,La Rioja,La Rioja,Chañares,,Río Chañares-Río Gualo Area,
9682,920923,920923,-49.50839,Cromptodon,246.7,242,Middle Triassic,"(246.7, 242.0)",AR,Mendoza,Mendoza,Cerro de Las Cabras,,north slope of Cerro Bayo de Portrerillos,
9683,920921,920921,-49.50839,Vinceria,246.7,242,Middle Triassic,"(246.7, 242.0)",AR,Mendoza,Mendoza,Cerro de Las Cabras,,5 km west of Villa de Potrerillos,
9684,920921,920921,-49.50839,Vinceria,246.7,242,Middle Triassic,"(246.7, 242.0)",AR,Mendoza,Mendoza,Cerro de Las Cabras,,5 km west of Villa de Potrerillos,
