feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.19579451501369477,0.15329746901988983,0.23705410957336426,NA,NA,NA
Abajudon__lat_range_z_trans,0.1399864107582104,0.025317391166647378,0.04639712348117418,0.6150972938130144,0.2643035054206848,1.2373023978434503
Abajudon__biome,0.025543329416762028,-0.0347760622101537,0.04898272728162995,NA,NA,NA
Abajudon__mean_z_trans,0.011114535230722408,-0.08314088950684434,0.07730999630568669,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_z_trans,0.04477388780208816,-0.026618228143220478,0.04710959434438482,NA,NA,NA
Abajudon__time,-0.0256236481940882,-0.034079680326318695,0.017254668160488627,NA,NA,NA
Abdalodon__lat_range_z_trans,0.09161863224326318,0.03102217469737414,0.05157337503419231,0.8893536012119148,0.4762996546924114,1.3751598838716745
Abdalodon__biome,-0.015600593845862048,-0.1137621315547043,0.04995604342706193,NA,NA,NA
Abdalodon__mean_z_trans,0.09788292415224527,-0.007146579033857158,0.0815960147795296,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_z_trans,0.01689299595106083,-0.03780494746405466,0.038168340652483486,NA,NA,NA
Abdalodon__time,0.005000556512987563,-0.025605985664647845,0.015760335680096913,NA,NA,NA
Acratophorus__lat_range_z_trans,0.23894916713237763,0.012591300246772004,0.046469799757639256,0.15425115221412852,0.0,0.5633705407381058
Acratophorus__biome,-0.11419214454479515,-0.054330124635989914,0.06498486435581376,NA,NA,NA
Acratophorus__mean_z_trans,-0.15559136579046026,-0.044085524802937724,0.03535652561032654,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_z_trans,-0.23194426096510143,-0.05304557510440147,0.022005529746459945,NA,NA,NA
Acratophorus__time,0.22123524136841297,-0.014427544723332712,0.06823739010312477,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.06731656673033971,0.01136364225027427,0.02974435060896992,1.0861163776536704,0.10044486820697784,2.2839427441358566
Adelobasileus__biome,0.20258375696663017,-0.020931559262153236,0.14695506488599694,NA,NA,NA
Adelobasileus__mean_z_trans,-0.05267526252115438,-0.05295098970110007,0.002882918984687724,NA,NA,NA
Adelobasileus__Mod_R_deltaTMyr_z_trans,-0.11057867951934879,-0.08990292502379589,0.009094019382696054,NA,NA,NA
Adelobasileus__time,0.08914813335722804,-0.0008756372831149206,0.04837775571101362,NA,NA,NA
Aelurognathus__lat_range_z_trans,-0.601480377316475,-0.10495448076975014,-0.035466404881053085,0.37605289263185115,0.0,0.9839734081178904
Aelurognathus__biome,0.26611883552744986,-0.01967037393851974,0.07893183748494846,NA,NA,NA
Aelurognathus__mean_z_trans,0.1648317035124637,-0.020746439452497763,0.06843060426748886,NA,NA,NA
Aelurognathus__Mod_R_deltaTMyr_z_trans,0.28185818388825284,-0.008265284344946933,0.10651856686470335,NA,NA,NA
Aelurognathus__time,0.0689300320064649,0.00033910948582475346,0.018639505837276665,NA,NA,NA
Aelurosaurus__lat_range_z_trans,-0.40153741016983985,-0.044806282862595345,-0.015886132776751726,0.08953411787748337,0.0,0.5252236723899841
Aelurosaurus__biome,-0.12330628160387277,-0.06882401258994213,0.04829144457106172,NA,NA,NA
Aelurosaurus__mean_z_trans,0.1759057702263817,-0.015376002803007799,0.07803204493309888,NA,NA,NA
Aelurosaurus__Mod_R_deltaTMyr_z_trans,0.19385853299172595,-0.018561796887724847,0.10823569287665603,NA,NA,NA
Aelurosaurus__time,0.04881899141939357,-0.005729373876619701,0.018381059969299354,NA,NA,NA
Aelurosuchus__lat_range_z_trans,0.09835681607023831,0.026963660904302262,0.0410219778707459,0.8228657323482912,0.1268119215965271,1.4950776528567076
Aelurosuchus__biome,-0.008642024061199367,-0.07073084380987432,0.04917734439555629,NA,NA,NA
Aelurosuchus__mean_z_trans,-0.026001101593948455,-0.09059598612967339,0.043750304101431194,NA,NA,NA
