feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-5.568897981852624,-12.197299011941091,-2.3385257514220186,0.5350824254751205,0.37160876393318176,0.7607362866401672,-333.92096338365155,-502.4029307630655,-186.15999024023148,1.0
Temperate_N,none,0_1,none,0.92,-1.992437123660482,-4.310954521036476,1.5860228548034692,0.4716527456045151,0.13648994266986847,0.764787495136261,-183.45752379118494,-408.23049834588085,-28.946769101062955,6.0
Tropical,none,0_1,none,0.94,-2.307984802631127,-9.747144148162342,1.4216731161542453,0.3053377727419138,0.1000996083021164,0.5305359363555908,-111.90351800609017,-234.35979771257075,-12.46682615937334,11.0
Temperate_S,none,0_1,none,0.95,-2.157694091136447,-7.011155747420674,1.8749103070988449,0.5585853923857212,0.15344762802124023,0.8830628395080566,-327.9124082004726,-648.7803005560538,-36.229141261844916,2.0
Antarctic,none,0_1,none,0.62,1.330526683835517,-4.640514568302185,4.8086671657583695,0.0980830705538392,0.056761834770441055,0.1529194563627243,-17.93143165568994,-69.79774175487881,5.7912545591678395,14.0
mat_z_trans,none,none,none,0.49,1.1215520211970822,-10.573563389295371,13.610103004249828,0.5031555353850127,0.16256563365459442,0.9584240317344666,-547.337176135074,-1527.1065213670736,-17.48693711917889,4.0
map_z_trans,none,none,none,0.94,-4.610667018690139,-21.38300905862764,3.2574439438364666,0.4774066711962223,0.14784902334213257,0.8909273147583008,-238.39910297182942,-551.5736141255627,-27.751015697161506,5.0
wmm_z_trans,none,none,none,0.73,-2.63152615443843,-24.136447410798652,6.258806324088679,0.3525801010429859,0.0890808179974556,0.6294566988945007,-429.00658082711595,-1056.5258974331823,-8.667474926279795,8.0
cmm_z_trans,none,none,none,0.66,-1.7100423946644983,-10.02746517582797,6.538062028961858,0.514698790460825,0.13192743062973022,1.0143040418624878,-377.1925468015912,-974.6390013917144,-21.90562082015731,3.0
wmmcmm_z_trans,none,none,none,0.61,-1.7895100084722226,-11.672067707632339,13.135952837756713,0.40305936239659784,0.1216641366481781,0.7110376954078674,-259.64296149913565,-743.3752243629463,-4.573256949070981,9.0
wetmon_z_trans,none,none,none,0.58,-1.4029267805915335,-13.079319301336248,7.93425119024803,0.32098000809550287,0.07474067807197571,0.6234363913536072,-464.8896307408361,-1332.8490521140066,-2.8226142797871034,10.0
drymon_z_trans,none,none,none,0.73,-1.5746266969741383,-8.557044559934155,2.7842572036258284,0.2516009936481714,0.0853235051035881,0.460772842168808,-132.40045463370342,-394.3005925541306,3.2179478579531064,12.0
wetdry_z_trans,none,none,none,0.73,-2.100038281795778,-14.280559518132494,6.229270400135614,0.39837059900164606,0.10545384138822556,0.874443769454956,-637.0211580411618,-1719.7860785953087,-11.432145359456285,3.0
time,none,none,none,0.57,-1.0488356044342058,-1.8171749476375239,1.6198366626718677,0.1358363777399063,0.06162272393703461,0.26598885655403137,-116.69537211150435,-496.1587717312087,2.3863145662227794,13.0
