feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2920164958387613,0.22124484181404114,0.3838275671005249,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.2526926798558081,0.0041425508071196455,0.01986014140400405,0.9443683095020242,0.5520454440265894,1.532473310828209
Acerosodontosaurus__Temperate_N,0.3087446830290765,-0.0011360696949162985,0.03221957003454096,NA,NA,NA
Acerosodontosaurus__Tropical,0.05855281587524089,-0.004036023932182037,0.013268099925072732,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.3368510658466775,-0.02466981307916348,0.009816144344584336,NA,NA,NA
Acerosodontosaurus__Antarctic,0.05085669587599458,-0.00038730194310745807,0.005178068942464995,NA,NA,NA
Acerosodontosaurus__mat_z_trans,-0.1935796745633252,-0.035710243167496374,0.03751361883593802,NA,NA,NA
Acerosodontosaurus__map_z_trans,-0.17282838284395358,-0.019276792136583207,0.015713306071916015,NA,NA,NA
Acerosodontosaurus__wmm_z_trans,-0.08404751981003407,-0.0216874318353266,0.024452156798411794,NA,NA,NA
Acerosodontosaurus__cmm_z_trans,0.14993613785510573,-0.03513650405927132,0.060588409028417625,NA,NA,NA
Acerosodontosaurus__wmmcmm_z_trans,0.06137773052403207,-0.036688737287227054,0.07350607751355516,NA,NA,NA
Acerosodontosaurus__wetmon_z_trans,0.05448669906623807,-0.00550243770671662,0.017064832002399104,NA,NA,NA
Acerosodontosaurus__drymon_z_trans,0.06945802694325724,-0.028458420547107562,0.04841247966790685,NA,NA,NA
Acerosodontosaurus__wetdry_z_trans,0.08256648156487895,-0.007389994549409194,0.01838348628078686,NA,NA,NA
Acerosodontosaurus__time,-0.009348811686880648,-0.005307622682653567,0.007851176250526415,NA,NA,NA
Acrodenta__lat_range_z_trans,0.05030515637045847,0.004958501171330553,0.017747062546394538,3.678944068620185,1.3846577023796272,6.270188093185425
Acrodenta__Temperate_N,0.05777268669941903,-0.005054760241270489,0.029639936834825513,NA,NA,NA
Acrodenta__Tropical,0.014105823095265426,-0.026552984061562056,0.029265350921048074,NA,NA,NA
Acrodenta__Temperate_S,0.06233163888176825,-0.005195882179972721,0.02911238256092376,NA,NA,NA
Acrodenta__Antarctic,0.0008651258123810776,-0.002731168517348845,0.002706162275963736,NA,NA,NA
Acrodenta__mat_z_trans,-0.003324494827963686,-0.03515493196885383,0.03365783606689904,NA,NA,NA
Acrodenta__map_z_trans,-0.024566391710725173,-0.02008643537125688,0.008572664446795041,NA,NA,NA
Acrodenta__wmm_z_trans,-0.007281644410704793,-0.024267918271106356,0.0287096820852274,NA,NA,NA
Acrodenta__cmm_z_trans,0.06559251637800137,-0.027118052847182845,0.061815877145798157,NA,NA,NA
Acrodenta__wmmcmm_z_trans,0.03277603720652855,-0.03346425417049137,0.061650074119255924,NA,NA,NA
Acrodenta__wetmon_z_trans,0.007550457603645086,-0.007817491026924448,0.013228115368260287,NA,NA,NA
