feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-11.987777976358561,-40.0,-4.926798777238002,0.6495337235927582,0.3773690164089203,0.9521611332893372,-421.55920842327913,-624.5811372236661,-230.22813575022747,2.0
Temperate_N,none,0_1,none,0.87,-2.842280984735242,-25.080899595126496,2.590856256915391,0.5853062443435192,0.14666937291622162,1.1195812225341797,-231.90257567358316,-543.7589923448907,-21.8257481719167,4.0
Tropical,none,0_1,none,0.91,-3.174743892751627,-22.766234761013354,1.8530843934008092,0.2692177117615938,0.09854820370674133,0.5149509310722351,-150.17725895648368,-315.29989580464587,-21.594742205184957,11.0
Temperate_S,none,0_1,none,0.91,-3.9695140280925747,-40.0,1.2402011281157361,0.6502198965847492,0.1279020458459854,1.2294447422027588,-347.54852894502733,-817.3311648310155,-21.569679429367966,3.0
Antarctic,none,0_1,none,0.55,1.2145426123116607,-9.126450965777908,7.89713892409898,0.09011097777634859,0.055037062615156174,0.12875252962112427,-25.263509177480763,-82.50518171847318,3.3394321935572293,14.0
mat_z_trans,none,none,none,0.63,-1.5554503406818698,-40.0,7.927455080542217,0.5616424907743931,0.17216502130031586,1.194533348083496,-735.8732850870426,-1653.1101250181632,-51.763885178843964,5.0
map_z_trans,none,none,none,0.75,-1.713609710748257,-11.57060849077746,3.6831529893950377,0.3521409919857979,0.07033034414052963,0.7876288294792175,-273.8959939610651,-680.1924405882878,-14.020319280154922,8.0
wmm_z_trans,none,none,none,0.8,-4.172873577862004,-40.0,6.301677300381997,0.3379642513394356,0.12057621031999588,0.6980847716331482,-467.8422739089191,-1144.0973107580992,-42.143356092139584,6.0
cmm_z_trans,none,none,none,0.76,-4.936026824979802,-40.0,10.761274738802793,0.7254331827163696,0.147227481007576,1.5308846235275269,-568.3327519728438,-1376.6557315713299,-78.70616643262582,1.0
wmmcmm_z_trans,none,none,none,0.52,-1.0559320088693265,-40.0,30.926813599358933,0.4773292876780033,0.10792405903339386,0.9938744306564331,-333.7593621488635,-889.8556132730207,-9.768898999401756,7.0
wetmon_z_trans,none,none,none,0.62,-1.182798938677387,-16.13541764275302,11.978233176246595,0.2714650190621615,0.07170678675174713,0.5819786190986633,-482.7139786463921,-1445.540798833665,-5.7885316938001665,10.0
drymon_z_trans,none,none,none,0.72,-1.8228262404717934,-16.26551848733314,5.465155109649245,0.33456080019474027,0.07524535059928894,0.6878689527511597,-234.73995911444385,-705.4856962414392,-3.0941553809244624,9.0
wetdry_z_trans,none,none,none,0.53,-1.0817117731228993,-3.59115886523762,5.565288832725731,0.24097568951547146,0.07099416851997375,0.531924843788147,-485.34876454448755,-1519.2105360406995,-3.767016305271909,12.0
time,none,none,none,0.79,-1.628951417310355,-7.738000285572089,2.302853287282466,0.15091630771756173,0.054996319115161896,0.29091838002204895,-273.11661522035564,-851.158778899741,-6.644025549251637,13.0
