clade	species	ts	te
0.0	Abyssomedon	287.8024856346347	287.63097386686684
0.0	Acadiella	232.46290001301304	231.03742701201202
0.0	Acaenasuchus	228.12827952952952	208.59045742442444
0.0	Acallosuchus	217.1867984984985	215.42813393793793
0.0	Acerosodontosaurus	255.19218778178177	255.06586035835835
0.0	Acleistorhinus	279.24765627327326	278.73443537337334
0.0	Acrodenta	256.6243845225225	256.5020565935936
0.0	Actiosaurus	205.592269995996	204.35137156156156
0.0	Adamanasuchus	216.1771062362362	214.31372781481483
0.0	Adelosaurus	257.7304781811812	257.5714823703704
0.0	Aenigmasaurus	248.8521814824825	248.30759430030028
0.0	Aenigmaspina	231.52507565765765	229.63765214914915
0.0	Aenigmastropheus	256.27877779679676	256.13761740740745
0.0	Aetobarbakinoides	232.8482277967968	231.2808521041041
0.0	Aetosauroides	234.33057542742742	208.49304032832833
0.0	Aetosaurus	227.3110688688689	208.7598314184184
0.0	Agkistrognathus	248.99262777577582	248.4385722092092
0.0	Agnosphitys	233.68656347447447	231.7762377737738
0.0	Ahvaytum	232.893744978979	231.0462002242242
0.0	Alexeyisaurus	217.6167640870871	215.85998914214215
0.0	Alwalkeria	233.53501332332334	232.0848988198198
0.0	Amanasaurus	233.55369383183185	210.29939055355356
0.0	Ammorhynchus	246.66647154254255	244.82726805605606
0.0	Ammosaurus	201.13007820220218	199.61181235335334
0.0	Amotosaurus	246.64235413313313	243.62389911511514
0.0	Anarosaurus	246.74454470970974	242.0642111191191
0.0	Ancistronychus	222.03033049949948	220.27944897997997
0.0	Angistorhinus	236.95194981781782	212.74037186186186
0.0	Anisodontosaurus	246.81409392492492	239.6814542962963
0.0	Anomoepus	200.63043433833835	200.0603110690691
0.0	Anomoiodon	246.83292480780779	243.63498001101098
0.0	Anshunsaurus	239.635599994995	227.45621407007008
0.0	Antarctanax	248.80476455655656	248.21977135235235
0.0	Anthodon	259.7848436386387	254.98586563163164
0.0	Apachesuchus	219.91177237837837	218.08549274474476
0.0	Apatopus	232.77750406806808	214.07188713313312
0.0	Apatosuchus	215.94139423323324	214.04880494694694
0.0	Aphelosaurus	296.4078248988989	295.30344314914913
0.0	Araeoscelis	288.47223044144147	274.07805475375375
0.0	Archeopelta	240.37297645545544	239.8083711201201
0.0	Archosaurus	260.59267173373377	255.16243770670667
0.0	Arcticodactylus	215.9582814994995	214.19190734134136
0.0	Arganaceras	256.212868953954	256.0836423553553
0.0	Arganasuchus	233.96248958558556	228.270101002002
0.0	Arizonasaurus	246.77349914314314	244.42007852152153
0.0	Asilisaurus	246.76391855055056	242.0820301891892
0.0	Askeptosaurus	245.59575132532532	236.57831150250252
0.0	Asperoris	245.1324946096096	244.53663085385384
0.0	Asylosaurus	207.8682290950951	202.03131953553554
0.0	Atopodentatus	246.33514703903904	244.1059588048048
0.0	Augustaburiania	250.52804391991992	248.0837320830831
0.0	Augustasaurus	245.21081083983984	244.57914798298296
0.0	Australothyris	262.3004376716717	261.694572992993
0.0	Austriadactylus	216.0198362012012	208.43194448848848
0.0	Austriadraco	212.04197578478477	210.48216405105106
0.0	Avalonnectes	200.93741180880883	200.35397575875876
0.0	Avicranium	206.88757213813813	205.55727026826827
0.0	Azendohsaurus	232.98356844244245	231.25131214514514
0.0	Baeotherates	286.3263296266266	286.2129448038038
0.0	Baisesaurus	249.47042122922923	248.87577728628628
0.0	Barasaurus	260.3793043173173	247.1055934944945
0.0	Barberenasuchus	239.16442658158158	238.58119265665667
0.0	Barracudasauroides	246.82422419219222	242.67646106506504
0.0	Barracudasaurus	246.40310112012008	240.67093317817816
0.0	Bashkyroleter	273.1689444934935	264.30517892692694
0.0	Batrachopus	205.17377515315314	203.90170965365365
0.0	Batrachotomus	239.4245686886887	236.57434805305306
0.0	Beesiiwo	233.99362653653654	232.2948887987988
0.0	Belebey	270.1310955815816	264.21440712412414
0.0	Benggwigwishingasuchus	244.79590096196193	244.19783387187186
0.0	Bentonyx	245.2087699299299	244.59016852452453
0.0	Bergamodactylus	215.23964004404405	213.4169909019019
0.0	Besanosaurus	242.54894885985985	241.94896504504504
0.0	Blezingeria	241.14827913113115	240.53349665265267
0.0	Blikanasaurus	205.28002413013013	204.0952898918919
0.0	Blomosaurus	251.6485258378378	251.35336703203203
0.0	Bobosaurus	235.73240522322322	234.30950698298298
0.0	Bolosaurus	296.6745333143143	277.76467811511515
0.0	Boreopricea	250.30599033933936	247.92440462362362
0.0	Bradysaurus	265.0844282432433	257.86074495595597
0.0	Brasinorhynchus	240.9652503853854	237.8862218088088
0.0	Brazilosaurus	291.06063829429434	283.81290283883885
0.0	Bromsgroveia	246.3445961101101	242.4607226156156
0.0	Broomia	264.033924027027	260.47177723423425
0.0	Bunostegos	253.23879492392393	253.10885114614615
0.0	Buriolestes	235.49126788488488	208.21346894094094
0.0	Bystrowisuchus	249.5522618008008	249.00196022122125
0.0	Callawayia	223.6867251281281	210.50582797197194
0.0	Calyptosuchus	233.02211188888887	208.6302595525526
0.0	Camelotia	207.346135980981	203.24040705105102
0.0	Camposaurus	217.54066369369372	215.93272862162164
0.0	Candelaria	242.31053313913912	237.26473345745742
0.0	Captorhinikos	283.2610440870871	273.68461561861864
0.0	Captorhinoides	281.8743326636637	277.08683556356357
0.0	Captorhinus	291.0074674364364	256.6102533133133
0.0	Cargninia	219.2482288698699	217.42970977777776
0.0	Carnufex	232.88582426526528	231.15957076376375
0.0	Cartorhynchus	249.78032986486485	249.30514009609612
0.0	Caseosaurus	219.46660056556556	217.71118839139137
0.0	Ceresiosaurus	242.21175215815813	237.10977012012012
0.0	Chalishevia	241.72582992392392	237.4954559039039
0.0	Chanaresuchus	241.67618566366366	237.6777318298298
0.0	Chaohusaurus	251.1271405675676	241.752759001001
0.0	Chasmatosuchus	251.83404036736735	246.8670107967968
0.0	Chelyoposuchus	206.47411784184183	205.23775832632631
0.0	Chinchenia	242.09578842942943	241.4861690900901
0.0	Chindesaurus	227.0328447877878	209.85614884284286
0.0	Chinshakiangosaurus	200.6465454874875	200.1017060970971
0.0	Chirotherium	233.217639016016	231.65138972372372
0.0	Chromogisaurus	233.7744766876877	231.8471557177177
