clade	species	ts	te
0.0	Abyssomedon	287.0399352482482	286.83816480480476
0.0	Acadiella	233.37757640040041	232.0400528978979
0.0	Acaenasuchus	227.69843861961962	209.02694080580582
0.0	Acallosuchus	219.22103607407408	217.7476282882883
0.0	Acerosodontosaurus	255.64798443243242	255.52827677277278
0.0	Acleistorhinus	277.62460573373374	276.9799630660661
0.0	Acrodenta	256.78118805305303	256.6570584814815
0.0	Actiosaurus	205.9283774334334	204.80315602202202
0.0	Adamanasuchus	218.16151161461462	216.69990277977982
0.0	Adelosaurus	256.841028960961	256.71470512512514
0.0	Aenigmasaurus	248.8462801921922	248.41647507407404
0.0	Aenigmaspina	232.4970449079079	231.19444098999003
0.0	Aenigmastropheus	256.51502403703705	256.39391724324327
0.0	Aetobarbakinoides	232.46577903703704	231.0661467927928
0.0	Aetosauroides	235.06385477677676	210.74007989989988
0.0	Aetosaurus	226.69064999299303	208.72419733233232
0.0	Agnosphitys	233.77822684384387	232.52824648748745
0.0	Ahvaytum	233.40527652352353	232.013701009009
0.0	Alwalkeria	233.14996905605605	231.80801526826826
0.0	Amanasaurus	233.93724699299298	209.1437434834835
0.0	Ammorhynchus	246.75539013613613	244.81614966966964
0.0	Ammosaurus	201.17188574174173	199.71905803103104
0.0	Amotosaurus	246.71097193293292	243.9400088038038
0.0	Ancistronychus	218.7343572972973	217.20403118418417
0.0	Angistorhinus	236.63970047247247	212.2479255085085
0.0	Anisodontosaurus	246.74779074674674	238.81838636436436
0.0	Anomoepus	200.6380723233233	200.16455792392392
0.0	Anomoiodon	246.77681121321322	243.8720445925926
0.0	Antarctanax	250.17127232332334	249.71501966866867
0.0	Anthodon	259.7925161561561	255.0724744944945
0.0	Apachesuchus	222.61373234834835	221.12330257657658
0.0	Apatopus	231.78406264064063	211.46593139339342
0.0	Apatosuchus	215.7542383063063	214.36770351451452
0.0	Aphelosaurus	296.62598983783784	295.6196202812813
0.0	Araeoscelis	288.96783064564556	272.9495929149149
0.0	Archeopelta	240.34723273873874	239.51687653153152
0.0	Archosaurus	260.38343862462466	254.48834517017016
0.0	Arcticodactylus	216.85427894994993	215.5127534754755
0.0	Arganaceras	256.53867358058056	256.4036833123123
0.0	Arganasuchus	234.5840172342342	229.96298383383385
0.0	Arizonasaurus	246.6605953863864	244.69420382982983
0.0	Asilisaurus	246.63799057157158	241.99042714514513
0.0	Asperoris	245.24178098498498	244.60026375275274
0.0	Asylosaurus	208.6766090950951	201.95309879179183
0.0	Augustaburiania	250.21555686886887	247.9812088898899
0.0	Australothyris	262.57720152352346	261.9616096766767
0.0	Austriadactylus	212.04327151451452	210.66045518118116
0.0	Avicranium	206.39334665465466	205.19142625825825
0.0	Azendohsaurus	233.7465186386386	232.5451056796797
0.0	Baeotherates	286.78826618318317	286.6831588468468
0.0	Baisesaurus	249.4892945735736	249.03228538838837
0.0	Barasaurus	260.4862623773774	248.39162561961962
0.0	Barberenasuchus	240.5083179159159	239.7254527827828
0.0	Bashkyroleter	273.78963984084083	264.4279705635636
0.0	Batrachopus	204.30980996896895	203.26086548448447
0.0	Batrachotomus	239.65364996896898	237.12832721921924
0.0	Beesiiwo	233.43121868568568	231.99968233433432
0.0	Belebey	271.9051812242243	264.2178564344344
0.0	Benggwigwishingasuchus	244.64162084684685	244.0337614734735
0.0	Bentonyx	244.40813616816817	243.8132103383383
0.0	Bergamodactylus	215.87040915015015	214.4412003763764
0.0	Blikanasaurus	205.14384959459457	204.00846607507506
0.0	Blomosaurus	251.6856321191191	251.36240833933934
0.0	Bolosaurus	297.4837226696697	277.2428037057057
0.0	Boreopricea	250.42523954254253	247.81337331431433
0.0	Bradysaurus	264.95015421521526	257.7341295295295
0.0	Brasinorhynchus	241.4655399229229	237.70391946146148
0.0	Bromsgroveia	246.2961206856857	241.86441053453456
0.0	Broomia	264.54908886486487	261.32434476276273
0.0	Bunostegos	253.3661425795796	253.2511747787788
0.0	Buriolestes	235.46640370770774	210.6073351111111
0.0	Bystrowisuchus	248.1491600660661	247.708301995996
0.0	Calyptosuchus	233.12083025025026	208.6192000940941
0.0	Camelotia	208.83708675675675	202.30725946146148
0.0	Camposaurus	218.70732489389388	217.20718304004006
0.0	Candelaria	241.41706733333334	237.28196306106105
0.0	Captorhinikos	282.72422807407406	273.6370498488489
0.0	Captorhinoides	281.2075214904905	276.5909518628629
0.0	Captorhinus	291.06530837537537	256.25687217017014
0.0	Cargninia	217.75842363463462	216.3304221251251
0.0	Carnufex	234.10098863963964	232.76432152052053
0.0	Cartorhynchus	249.24666009109112	248.79322157857857
0.0	Caseosaurus	219.87569898398397	218.24773417317317
0.0	Chalishevia	241.53484564764764	237.17205836436437
0.0	Chanaresuchus	241.04285255555556	237.04492104904904
0.0	Chasmatosuchus	251.7228343243243	246.793637022022
0.0	Chindesaurus	225.7639494064064	209.2439023113113
0.0	Chinshakiangosaurus	200.5320894944945	200.03144032132133
0.0	Chirotherium	233.84207362962965	232.425554012012
0.0	Chromogisaurus	232.92787229529532	231.53252662862863
0.0	Cladeiodon	244.3128796026026	243.66292238638638
0.0	Claudiosaurus	260.6915187907908	252.12076201001003
0.0	Clevosaurus	236.94540194694693	199.45891343243244
0.0	Coahomasuchus	234.21507170970972	213.00729996796798
0.0	Coartaredens	246.01231151651652	242.73863988188188
0.0	Coburgosuchus	218.85459241341343	217.40681732632635
0.0	Coelodontognathus	249.86141969669666	247.59853646846847
0.0	Coelophysis	226.8716330960961	200.03519677777777
0.0	Coelurosauravus	259.262407002002	252.76946054154155
0.0	Coletta	249.35500894594594	248.8996162992993
0.0	Collilongus	249.54877406606604	249.12110538038038
0.0	Colobomycter	291.0673485065065	283.35422867567564
0.0	Colobops	216.64635255855856	215.26994772672674
0.0	Coloradisaurus	225.77469358858858	211.0923663883884
0.0	Coloradisuchus	216.72738336836835	215.35160848748748
0.0	Cornualbus	231.3399088288288	229.98054556656655
0.0	Cosesaurus	238.85022758058057	237.9383755745746
0.0	Crosbysaurus	227.69169495495498	208.34155778078082
0.0	Ctenosauriscus	249.406675991992	248.93905593693694
0.0	Czatkowiella	248.99549294894896	248.54669815215215
0.0	Daemonosaurus	206.69160468468468	205.54475777177174
0.0	Dagasuchus	231.82318607207205	230.54245084384385
0.0	Decuriasuchus	242.4489334354354	237.19590732532532
0.0	Delorhynchus	289.4261687457457	283.6771013293294
0.0	Deltadectes	222.6105761161161	203.47959309209207
0.0	Deltavjatia	264.71743574374375	259.60285337737736
0.0	Desmatosuchus	232.11778927727727	208.78662886486487
0.0	Diandongosuchus	240.58934192692695	239.7920328848849
0.0	Dimetropus	291.2357262872873	282.23089070870867
0.0	Dimorphodon	200.4602313073073	199.93971335435432
0.0	Diphydontosaurus	237.08432962162163	201.6645779069069
0.0	Dolabrosaurus	218.33556165765765	216.76542001501505
0.0	Dolerosaurus	230.56711680580582	229.15959442342344
0.0	Dolichobrachium	231.83893361161162	230.5035053893894
0.0	Dongusuchus	246.27523685085086	241.87809990290293
0.0	Dorosuchus	245.697379022022	242.6070445065065
0.0	Doswellia	237.00891205805806	213.1516476976977
0.0	Dracoraptor	200.6836978118118	200.20303232732732
0.0	Drepanosaurus	222.04298966066068	202.86446188088087
0.0	Dromomeron	227.29030687487486	204.8603010760761
0.0	Dynamosuchus	230.12360066866867	228.6693761211211
