feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.11745732146315277,0.034949444234371185,0.1941395401954651,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.06977688743141996,0.0006027653644617458,0.00901850456094053,0.6041687685099896,0.1927395910024643,1.1496555730700493
Abyssomedon__biome,0.16824717964767275,-0.0007521364830048778,0.029344838576757407,NA,NA,NA
Abyssomedon__mat_z_trans,0.06436943985188473,-0.0026739220574600983,0.02913592277984408,NA,NA,NA
Abyssomedon__map_z_trans,0.20679076647757874,-0.0022182282744605776,0.03852678453002919,NA,NA,NA
Abyssomedon__wmm_z_trans,0.017676245683293186,-0.0008698907638596133,0.011246128358827998,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.10307737519083271,-0.004945286849074245,0.012005661301711353,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.0671564349821375,-0.004945547756462792,0.008135542945694737,NA,NA,NA
Abyssomedon__wetmon_z_trans,-0.0061781166220846746,-0.005343064477622387,0.021810343145074573,NA,NA,NA
Abyssomedon__drymon_z_trans,-0.06787282899419239,-0.005476013072369915,0.017315897486917878,NA,NA,NA
Abyssomedon__wetdry_z_trans,-0.04623007537693993,-0.0033367598152510597,0.014937889663811467,NA,NA,NA
Abyssomedon__time,-0.1188883664625094,-0.004991360049267365,0.0026620268458558615,NA,NA,NA
Acadiella__lat_range_z_trans,0.05488285177646884,0.0014772292810063385,0.019424727839742407,0.7651450395741267,0.21292133443057537,1.72444904781878
Acadiella__biome,0.12654383971710617,-0.0006703756360028286,0.05601144454893418,NA,NA,NA
Acadiella__mat_z_trans,0.005407765202797786,-0.0024629809338217556,0.017978253825177218,NA,NA,NA
Acadiella__map_z_trans,-0.07224524309434502,-0.007976456711912555,0.008275309802973307,NA,NA,NA
Acadiella__wmm_z_trans,-0.001336585828673506,-0.0029779786131914924,0.009658447352893769,NA,NA,NA
Acadiella__cmm_z_trans,-0.01897892310703184,-0.003393151461658685,0.011043184326694211,NA,NA,NA
Acadiella__wmmcmm_z_trans,-0.009407224231780493,-0.0034600972082129765,0.00993405776868401,NA,NA,NA
Acadiella__wetmon_z_trans,0.0061808231518250805,-0.006231998852561896,0.022628437559897584,NA,NA,NA
Acadiella__drymon_z_trans,0.003883429530270746,-0.001494318041514834,0.0075647666455450875,NA,NA,NA
Acadiella__wetdry_z_trans,0.01642811431864062,-0.006404303037483729,0.025053644830281625,NA,NA,NA
Acadiella__time,0.006098474027874372,-0.0013550130190167734,0.006567265694641686,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.040213060545578806,0.0009588326214065057,0.009953888005032167,0.9178320593034732,0.160859365016222,3.2623441265895963
Acaenasuchus__biome,0.097867496570861,-1.6352815552037459e-06,0.03975880139390136,NA,NA,NA
Acaenasuchus__mat_z_trans,0.03948749795937876,-0.005270255864605184,0.028691352145434515,NA,NA,NA
Acaenasuchus__map_z_trans,-0.051861410547968854,-0.005223792065838739,0.005899862346134929,NA,NA,NA
Acaenasuchus__wmm_z_trans,0.016664868309702013,-0.0024628137454705697,0.016251494788607313,NA,NA,NA
Acaenasuchus__cmm_z_trans,-0.052989401204754843,-0.006879510177708959,0.01340496673541617,NA,NA,NA
Acaenasuchus__wmmcmm_z_trans,-0.03567260243446754,-0.006098108508011277,0.017535174323591463,NA,NA,NA
Acaenasuchus__wetmon_z_trans,0.0008868581034279199,-0.004657267657669473,0.01815932153002521,NA,NA,NA
Acaenasuchus__drymon_z_trans,0.003133656422958194,-0.0011236612204804251,0.004021303842347619,NA,NA,NA
Acaenasuchus__wetdry_z_trans,0.01779165490035185,-0.004049555402310627,0.02341694405036087,NA,NA,NA
Acaenasuchus__time,0.041935642838085485,-0.0001416769321272356,0.017046431034613486,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.06434657654481185,0.0009916559650124,0.010065290119474034,0.5854591863945825,0.1452350616455078,1.213458389043808
Acallosuchus__biome,0.1532044958906704,0.00023417586311365375,0.03687135719227576,NA,NA,NA
Acallosuchus__mat_z_trans,0.052874753580997046,-0.004004473809490391,0.031996355014639,NA,NA,NA
Acallosuchus__map_z_trans,-0.09324117316240833,-0.0053958138191967315,0.006483016591833583,NA,NA,NA
Acallosuchus__wmm_z_trans,0.012954228405729231,-0.0016476229966028916,0.01394885094341672,NA,NA,NA
Acallosuchus__cmm_z_trans,-0.086619191166355,-0.00689542906666723,0.014729940574903844,NA,NA,NA
Acallosuchus__wmmcmm_z_trans,-0.06690357901977717,-0.006810554095143452,0.014028499823018596,NA,NA,NA
Acallosuchus__wetmon_z_trans,-0.0037801376977566596,-0.0062728130625131,0.02161260844206028,NA,NA,NA
Acallosuchus__drymon_z_trans,0.0057874634033649236,-0.0008193177678428414,0.004447819835281749,NA,NA,NA
Acallosuchus__wetdry_z_trans,0.03151457860945703,-0.004182909029684376,0.029058872442612366,NA,NA,NA
Acallosuchus__time,0.04731930607441947,-0.00014634241535622686,0.010896929215949144,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.04286882307487354,0.0008085020720015319,0.010726958288553154,1.1321247803657388,0.18376112543046474,2.0588998273015022
Acerosodontosaurus__biome,0.014017614724439952,-0.0036601508116376495,0.02057367143497483,NA,NA,NA
Acerosodontosaurus__mat_z_trans,-0.04652931709592188,-0.008149118457888373,0.021841168285740474,NA,NA,NA
Acerosodontosaurus__map_z_trans,0.021384941198850545,-0.00034454107369837923,0.011885851994654972,NA,NA,NA
Acerosodontosaurus__wmm_z_trans,0.00045161618568589494,-0.0008160414255942587,0.003968530567845716,NA,NA,NA
Acerosodontosaurus__cmm_z_trans,0.06659680666699376,-0.0035868695256312177,0.03925457323604348,NA,NA,NA
Acerosodontosaurus__wmmcmm_z_trans,0.03206938318441921,-0.0067209498876282334,0.035671699573265464,NA,NA,NA
Acerosodontosaurus__wetmon_z_trans,0.005974020182929964,-0.0015348381144485012,0.010072487344181104,NA,NA,NA
Acerosodontosaurus__drymon_z_trans,0.02696586919570683,-0.0034531404720767656,0.02204597586788278,NA,NA,NA
Acerosodontosaurus__wetdry_z_trans,-0.015674301429321892,-0.0045948000657496935,0.015165046093802093,NA,NA,NA
Acerosodontosaurus__time,-0.030668134425503157,-0.0028974964720196433,0.002933577508521022,NA,NA,NA
Acleistorhinus__lat_range_z_trans,0.053258277243874094,0.0005939445965626597,0.00911314156168058,0.7656174181797542,0.22102876380085945,1.4382067555561662
Acleistorhinus__biome,0.12665703577604023,-0.0007430128517961283,0.029519304578477058,NA,NA,NA
Acleistorhinus__mat_z_trans,0.048770154169232,-0.0030829749715223544,0.027555463071904953,NA,NA,NA
Acleistorhinus__map_z_trans,0.1526660118418259,-0.002074438357028339,0.038652421097279774,NA,NA,NA
Acleistorhinus__wmm_z_trans,0.012118835520608561,-0.0017290473732520248,0.009103122870650009,NA,NA,NA
Acleistorhinus__cmm_z_trans,-0.07019758947004703,-0.004729000492604772,0.013130170012936648,NA,NA,NA
Acleistorhinus__wmmcmm_z_trans,-0.05066943730635175,-0.0048442926710826175,0.009067663458575514,NA,NA,NA
Acleistorhinus__wetmon_z_trans,-0.009344720644295867,-0.005216422453663667,0.022374291376966855,NA,NA,NA
Acleistorhinus__drymon_z_trans,-0.03861445431130878,-0.005381564879365016,0.018190301797862195,NA,NA,NA
Acleistorhinus__wetdry_z_trans,-0.030224799455014995,-0.003284291359356931,0.01496047945817749,NA,NA,NA
Acleistorhinus__time,-0.07696199190140958,-0.004458343421261996,0.0024731809109540034,NA,NA,NA
Acrodenta__lat_range_z_trans,0.013645874558597062,0.0011412968610389107,0.009291498437671327,3.6476730545389002,0.9172700652852654,6.563017651438713
Acrodenta__biome,0.03547772980285599,-0.00021146707034135987,0.030943323831529725,NA,NA,NA
