feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13575188100337982,0.061230871826410294,0.2193867713212967,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.10182900511691402,0.0007254288347097018,0.0070058862661240145,0.5341698155616177,0.0,1.80804855376482
Abyssomedon__biome,0.12366288536409961,-0.004886919348945155,0.021392919330101103,NA,NA,NA
Abyssomedon__mat_z_trans,0.10063993537695473,-0.0052296436944569945,0.023673134845624163,NA,NA,NA
Abyssomedon__map_z_trans,0.23130758952445848,-0.00457524908085329,0.037697363443323216,NA,NA,NA
Abyssomedon__wmm_z_trans,-0.01926709513179117,-0.004791403274762767,0.016819863503036443,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.11875908626516186,-0.00785113247423786,0.01782537769926468,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.051929857950613625,-0.006963589599319927,0.013852457130397169,NA,NA,NA
Abyssomedon__wetmon_z_trans,-0.1328123355486341,-0.010037445060777559,0.01869084739923674,NA,NA,NA
Abyssomedon__drymon_z_trans,-0.04208258675830222,-0.007806904762242031,0.02856730556530123,NA,NA,NA
Abyssomedon__wetdry_z_trans,-0.013511023016794771,-0.005983319070024595,0.021877939096000873,NA,NA,NA
Abyssomedon__time,-0.04332554970774922,-0.0038306942954998246,0.011983677042887069,NA,NA,NA
Acadiella__lat_range_z_trans,0.04034381517957325,0.0016714563159953158,0.013352673813296032,1.2598663499375107,0.29416495747864246,2.685373477637768
Acadiella__biome,0.12089762105510035,0.000164510943616676,0.06595276818570273,NA,NA,NA
Acadiella__mat_z_trans,0.004052523322053856,-0.008494983698372576,0.021372671374757502,NA,NA,NA
Acadiella__map_z_trans,-0.053247350143279144,-0.01404832607440518,0.009898142469975606,NA,NA,NA
Acadiella__wmm_z_trans,-0.023192937375024585,-0.009424554031199732,0.010926660443880108,NA,NA,NA
Acadiella__cmm_z_trans,-0.01692089798761451,-0.008115217909438395,0.014724883482092527,NA,NA,NA
Acadiella__wmmcmm_z_trans,-0.00476942516502569,-0.004822706220850184,0.013508187863951044,NA,NA,NA
Acadiella__wetmon_z_trans,0.027267462419286372,-0.005547664663908118,0.023194791061500224,NA,NA,NA
Acadiella__drymon_z_trans,0.002316884822770049,-0.0034642154976686854,0.009426440015116385,NA,NA,NA
Acadiella__wetdry_z_trans,0.025676753152580032,-0.008381644321322818,0.030996583723500563,NA,NA,NA
Acadiella__time,0.013327431722959844,-0.000767526668856597,0.00603296888752397,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.055809252692212714,0.0011872549994850724,0.011239743035181791,0.8837833688871615,0.2605189085006714,1.6461938369320706
Acaenasuchus__biome,0.17857235515395622,0.00024507596311150177,0.049369314553961846,NA,NA,NA
Acaenasuchus__mat_z_trans,0.011931477490671662,-0.006864556021067039,0.02993471398134189,NA,NA,NA
Acaenasuchus__map_z_trans,-0.07940477558731962,-0.008507855276038815,0.012055185640745184,NA,NA,NA
Acaenasuchus__wmm_z_trans,-0.03586770134391221,-0.006814349671379003,0.008653231317986699,NA,NA,NA
Acaenasuchus__cmm_z_trans,-0.06977993278351942,-0.012908823003537928,0.013906726112851715,NA,NA,NA
Acaenasuchus__wmmcmm_z_trans,-0.031237988052181677,-0.008562946290329053,0.011904755305491429,NA,NA,NA
Acaenasuchus__wetmon_z_trans,0.04117365707977117,-0.007483237123124102,0.0291861599661454,NA,NA,NA
Acaenasuchus__drymon_z_trans,0.003756414092128207,-0.0027714022762552995,0.006159904187408314,NA,NA,NA
Acaenasuchus__wetdry_z_trans,0.04069840360404611,-0.008036340850456404,0.03606791283930361,NA,NA,NA
Acaenasuchus__time,0.02010071865752664,-0.000713692276819222,0.010909124380878803,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.07140426668853228,0.0010026712481379992,0.009172029351277955,0.6818516432848992,0.11370895430445671,1.1065452210605145
Acallosuchus__biome,0.2392064311074674,0.001237034972463871,0.04568768938886282,NA,NA,NA
Acallosuchus__mat_z_trans,0.01310523855722021,-0.011122266903274386,0.02845539596378122,NA,NA,NA
Acallosuchus__map_z_trans,-0.11429726210172489,-0.00848458848544831,0.008435175584830762,NA,NA,NA
Acallosuchus__wmm_z_trans,-0.04785735886149533,-0.004573116617436715,0.012392311277491852,NA,NA,NA
Acallosuchus__cmm_z_trans,-0.13997767433292707,-0.013866622555211552,0.01567959429529805,NA,NA,NA
Acallosuchus__wmmcmm_z_trans,-0.054931254272371714,-0.008629234476186635,0.019986600989553772,NA,NA,NA
Acallosuchus__wetmon_z_trans,0.06588817839530876,-0.00508318999455859,0.02927830161378616,NA,NA,NA
Acallosuchus__drymon_z_trans,0.009118890423739485,-0.0016836343955030125,0.005203606446956051,NA,NA,NA
Acallosuchus__wetdry_z_trans,0.05896032852327168,-0.008242883042787724,0.034765450658083466,NA,NA,NA
Acallosuchus__time,0.03513209687635902,-0.0017850415766052414,0.010330615751374568,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.06402923527601707,0.000997993889720262,0.00962557509251917,0.9648417553686887,0.07166819646954536,2.075973925180733
Acerosodontosaurus__biome,0.005112190107696691,-0.005516021943371333,0.021332869134834124,NA,NA,NA
Acerosodontosaurus__mat_z_trans,-0.0835379664430082,-0.013027931469086424,0.03355762802250023,NA,NA,NA
Acerosodontosaurus__map_z_trans,0.016996792243164034,-0.000829047115117753,0.0062391765604850645,NA,NA,NA
Acerosodontosaurus__wmm_z_trans,0.0019306218546754318,-0.0016865021297806186,0.004561097606212565,NA,NA,NA
Acerosodontosaurus__cmm_z_trans,0.10074657033591952,-0.010647823494154746,0.04144499166205919,NA,NA,NA
Acerosodontosaurus__wmmcmm_z_trans,0.052960601278949686,-0.009731455075962856,0.03711611522890185,NA,NA,NA
Acerosodontosaurus__wetmon_z_trans,0.0005500079133040202,-0.0029910292776884027,0.007886499743260073,NA,NA,NA
Acerosodontosaurus__drymon_z_trans,-0.00111738602859078,-0.009463166458385474,0.025872249185535316,NA,NA,NA
Acerosodontosaurus__wetdry_z_trans,-0.01691239294853476,-0.005697449013186596,0.0234547196562057,NA,NA,NA
Acerosodontosaurus__time,-0.005006392586212918,-0.0026384397393963564,0.00829584942878341,NA,NA,NA
Acleistorhinus__lat_range_z_trans,0.1621377682328006,0.0006859773686888244,0.008085220419812435,0.3955164023116231,0.0,0.9741959571838379
Acleistorhinus__biome,0.17873871814237335,-0.0049014467662998355,0.023026549457433296,NA,NA,NA
Acleistorhinus__mat_z_trans,0.12645724705988462,-0.006744554426821901,0.0267936375434801,NA,NA,NA
Acleistorhinus__map_z_trans,0.45451909028061527,-0.003691799349056904,0.039901689508576435,NA,NA,NA
Acleistorhinus__wmm_z_trans,-0.08502851551165282,-0.004813924565706285,0.008721970481500039,NA,NA,NA
Acleistorhinus__cmm_z_trans,-0.19433008529232548,-0.00808527803066726,0.02311810720873714,NA,NA,NA
Acleistorhinus__wmmcmm_z_trans,-0.07284942017784232,-0.006094091413622842,0.0173254412867182,NA,NA,NA
Acleistorhinus__wetmon_z_trans,-0.1915672503171281,-0.009617969720192708,0.019875517499125424,NA,NA,NA
Acleistorhinus__drymon_z_trans,-0.08378780237434114,-0.00791225105395594,0.029663184740760653,NA,NA,NA
