feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-19.333224194859856,0.4029753914475441,0.2877592146396637,0.5749988555908203,-1058.7583659868637,-1537.0182629315439,-692.336489976246,1.0
Temperate_N,none,0_1,none,0.84,-2.1869854360679586,-10.287740162584733,2.503735063704591,0.310460574477911,0.08728814870119095,0.6093806028366089,-306.1550395864525,-633.010398504881,-65.71076309858609,12.0
Tropical,none,0_1,none,0.86,-2.4453568048652343,-11.663331280871633,3.4380009857650458,0.22470654748380184,0.0656217709183693,0.4409361183643341,-358.3454704114652,-824.8356885457904,-72.53828670342273,11.0
Temperate_S,none,0_1,none,0.86,-3.1289228347922955,-9.65014399248852,2.1498760663813186,0.30950533375144007,0.09836595505475998,0.6294693350791931,-546.1219398039908,-1248.9252134887515,-75.75480576929431,8.0
Antarctic,none,0_1,none,0.57,1.4701060065399192,-10.282972895174803,6.811723949832064,0.05829560406506062,0.04181373864412308,0.08358041942119598,-18.418611706029456,-71.11538900928747,6.53116814355667,14.0
mat_z_trans,none,none,none,0.68,-3.0703504748510744,-40.0,7.439470664830667,0.3938166905194521,0.07971025258302689,0.8482893109321594,-969.859612174882,-2138.4369094016342,-116.78135899459619,3.0
map_z_trans,none,none,none,0.92,-24.555130100040223,-40.0,2.6249263807534953,0.3916299096494913,0.07130768150091171,0.7718729972839355,-1076.6439085852767,-2588.918134925924,-102.05937935341763,2.0
wmm_z_trans,none,none,none,0.77,-5.981136823669848,-40.0,3.59816397530353,0.2606043067574501,0.09447314590215683,0.5469256043434143,-790.4372830135269,-1672.6310179726045,-123.61833623744587,9.0
cmm_z_trans,none,none,none,0.83,-10.428878018564356,-40.0,4.82963327820948,0.3482635861635208,0.08438700437545776,0.6226702928543091,-964.4324716038283,-2300.6751366214426,-50.15013644318947,4.0
wmmcmm_z_trans,none,none,none,0.88,-10.59185169727316,-40.0,3.2044398859915595,0.3215304845571518,0.08172077685594559,0.5950533747673035,-843.049049891591,-1870.637771992501,-117.51345881849852,7.0
wetmon_z_trans,none,none,none,0.34,2.076512323393711,-16.945448639049246,40.0,0.3322636941820383,0.08991893380880356,0.7275525331497192,-982.0595991875349,-2497.8672858154773,-125.99745127328765,6.0
drymon_z_trans,none,none,none,0.61,-2.2673132581405673,-40.0,20.623351625920822,0.12893146943300962,0.04750682786107063,0.23329204320907593,-621.8612827165854,-1667.2016678545663,-36.112652315826836,13.0
wetdry_z_trans,none,none,none,0.47,1.2089514968368147,-21.076151434392127,26.151899009327472,0.3461681722104549,0.10366366058588028,0.703665554523468,-1058.156989484303,-2468.9547711458927,-151.17040024531502,5.0
time,none,none,none,0.97,-8.604734859171579,-40.0,-1.1704108802043045,0.22453866146504878,0.05280754342675209,0.47550785541534424,-448.53145620040016,-1136.8708990023767,-19.988137175375414,10.0
