feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13575188137590885,0.06123090907931328,0.2193867564201355,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.2372511629395502,0.0007008105626075231,0.006877421423926661,0.3986474458471639,0.1087137027643621,1.7207340151071548
Abyssomedon__Temperate_N,0.21184521822995434,-0.0004954410305634176,0.009817515342028633,NA,NA,NA
Abyssomedon__Tropical,-0.507142250566808,-0.006398755263425081,0.001738709648262789,NA,NA,NA
Abyssomedon__Temperate_S,0.332104667997933,0.00038537822498465875,0.01065532553732553,NA,NA,NA
Abyssomedon__Antarctic,0.07077812679503866,-0.0002902350320224319,0.0028119116599386244,NA,NA,NA
Abyssomedon__mat_z_trans,0.23448075080170813,-0.005052169646959137,0.02323904764855319,NA,NA,NA
Abyssomedon__map_z_trans,0.5389230168768135,-0.0044199826764612414,0.03700611815870884,NA,NA,NA
Abyssomedon__wmm_z_trans,-0.04489035899939551,-0.004628801708092493,0.01651144269393101,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.27669652247903326,-0.007584695152872787,0.01749851907692065,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.12099125568334622,-0.00672727264266493,0.013598449685105526,NA,NA,NA
Abyssomedon__wetmon_z_trans,-0.309439144964563,-0.009696812676326263,0.01834811891771856,NA,NA,NA
Abyssomedon__drymon_z_trans,-0.09804812434184887,-0.007541968923685245,0.028043475422754486,NA,NA,NA
Abyssomedon__wetdry_z_trans,-0.03147930004599937,-0.0057802676072652645,0.021476769866754165,NA,NA,NA
Abyssomedon__time,-0.10094410518409463,-0.003700695506567171,0.011763931338206822,NA,NA,NA
Acadiella__lat_range_z_trans,0.0781448395297599,0.0014108817603939085,0.013939159830212489,0.8025230085127987,0.25438315235078335,1.9272470064461231
Acadiella__Temperate_N,0.12000064204714309,0.0016864503517190726,0.023171853943763643,NA,NA,NA
Acadiella__Tropical,-0.1638625305715605,-0.012983250803182161,0.004876759149990876,NA,NA,NA
Acadiella__Temperate_S,0.13144943229725298,0.001812038316867816,0.025240273470712504,NA,NA,NA
Acadiella__Antarctic,0.019392057438153417,7.790209358514334e-05,0.00592462324308506,NA,NA,NA
Acadiella__mat_z_trans,0.0078496236727039,-0.007170644268451555,0.022311417657390746,NA,NA,NA
Acadiella__map_z_trans,-0.1031386251633444,-0.011858239217818678,0.010332896005728655,NA,NA,NA
Acadiella__wmm_z_trans,-0.044924070835533944,-0.0079552977081617,0.011406590150886759,NA,NA,NA
Acadiella__cmm_z_trans,-0.032775304963368966,-0.006850082690646931,0.015371640707178941,NA,NA,NA
Acadiella__wmmcmm_z_trans,-0.00923824408904115,-0.0040708625170864125,0.014101505327996321,NA,NA,NA
Acadiella__wetmon_z_trans,0.05281631053065288,-0.004682802373495415,0.02421356983293423,NA,NA,NA
Acadiella__drymon_z_trans,0.0044877402728378995,-0.0029241559354372688,0.009840475086703509,NA,NA,NA
Acadiella__wetdry_z_trans,0.04973515263689676,-0.007074974119656871,0.03235803860363935,NA,NA,NA
Acadiella__time,0.025814858573357025,-0.000647871967942227,0.006297953409912407,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.19883764805683252,0.0010474759584756907,0.011509489126076435,0.43787479023485504,0.1693142969161272,0.8448917958885431
Acaenasuchus__Temperate_N,0.28391788698940934,0.0010323024227028444,0.01903845925611201,NA,NA,NA
Acaenasuchus__Tropical,-0.37959287718644785,-0.009509287456223559,0.0008239875892060344,NA,NA,NA
Acaenasuchus__Temperate_S,0.3265373760377916,0.0013694160454581134,0.021128310745236793,NA,NA,NA
Acaenasuchus__Antarctic,0.05745061584085788,0.00011486184069234863,0.0042982525431722405,NA,NA,NA
Acaenasuchus__mat_z_trans,0.04250956442700674,-0.006056371156297988,0.03065312439549428,NA,NA,NA
Acaenasuchus__map_z_trans,-0.28290396440403776,-0.0075062003223455515,0.012344500156481161,NA,NA,NA
Acaenasuchus__wmm_z_trans,-0.12778973111490124,-0.006012076139087233,0.00886090072279532,NA,NA,NA
Acaenasuchus__cmm_z_trans,-0.24861249694586124,-0.01138902910856426,0.01424047698391281,NA,NA,NA
Acaenasuchus__wmmcmm_z_trans,-0.11129495293791429,-0.00755480530865607,0.012190460396735383,NA,NA,NA
Acaenasuchus__wetmon_z_trans,0.14669383240092124,-0.006602213493684971,0.029886605652109374,NA,NA,NA
Acaenasuchus__drymon_z_trans,0.01338338045844819,-0.002445116893086396,0.006307736817656623,NA,NA,NA
Acaenasuchus__wetdry_z_trans,0.1450005943163406,-0.007090198684040166,0.03693351537075412,NA,NA,NA
Acaenasuchus__time,0.07161500543746313,-0.0006296667846560781,0.011170936664392908,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.2872435565292835,0.0008595115318596779,0.009580027932840162,0.2448751689249184,0.12414933741092682,0.43880176171660423
Acallosuchus__Temperate_N,0.3461025246605277,-0.0003680868676190576,0.01605962579906326,NA,NA,NA
Acallosuchus__Tropical,-0.4543744660820812,-0.00806349752764885,0.0007099910289466423,NA,NA,NA
Acallosuchus__Temperate_S,0.45973201733548197,0.0006922857797730371,0.017732018188747756,NA,NA,NA
Acallosuchus__Antarctic,0.08551641278900206,5.72351447498521e-05,0.0034593959804341302,NA,NA,NA
Acallosuchus__mat_z_trans,0.05271947440225631,-0.009534249029008153,0.029721174860290762,NA,NA,NA
Acallosuchus__map_z_trans,-0.45979258194565775,-0.007273173195969582,0.008810396764575417,NA,NA,NA
Acallosuchus__wmm_z_trans,-0.19251955822808667,-0.003920175063979966,0.012943557379074547,NA,NA,NA
Acallosuchus__cmm_z_trans,-0.5630991929629817,-0.01188676948330075,0.016377068320614068,NA,NA,NA
Acallosuchus__wmmcmm_z_trans,-0.22097627295181155,-0.007397166875161774,0.02087566185762275,NA,NA,NA
Acallosuchus__wetmon_z_trans,0.2650535579957068,-0.0043574210212615925,0.030580685750543297,NA,NA,NA
Acallosuchus__drymon_z_trans,0.03668327700928785,-0.0014432480821654188,0.005435077678545995,NA,NA,NA
Acallosuchus__wetdry_z_trans,0.23718434877693653,-0.007065978050336535,0.03631191916713732,NA,NA,NA
Acallosuchus__time,0.14132864707149564,-0.0015301763392441693,0.010790155711699388,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.06897221793323072,0.0009442075064661266,0.00929259045988091,0.993037426469964,0.36534002237021923,1.6324196681380272
Acerosodontosaurus__Temperate_N,0.09424490017082873,0.0007146623089438076,0.01457177472978161,NA,NA,NA
Acerosodontosaurus__Tropical,0.04806495001078129,-0.0012231545430649575,0.011613985112257558,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.16212900023641283,-0.007978386670031418,-0.0017563919180743747,NA,NA,NA
