feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-33.879549114104634,-40.0,-11.59428607883127,0.3812421151995659,0.25521913170814514,0.5163499116897583,-847.2961303356709,-1249.0458795574987,-539.3400923642694,8.0
Temperate_N,none,0_1,none,0.82,-2.7464570859119375,-20.200903149957146,4.019497998297636,0.4843503923714161,0.1332375556230545,0.8607754707336426,-618.0464323483028,-1092.6535321602505,-151.09505666075393,7.0
Tropical,none,0_1,none,0.99,-9.092994816234246,-40.0,-2.0273410334783395,0.2831356804817915,0.0783756673336029,0.5069751143455505,-501.4362916026988,-1058.701671176011,-96.65238607676076,12.0
Temperate_S,none,0_1,none,0.95,-6.765705915446279,-40.0,-1.035051305137489,0.7169613619148731,0.2248890995979309,1.1396948099136353,-1199.0243238976002,-2078.388850814711,-294.2201057361814,1.0
Antarctic,none,0_1,none,0.67,-1.8096515302385434,-23.75807006416576,4.774360948345604,0.07330062042921781,0.04771047085523605,0.11071742326021194,-38.107896196499404,-132.78041413315464,3.3756941537616285,14.0
mat_z_trans,none,none,none,0.58,-1.4240890078864576,-40.0,9.865976787066735,0.5787279444932938,0.13345478475093842,1.2074847221374512,-1352.5094952303723,-3346.195048620617,-119.26130015235913,3.0
map_z_trans,none,none,none,0.48,1.041432165760594,-7.164139204266385,17.632592749436448,0.2943780620396137,0.08068113774061203,0.6004329323768616,-1221.953754915486,-2999.2524254164564,-176.3258044899576,11.0
wmm_z_trans,none,none,none,0.88,-8.586392586878187,-40.0,2.8604734287637448,0.42924130015075207,0.11219146102666855,0.9382473230361938,-865.9336853754219,-1980.8721553908547,-92.12882910926521,6.0
cmm_z_trans,none,none,none,0.47,1.185544234440548,-40.0,23.60052024587191,0.5061475649476052,0.1448090672492981,1.1766647100448608,-1279.8673095782046,-3431.498237811565,-107.59955097153556,4.0
wmmcmm_z_trans,none,none,none,0.65,-2.0915176978261463,-40.0,18.534991946252315,0.48043372347950936,0.1168472170829773,0.9819824695587158,-1189.6607740379447,-2965.491114083877,-118.96394890545878,5.0
wetmon_z_trans,none,none,none,0.82,-12.539760607296923,-40.0,6.132405677932973,0.4897751949727535,0.10255369544029236,1.0601527690887451,-1452.8618349599353,-3465.0564240042268,-125.09252061304824,2.0
drymon_z_trans,none,none,none,0.54,-1.4312109380376095,-40.0,27.656958156054905,0.3379151874035597,0.07606471329927444,0.7071025371551514,-987.3507252585118,-2331.1822409705583,-86.55518587631161,10.0
wetdry_z_trans,none,none,none,0.43,1.2072795913518561,-11.312694400921957,5.61153859985539,0.41672609604895117,0.08369088917970657,0.9403215050697327,-1276.043010351587,-3038.7249028241913,-120.24780488490751,7.0
time,none,none,none,0.71,-1.8496442794575843,-7.370846943723258,7.929793347831128,0.1312268351763487,0.05662547051906586,0.234100803732872,-329.70809881010297,-940.3674380125782,-17.761084505092413,13.0
