feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-16.569744961472217,-40.0,-7.142824453483116,0.421951392441988,0.2957235276699066,0.5743110775947571,-773.1277723383306,-1109.153084604246,-472.48062152153364,3.0
biome,none,Temperate_N_Tropical,none,0.63,1.2938187099446594,-3.005786325711231,9.796871341478631,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
biome,none,Temperate_N_Temperate_S,none,0.68,-1.4521210021217992,-5.11416587836531,3.746531724031606,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
biome,none,Temperate_N_Antarctic,none,0.79,2.11611701431732,-5.721760144692838,17.171530935733937,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
biome,none,Tropical_Temperate_S,none,0.81,-1.7129638451036344,-10.997159789586336,3.1228953856509176,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
biome,none,Tropical_Antarctic,none,0.69,1.682563311020115,-7.472906675657169,7.632345530769553,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
biome,none,Temperate_S_Antarctic,none,0.88,2.7651979412301873,-4.115781034015243,17.007803214491503,0.3492123857140541,0.17957068979740143,0.6301677227020264,-500.21968924020314,-871.3498629132016,-176.3794955306929,7.0
mat_z_trans,none,none,none,0.72,-2.9834069871733533,-40.0,8.049468144939839,0.5197413858771324,0.0939314141869545,1.0551180839538574,-1081.6384177075352,-2752.2433223157536,-96.81468716378254,1.0
map_z_trans,none,none,none,0.82,-7.96809953750865,-40.0,8.802155022984131,0.3311668295413256,0.08386163413524628,0.6746713519096375,-1075.7344573261657,-2373.9362707088794,-176.42623794246856,5.0
wmm_z_trans,none,none,none,0.36,1.1985194977702966,-3.354543334341008,4.556262857640045,0.32481545485556124,0.07656552642583847,0.6654224991798401,-627.6908136654945,-1621.0461343509216,-70.6464459847499,9.0
cmm_z_trans,none,none,none,0.61,-1.5624095317792905,-40.0,3.709192062943887,0.4220338579267263,0.08255117386579514,0.884529173374176,-1172.0730309906803,-3393.111057906797,-121.23923224078135,2.0
wmmcmm_z_trans,none,none,none,0.59,-1.5026219171842057,-15.928246204428037,8.225902046869544,0.32420051246881487,0.06948139518499374,0.6347188949584961,-742.3736250214091,-1929.6835507219214,-73.70958523162699,8.0
wetmon_z_trans,none,none,none,0.48,1.0524950345067334,-29.55703843434437,14.647908202137346,0.37413666643202304,0.11584804207086563,0.768018901348114,-1249.3749348949564,-3022.2882407412935,-155.1070102743281,4.0
drymon_z_trans,none,none,none,0.59,-1.3747009143886957,-23.350155765595485,21.020981299559153,0.2287245274335146,0.08267375826835632,0.44523143768310547,-753.7477361416209,-1749.829291230572,-58.2654626236332,8.0
wetdry_z_trans,none,none,none,0.57,-1.3195020911736417,-40.0,8.499647715766695,0.3505837156623602,0.06962902843952179,0.7510077953338623,-1074.798941342396,-2745.491036312802,-87.64830116029975,6.0
time,none,none,none,0.81,-2.0520734449579345,-8.154565943768937,3.072995103233112,0.1482198603078723,0.048600707203149796,0.3088988661766052,-357.59861177093165,-1055.9472839268647,-8.521088442569635,10.0
