feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17766092412173748,0.10744970291852951,0.2737719714641571,NA,NA,NA
Abajudon__lat_range_z_trans,0.15362593452944512,0.00293462586892916,0.017017390833325513,0.6747542140295263,0.3144905362278223,1.1593036819249392
Abajudon__Temperate_N,0.20063292488362536,0.0007420269719868281,0.02872641787337027,NA,NA,NA
Abajudon__Tropical,0.05401325596361925,-9.007441505390138e-05,0.010900458110085892,NA,NA,NA
Abajudon__Temperate_S,-0.33210663002026863,-0.017278107769555007,-0.008358367925399813,NA,NA,NA
Abajudon__Antarctic,0.02434123652466075,-0.0002062310725566641,0.0039794540204013875,NA,NA,NA
Abajudon__mat_z_trans,0.07597794855683448,-0.015365532937698243,0.04456401633542231,NA,NA,NA
Abajudon__map_z_trans,-0.018532132441900738,-0.0037322164578797645,0.008271020065675717,NA,NA,NA
Abajudon__wmm_z_trans,-0.027774366860070017,-0.022905805227064584,0.03571166309079341,NA,NA,NA
Abajudon__cmm_z_trans,0.011606066367456843,-0.00980986570969033,0.03440113217489453,NA,NA,NA
Abajudon__wmmcmm_z_trans,0.025823008052324906,-0.009847063730596664,0.02817952962293049,NA,NA,NA
Abajudon__wetmon_z_trans,0.03621422463789384,-0.013197217893279543,0.02895667439498145,NA,NA,NA
Abajudon__drymon_z_trans,-0.002209357355058103,-0.003034236254012974,0.005300791253252353,NA,NA,NA
Abajudon__wetdry_z_trans,0.0023422846477097127,-0.010870637084063195,0.03030004645705541,NA,NA,NA
Abajudon__time,-0.02629347336453524,-0.0047893672079946225,0.005821745157368198,NA,NA,NA
Abdalodon__lat_range_z_trans,0.09016487994280538,0.005256968091452285,0.02251446927186365,0.9947398124844767,0.6867870558053255,1.2741878816159442
Abdalodon__Temperate_N,0.11302513312756127,0.0011138197571539522,0.03568720555560283,NA,NA,NA
Abdalodon__Tropical,0.031366316777969694,-0.001057630870678035,0.011186936643921667,NA,NA,NA
Abdalodon__Temperate_S,-0.19810737547372892,-0.02672646666146256,-0.007743732217542864,NA,NA,NA
Abdalodon__Antarctic,0.01160106089316374,-9.088537757865871e-05,0.005099508199147839,NA,NA,NA
Abdalodon__mat_z_trans,0.042620010513436925,-0.013912106932422017,0.04268769651050038,NA,NA,NA
Abdalodon__map_z_trans,0.011982483678245183,-0.0031577246706788143,0.00998885328435905,NA,NA,NA
Abdalodon__wmm_z_trans,0.024116606255354545,-0.0074086662468778345,0.02199315376152986,NA,NA,NA
Abdalodon__cmm_z_trans,0.009305648122765364,-0.023274868632888007,0.05352818239323192,NA,NA,NA
Abdalodon__wmmcmm_z_trans,0.03083697293707114,-0.020130215846975868,0.04293870983652315,NA,NA,NA
Abdalodon__wetmon_z_trans,0.005386104223890067,-0.005491467346470175,0.011220532942156315,NA,NA,NA
Abdalodon__drymon_z_trans,0.0013654756222380615,-0.004425786008356218,0.006105045970822263,NA,NA,NA
Abdalodon__wetdry_z_trans,0.006581267439020464,-0.005385446799275964,0.012921255796075273,NA,NA,NA
Abdalodon__time,-0.002583659938055418,-0.002759225373471601,0.005644153515965778,NA,NA,NA
Acratophorus__lat_range_z_trans,0.25929244816303254,0.0018258702146578068,0.014335461127356057,0.2607984809856862,0.028809281066060066,0.4580804333090782
Acratophorus__Temperate_N,0.3630562610086054,0.0010222168674568564,0.02803030382887658,NA,NA,NA
Acratophorus__Tropical,0.10839894332922995,-0.00033406646788031457,0.0078005553451503005,NA,NA,NA
Acratophorus__Temperate_S,-0.5482846132293343,-0.015221038065319034,-0.0019201618606862732,NA,NA,NA
Acratophorus__Antarctic,0.035652022760477846,-0.0005007605966546166,0.0036559203430878945,NA,NA,NA
Acratophorus__mat_z_trans,-0.1800203302130103,-0.024524622019615826,0.0394496801263314,NA,NA,NA
Acratophorus__map_z_trans,-0.3274839834868908,-0.019652224502776518,0.023024441477201472,NA,NA,NA
Acratophorus__wmm_z_trans,0.04039652244071476,-0.018324845592082896,0.040489418028960895,NA,NA,NA
Acratophorus__cmm_z_trans,-0.023547821138054134,-0.013922644706761226,0.03278948256473137,NA,NA,NA
Acratophorus__wmmcmm_z_trans,0.01480197105789557,-0.004258044041726445,0.01266193516046192,NA,NA,NA
Acratophorus__wetmon_z_trans,0.04761839419370517,-0.0046530427310094115,0.02316591505516657,NA,NA,NA
Acratophorus__drymon_z_trans,0.03419252841733396,-0.0045576668383549915,0.025537288432279627,NA,NA,NA
Acratophorus__wetdry_z_trans,-0.006733127650222741,-0.004219893142038273,0.007782745016113546,NA,NA,NA
Acratophorus__time,0.21841470011975617,-0.00012894129642462466,0.01696898681912575,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.07795907448686172,0.0006678308209371414,0.009306392703586247,0.897289223883854,0.027165778912603855,2.8296361714601517
Adelobasileus__Temperate_N,0.10197439574324198,0.00032842317212492206,0.014333325814285156,NA,NA,NA
Adelobasileus__Tropical,-0.14190413861146559,-0.015187360535101732,0.01092029431963608,NA,NA,NA
Adelobasileus__Temperate_S,0.233122927680508,0.0027571344283329547,0.03488923356169467,NA,NA,NA
Adelobasileus__Antarctic,0.00044144504330278985,-0.0010359458407506988,0.0022133104859695892,NA,NA,NA
Adelobasileus__mat_z_trans,-0.061290541504252644,-0.01384588600292488,0.025268748087098895,NA,NA,NA
Adelobasileus__map_z_trans,-0.04686967994454527,-0.01766745512933447,0.030999265043280724,NA,NA,NA
Adelobasileus__wmm_z_trans,-0.01652396849497829,-0.01269836815161956,0.013412704908525783,NA,NA,NA
Adelobasileus__cmm_z_trans,-0.011813941972857194,-0.010387226417556588,0.02676492237210854,NA,NA,NA
Adelobasileus__wmmcmm_z_trans,-0.008855493910644413,-0.005194095080138454,0.01674050570548357,NA,NA,NA
Adelobasileus__wetmon_z_trans,-0.030283222326514574,-0.011941151346174924,0.032422927497661534,NA,NA,NA
Adelobasileus__drymon_z_trans,-0.0020349914385150492,-0.009871743953623637,0.02404802483181096,NA,NA,NA
Adelobasileus__wetdry_z_trans,-0.0037912124420423528,-0.012204403434242147,0.0147943318561673,NA,NA,NA
Adelobasileus__time,0.08753027181363841,-0.0011694554484574346,0.01765798427684808,NA,NA,NA
Aelurognathus__lat_range_z_trans,-0.7953453123569488,-0.0318781520117681,-0.02727916842682784,0.29169697002689643,0.02825051313266158,0.6621111193671823
Aelurognathus__Temperate_N,0.2701034775003791,0.0017483933881747142,0.029001674100693986,NA,NA,NA
Aelurognathus__Tropical,0.03332303019531537,-0.0013606986895217917,0.007173417088398398,NA,NA,NA
Aelurognathus__Temperate_S,-0.29187918301671745,-0.01846611155073351,-0.0018808982115860724,NA,NA,NA
Aelurognathus__Antarctic,0.0031867270113434642,-0.0012877744019902132,0.002140149855382186,NA,NA,NA
Aelurognathus__mat_z_trans,0.15032487582881005,-0.003808079671532315,0.02842694991971427,NA,NA,NA
Aelurognathus__map_z_trans,0.33699087230488656,-0.002266742593744994,0.0648943206245802,NA,NA,NA
Aelurognathus__wmm_z_trans,0.07053187930956482,-0.0035753650114193924,0.021740372471049648,NA,NA,NA
Aelurognathus__cmm_z_trans,0.08832258370472118,-0.007469187179243994,0.02959936295655741,NA,NA,NA
Aelurognathus__wmmcmm_z_trans,0.0597311376385187,-0.006802911661929127,0.021017884869261032,NA,NA,NA
Aelurognathus__wetmon_z_trans,0.067014005840756,-0.014338997110057646,0.0415024394728553,NA,NA,NA
Aelurognathus__drymon_z_trans,0.04772358738817275,-0.004874204501518748,0.024310442304141776,NA,NA,NA
Aelurognathus__wetdry_z_trans,0.0476629805075936,-0.012293135490721058,0.027709802113618825,NA,NA,NA
Aelurognathus__time,0.022923714783391915,-0.0007767364325233418,0.00541522232631799,NA,NA,NA
Aelurosaurus__lat_range_z_trans,-0.4531756818294525,-0.01076816479504356,-0.011565775341435089,0.17010551654049777,0.01996728777885437,0.40676157642155886
Aelurosaurus__Temperate_N,0.3816005347511964,0.0005220243370033781,0.03364815183292348,NA,NA,NA
Aelurosaurus__Tropical,0.10320325850858353,-0.00047968405089570906,0.008807784603356761,NA,NA,NA
Aelurosaurus__Temperate_S,-0.725819614008069,-0.023863120359837262,-0.0037657803358976914,NA,NA,NA
Aelurosaurus__Antarctic,0.04724258140777238,-0.00012745504046775535,0.004379392203243052,NA,NA,NA
Aelurosaurus__mat_z_trans,0.1292051545996219,-0.012241470638436136,0.03207494132836355,NA,NA,NA
Aelurosaurus__map_z_trans,0.1293421791982837,-0.0027555725466951865,0.03673118643177337,NA,NA,NA
Aelurosaurus__wmm_z_trans,0.11003079366935709,-0.0030096748556486014,0.01985121048147332,NA,NA,NA
Aelurosaurus__cmm_z_trans,0.01372469724919938,-0.01215683409913984,0.04772684792344079,NA,NA,NA
Aelurosaurus__wmmcmm_z_trans,0.09323379478882998,-0.012435379068908847,0.03421862450683384,NA,NA,NA
