feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2701186527684331,0.07787177711725235,0.4420654773712158,NA,NA,NA
Davletkulia__lat_range_z_trans,0.07516311138053425,-0.0010485746550199296,0.05389591347771908,0.35184393183408247,0.1457412801682949,0.5271315667778254
Davletkulia__Temperate_N,-0.3821129238069989,-0.06376914612292615,0.046344238259820564,NA,NA,NA
Davletkulia__Tropical,0.0958427345778182,-0.012895748023610853,0.13721241960431715,NA,NA,NA
Davletkulia__Temperate_S,0.1411302134837024,-0.0005921317748617446,0.1291400547720004,NA,NA,NA
Davletkulia__Antarctic,0.013791103555704468,4.338236307001986e-05,0.0075472854419262065,NA,NA,NA
Davletkulia__time,0.013791107873548753,4.3382191536149746e-05,0.007547282280022745,NA,NA,NA
Raranimus__lat_range_z_trans,0.07516311138053425,-0.0010485746550199296,0.05389591347771908,0.35184393183408247,0.1457412801682949,0.5271315667778254
Raranimus__Temperate_N,-0.3821129238069989,-0.06376914612292615,0.046344238259820564,NA,NA,NA
Raranimus__Tropical,0.0958427345778182,-0.012895748023610853,0.13721241960431715,NA,NA,NA
Raranimus__Temperate_S,0.1411302134837024,-0.0005921317748617446,0.1291400547720004,NA,NA,NA
Raranimus__Antarctic,0.013791103555704468,4.338236307001986e-05,0.0075472854419262065,NA,NA,NA
Raranimus__time,0.013791107873548753,4.3382191536149746e-05,0.007547282280022745,NA,NA,NA
