feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2806565003655851,0.17737269401550293,0.4264073073863983,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.21985426082200873,0.004940970679451638,0.024569504580788604,0.9858242482296191,0.506504425778985,1.5400550216436386
Acerosodontosaurus__Temperate_N,0.23819379708701338,-0.0014326480029401944,0.031115911179979507,NA,NA,NA
Acerosodontosaurus__Tropical,0.0990350222003295,-0.0010037241295686654,0.018348311761928176,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.2376282373698286,-0.018898702827025524,0.012131385372696245,NA,NA,NA
Acerosodontosaurus__Antarctic,0.05916281749110154,0.00018782587075683564,0.008208501569449692,NA,NA,NA
Acerosodontosaurus__mat_z_trans,-0.09779991600882501,-0.0317637811971502,0.05054350656783184,NA,NA,NA
Acerosodontosaurus__map_z_trans,-0.16466586432969718,-0.013953844453239201,0.007466962201765409,NA,NA,NA
Acerosodontosaurus__wmm_z_trans,0.03147887004567984,-0.01538395217606871,0.023672107745519387,NA,NA,NA
Acerosodontosaurus__cmm_z_trans,0.15665415477860603,-0.024959430858575663,0.08831061096781712,NA,NA,NA
Acerosodontosaurus__wmmcmm_z_trans,0.0791857389970117,-0.03554440048730964,0.06899371172400497,NA,NA,NA
Acerosodontosaurus__wetmon_z_trans,0.05413064763325047,-0.003034619164236541,0.016803907418898586,NA,NA,NA
Acerosodontosaurus__drymon_z_trans,-0.09409789599495792,-0.02102547192274327,0.04678715710186299,NA,NA,NA
Acerosodontosaurus__wetdry_z_trans,-0.09736282866619382,-0.011927696463480787,0.01398611309528054,NA,NA,NA
Acerosodontosaurus__time,0.03451593368008632,-0.003573218883373018,0.01546961609857522,NA,NA,NA
Acrodenta__lat_range_z_trans,0.05634905412074111,0.006028871253626269,0.022434781575632425,2.8919099915062545,0.8495287224650383,4.639483242994174
Acrodenta__Temperate_N,0.066389053855554,-0.0012284866426522953,0.03127649232116113,NA,NA,NA
Acrodenta__Tropical,-0.01848818619041373,-0.02406779583219655,0.03241467650286101,NA,NA,NA
Acrodenta__Temperate_S,0.07021232238404317,-0.0006639388935728706,0.040847354195045926,NA,NA,NA
Acrodenta__Antarctic,0.004389019378176927,-0.0012354019304243228,0.00425608188400572,NA,NA,NA
Acrodenta__mat_z_trans,0.0010431494116928976,-0.03395255977992465,0.0503725601539285,NA,NA,NA
Acrodenta__map_z_trans,-0.024054912234239893,-0.0124739244583811,0.002169073608558567,NA,NA,NA
Acrodenta__wmm_z_trans,0.01705010357142019,-0.011955119868022312,0.019626756623474365,NA,NA,NA
Acrodenta__cmm_z_trans,0.06589575922403042,-0.022462510089066395,0.07873308533299886,NA,NA,NA
Acrodenta__wmmcmm_z_trans,0.05555343138125906,-0.03057924592704375,0.0706549404132552,NA,NA,NA
Acrodenta__wetmon_z_trans,0.01271176894324269,-0.003011113563014861,0.015402604946666244,NA,NA,NA
Acrodenta__drymon_z_trans,-0.006151471168310981,-0.020445567253251768,0.03769372134641014,NA,NA,NA
Acrodenta__wetdry_z_trans,-0.021658398085950496,-0.014005107048633541,0.011929502296756154,NA,NA,NA
Acrodenta__time,0.0014158057743396638,-0.007320793982944778,0.008595676185644096,NA,NA,NA
Adelosaurus__lat_range_z_trans,0.16624308391977044,0.005106656367752124,0.024097973072679028,1.1314991653464677,0.22631965490290895,2.4731184700503945
Adelosaurus__Temperate_N,-0.1806491673225194,-0.01818171547838319,0.013608206522783009,NA,NA,NA
Adelosaurus__Tropical,0.0789373911893687,-0.0017365975183918907,0.01542903161275962,NA,NA,NA
Adelosaurus__Temperate_S,0.20632213238629174,-0.0006162181373066244,0.04015568220881164,NA,NA,NA
Adelosaurus__Antarctic,0.04003659463512384,0.0004611053121105432,0.007258171080934993,NA,NA,NA
Adelosaurus__mat_z_trans,-0.0793499142391151,-0.0358462958526272,0.052893728778070144,NA,NA,NA
Adelosaurus__map_z_trans,-0.13225221470032555,-0.016044437931987635,0.0043835815203368995,NA,NA,NA
Adelosaurus__wmm_z_trans,0.03270937311313934,-0.010516615846211922,0.030070992743120344,NA,NA,NA
Adelosaurus__cmm_z_trans,0.14095954662424942,-0.022524914429331053,0.08062883133753103,NA,NA,NA
Adelosaurus__wmmcmm_z_trans,0.06362896243535768,-0.032625530373757664,0.070064343980654,NA,NA,NA
Adelosaurus__wetmon_z_trans,0.0360974208597166,-0.0034813770644774567,0.016973473444946267,NA,NA,NA
Adelosaurus__drymon_z_trans,-0.03084072128947451,-0.02357259936041231,0.04570572313987765,NA,NA,NA
Adelosaurus__wetdry_z_trans,-0.08185482484237744,-0.01345032593639942,0.01262592033814759,NA,NA,NA
Adelosaurus__time,0.020668837596379313,-0.004343827766079249,0.012511647605746062,NA,NA,NA
Aenigmasaurus__lat_range_z_trans,0.05190964426348318,0.018126383306552907,0.03568128234166244,3.2309804254540357,1.0025356113910675,4.950527546927333
Aenigmasaurus__Temperate_N,0.06757521468615647,0.016309748672495752,0.059318448030770764,NA,NA,NA
Aenigmasaurus__Tropical,0.026226034650884352,0.002064336635677957,0.027122617849215536,NA,NA,NA
Aenigmasaurus__Temperate_S,-0.04659294599176045,-0.0627705287761292,0.02268915280158573,NA,NA,NA
Aenigmasaurus__Antarctic,0.002869913466995596,-0.0026510931462853772,0.004144915056891767,NA,NA,NA
Aenigmasaurus__mat_z_trans,0.02884555970183152,-0.031180982221929752,0.043677746068247515,NA,NA,NA
Aenigmasaurus__map_z_trans,0.052477698693793096,-0.0050769463074533065,0.05396972632510841,NA,NA,NA
Aenigmasaurus__wmm_z_trans,0.014744391783012402,-0.029575924221997524,0.03544429061556836,NA,NA,NA
Aenigmasaurus__cmm_z_trans,0.0434791031642084,-0.019501668003114193,0.055542863856827,NA,NA,NA
Aenigmasaurus__wmmcmm_z_trans,0.029958930555579747,-0.005947501902704645,0.04181447922758333,NA,NA,NA
Aenigmasaurus__wetmon_z_trans,-0.0024956705079946925,-0.018744551187141415,0.012524814996543192,NA,NA,NA
Aenigmasaurus__drymon_z_trans,0.015080121430042125,-0.004006949336045964,0.01737230417851593,NA,NA,NA
Aenigmasaurus__wetdry_z_trans,-0.0056351771351505165,-0.024552453611588497,0.008508452249165457,NA,NA,NA
Aenigmasaurus__time,0.0022136816045039307,-0.009864563915839675,0.008596213788712862,NA,NA,NA
Aenigmastropheus__lat_range_z_trans,0.21985426082200873,0.004940970679451638,0.024569504580788604,0.9858242482296191,0.506504425778985,1.5400550216436386
Aenigmastropheus__Temperate_N,0.23819379708701338,-0.0014326480029401944,0.031115911179979507,NA,NA,NA
Aenigmastropheus__Tropical,0.0990350222003295,-0.0010037241295686654,0.018348311761928176,NA,NA,NA
Aenigmastropheus__Temperate_S,-0.2376282373698286,-0.018898702827025524,0.012131385372696245,NA,NA,NA
Aenigmastropheus__Antarctic,0.05916281749110154,0.00018782587075683564,0.008208501569449692,NA,NA,NA
Aenigmastropheus__mat_z_trans,-0.09779991600882501,-0.0317637811971502,0.05054350656783184,NA,NA,NA
Aenigmastropheus__map_z_trans,-0.16466586432969718,-0.013953844453239201,0.007466962201765409,NA,NA,NA
Aenigmastropheus__wmm_z_trans,0.03147887004567984,-0.01538395217606871,0.023672107745519387,NA,NA,NA
Aenigmastropheus__cmm_z_trans,0.15665415477860603,-0.024959430858575663,0.08831061096781712,NA,NA,NA
Aenigmastropheus__wmmcmm_z_trans,0.0791857389970117,-0.03554440048730964,0.06899371172400497,NA,NA,NA
Aenigmastropheus__wetmon_z_trans,0.05413064763325047,-0.003034619164236541,0.016803907418898586,NA,NA,NA
Aenigmastropheus__drymon_z_trans,-0.09409789599495792,-0.02102547192274327,0.04678715710186299,NA,NA,NA
Aenigmastropheus__wetdry_z_trans,-0.09736282866619382,-0.011927696463480787,0.01398611309528054,NA,NA,NA
Aenigmastropheus__time,0.03451593368008632,-0.003573218883373018,0.01546961609857522,NA,NA,NA
Ammorhynchus__lat_range_z_trans,-0.050159751616884025,-0.004396630642025777,0.009282551296159404,0.2748034345090855,0.041385138407349586,0.3974413722753525
Ammorhynchus__Temperate_N,0.4308811918925494,0.0024406083796626728,0.049933392777060374,NA,NA,NA
Ammorhynchus__Tropical,-0.775166835699929,-0.04139984953547722,0.013349448794227803,NA,NA,NA
Ammorhynchus__Temperate_S,0.5154727845452726,0.0027557301957423456,0.06049041017706475,NA,NA,NA
Ammorhynchus__Antarctic,0.11046529886312782,0.00047289031824592306,0.011854340825887393,NA,NA,NA
Ammorhynchus__mat_z_trans,-0.07644497052300721,-0.01669883129826385,0.032792088848608646,NA,NA,NA
Ammorhynchus__map_z_trans,0.5016851471457631,-0.006086432700502081,0.06848079926054572,NA,NA,NA
Ammorhynchus__wmm_z_trans,-0.008002936977427454,-0.009641674332120228,0.018539546203629645,NA,NA,NA
Ammorhynchus__cmm_z_trans,-0.2633290392544586,-0.024755903215010155,0.031656166328030456,NA,NA,NA
Ammorhynchus__wmmcmm_z_trans,-0.15459412183030508,-0.025654102280278725,0.046509751568782086,NA,NA,NA
Ammorhynchus__wetmon_z_trans,-0.25384829942137005,-0.023993639194219634,0.027087503044961256,NA,NA,NA
Ammorhynchus__drymon_z_trans,0.12957574548199774,-0.003772051856674577,0.026238886236975265,NA,NA,NA
Ammorhynchus__wetdry_z_trans,-0.33722853286191823,-0.02602082846355206,0.018202459933592933,NA,NA,NA
Ammorhynchus__time,0.10024841023609042,-0.0006219793910295689,0.011989962090872565,NA,NA,NA
Amotosaurus__lat_range_z_trans,-0.4989302560687065,-0.02744796141842482,-0.013399304804222252,0.33805709218402624,0.002167029306292534,1.5470679178833961
Amotosaurus__Temperate_N,-0.1587325606145896,-0.011398014534956261,0.011165940008023041,NA,NA,NA
Amotosaurus__Tropical,-0.21942139356804546,-0.014493548957116712,0.015445141915212327,NA,NA,NA
Amotosaurus__Temperate_S,0.3561559820175171,0.00012533157131098779,0.046717194860442984,NA,NA,NA
Amotosaurus__Antarctic,0.07105713787022978,-2.0265536604004856e-05,0.009039306351324317,NA,NA,NA
Amotosaurus__mat_z_trans,0.05288596917875111,-0.016989474013458777,0.03831226655500868,NA,NA,NA
Amotosaurus__map_z_trans,0.20809754956979304,-0.008264398088543823,0.06637267577227167,NA,NA,NA
Amotosaurus__wmm_z_trans,0.059217802365892566,-0.011745778332478593,0.03323036661778494,NA,NA,NA
Amotosaurus__cmm_z_trans,-0.05816809896146879,-0.01599652014295036,0.0336331002540837,NA,NA,NA
Amotosaurus__wmmcmm_z_trans,0.025522908278508113,-0.014872314959734918,0.0353080651894111,NA,NA,NA
Amotosaurus__wetmon_z_trans,-0.010734681424219161,-0.02287021274942178,0.035527496814506745,NA,NA,NA
