feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-23.767021414815602,-40.0,-8.06504452830479,0.280487914532423,0.18297986686229706,0.3887470066547394,-506.4625266586008,-751.6521844551378,-289.3737559669355,8.0
Temperate_N,none,0_1,none,0.88,-6.882116313437843,-40.0,1.6112148511759736,0.40978263080120086,0.11410880833864212,0.7770868539810181,-398.0990067941651,-794.4453314254497,-64.41093308868653,2.0
Tropical,none,0_1,none,0.83,-2.7495131870901743,-29.93488886323544,4.480453935907702,0.07110214553773403,0.03131077066063881,0.11150813847780228,-33.359982312182865,-82.72135544666367,1.4637638829399293,11.0
Temperate_S,none,0_1,none,0.77,-3.3570373006007195,-28.441092160245578,10.398648624061911,0.4835803771018982,0.11306841671466827,0.9139246344566345,-565.4227692251168,-1098.1117796128744,-100.46217717582658,1.0
Antarctic,none,0_1,none,0.55,1.1567988324047684,-9.700452086728308,7.666406709614703,0.061077807806432245,0.037526700645685196,0.09362456202507019,-39.850888978561635,-118.74125037517638,4.042975332570904,12.0
mat_z_trans,none,none,none,0.75,-2.9663298191840974,-40.0,6.746057078334932,0.3391487092524767,0.05671977251768112,0.737295925617218,-797.9835988078784,-2096.304235153393,-60.063009692299715,3.0
map_z_trans,none,none,none,0.65,-3.1379399101840635,-40.0,19.28059219999931,0.24416642185300588,0.04808362200856209,0.49510759115219116,-601.7227786559791,-1611.8680152855463,-41.52621279761172,8.0
wmm_z_trans,none,none,none,0.92,-15.188105256045642,-40.0,1.3963135190763702,0.32813532903790477,0.05578559637069702,0.7136386036872864,-541.6830118429386,-1264.2134313498107,-47.99935780775377,7.0
cmm_z_trans,none,none,none,0.57,-1.4941960613300571,-40.0,6.82446172267871,0.34950356766581536,0.07961483299732208,0.7495830655097961,-833.0908820148451,-2553.9972441336104,-53.79381054688099,6.0
wmmcmm_z_trans,none,none,none,0.72,-2.937353092285119,-40.0,11.44340389466953,0.40333113878965376,0.07226034998893738,0.7537578344345093,-615.3477806230259,-1683.7270372961962,-34.86988990076907,4.0
wetmon_z_trans,none,none,none,0.58,-1.2852196358180668,-24.362952317073646,40.0,0.3596251782774925,0.07468274235725403,0.7157679200172424,-654.6871579208101,-1700.6771821830594,-42.25427759528395,5.0
drymon_z_trans,none,none,none,0.68,-2.211668954316618,-40.0,20.328473741337994,0.22288807485252618,0.0401100218296051,0.4732172191143036,-398.31765930149993,-1407.9916722765904,-5.668186940883174,10.0
wetdry_z_trans,none,none,none,0.5,0.005550346682184237,-17.22070762853957,8.860042892824966,0.3423495301604271,0.06867648661136627,0.6727637648582458,-562.8647661511181,-1513.2709325880894,-25.65518748498448,9.0
time,none,none,none,0.86,-2.007292671237762,-7.506027646280099,2.547863403339691,0.10677231512963772,0.04145820066332817,0.23646610975265503,-428.5017503315964,-1290.756205347102,-5.178277083437365,10.0
