feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2555718459188938,0.11541685461997986,0.3552718460559845,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.3147583600818727,0.010324864862951968,0.04977412149161233,0.6299581356463022,0.34493009001016617,1.0490600243210793
Acerosodontosaurus__Temperate_N,0.4459505482581386,0.004905318684444514,0.0930687481615543,NA,NA,NA
Acerosodontosaurus__Tropical,0.24403805530851633,-0.003529714438520779,0.05597683431350551,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.5354174904720931,-0.053755665537584214,0.03100433444630017,NA,NA,NA
Acerosodontosaurus__Antarctic,0.08209298191837558,0.0011521345638802179,0.014095815023914675,NA,NA,NA
Acerosodontosaurus__mean_z_trans,-0.12984836092178,-0.03133289353166078,0.0493014388121911,NA,NA,NA
Acerosodontosaurus__Mod_R_deltaTMyr_z_trans,-0.1426836818399709,-0.03368635859198558,0.04520581739912683,NA,NA,NA
Acerosodontosaurus__time,-0.02331856641416535,-0.009494540631505208,0.016844736407779604,NA,NA,NA
Acrodenta__lat_range_z_trans,0.05397625066047111,0.02319978801675349,0.039348688748293795,2.40584882611176,0.9507391899824142,4.294833980500698
Acrodenta__Temperate_N,0.07955624606402936,0.01599380896240956,0.080168072426284,NA,NA,NA
Acrodenta__Tropical,-0.019051688458573194,-0.08219675405958542,0.02680796479292939,NA,NA,NA
Acrodenta__Temperate_S,0.060456169359866176,0.005382586974596963,0.05911617297761049,NA,NA,NA
Acrodenta__Antarctic,0.00674719233110111,0.000522098564422359,0.005732199932830277,NA,NA,NA
Acrodenta__mean_z_trans,0.026938017535827034,-0.03938178500926725,0.06239093921205468,NA,NA,NA
Acrodenta__Mod_R_deltaTMyr_z_trans,0.05243507969013174,-0.020530426810493912,0.0733152127423358,NA,NA,NA
Acrodenta__time,-0.005485421263959545,-0.018406171258815652,0.008392595223646096,NA,NA,NA
Adelosaurus__lat_range_z_trans,0.3094391730427742,0.007532760142673722,0.05638254239004845,0.4688025261271105,0.1467486792244017,0.8947363905608654
Adelosaurus__Temperate_N,-0.5258060719072819,-0.047306837344265454,-0.008495992469212635,NA,NA,NA
Adelosaurus__Tropical,0.27563221648335456,0.00132723362402781,0.07150164573027323,NA,NA,NA
Adelosaurus__Temperate_S,0.37550065568182617,0.0032600464130724373,0.09893156591194707,NA,NA,NA
Adelosaurus__Antarctic,0.08608070680405945,0.001843657324315438,0.018326046403467796,NA,NA,NA
Adelosaurus__mean_z_trans,-0.2533184745127801,-0.040216026895175935,0.029138613774911688,NA,NA,NA
Adelosaurus__Mod_R_deltaTMyr_z_trans,-0.11562817418482155,-0.035326345759717714,0.07005784782664742,NA,NA,NA
Adelosaurus__time,-0.03254496485853451,-0.006531342124910156,0.019429576487901473,NA,NA,NA
Aenigmasaurus__lat_range_z_trans,0.05226612228529151,0.12786618626884053,0.0463229106453722,3.2411191260402847,1.7517366483807564,5.030993338674307
Aenigmasaurus__Temperate_N,0.06982746490123606,0.06633973536298597,0.08865830884382644,NA,NA,NA
Aenigmasaurus__Tropical,0.04347246130604245,-0.019750514279278354,0.05225763596209998,NA,NA,NA
Aenigmasaurus__Temperate_S,-0.046026056314589475,-0.40370099230638345,0.013293488402079202,NA,NA,NA
Aenigmasaurus__Antarctic,0.005857615670382838,0.00995993928436879,0.005351660489589446,NA,NA,NA
Aenigmasaurus__mean_z_trans,0.0828555011107526,0.15612524904883848,0.09068013381332381,NA,NA,NA
Aenigmasaurus__Mod_R_deltaTMyr_z_trans,0.0417394349906506,-0.05811757568496194,0.05123099245669438,NA,NA,NA
Aenigmasaurus__time,0.005579301969127217,0.005861117685610077,0.007476715442999052,NA,NA,NA
Aenigmastropheus__lat_range_z_trans,0.3140517441010406,0.010324864862951968,0.04977412149161233,0.6306496685906313,0.34493009001016617,1.0490600243210793
Aenigmastropheus__Temperate_N,0.44487690110240274,0.004905318684444514,0.0930687481615543,NA,NA,NA
Aenigmastropheus__Tropical,0.2434439171632681,-0.003529714438520779,0.05597683431350551,NA,NA,NA
Aenigmastropheus__Temperate_S,-0.5342552931607129,-0.053755665537584214,0.03100433444630017,NA,NA,NA
Aenigmastropheus__Antarctic,0.08188063662743127,0.0011521345638802179,0.014095815023914675,NA,NA,NA
Aenigmastropheus__mean_z_trans,-0.1295237403480533,-0.03133289353166078,0.0493014388121911,NA,NA,NA
Aenigmastropheus__Mod_R_deltaTMyr_z_trans,-0.14226770465462282,-0.03368635859198558,0.04520581739912683,NA,NA,NA
Aenigmastropheus__time,-0.022634614911859925,-0.009494540631505208,0.016844736407779604,NA,NA,NA
Agkistrognathus__lat_range_z_trans,0.07319860149678342,0.03044866405096499,0.05072958783548843,2.1385759543994207,1.3638890758156776,3.267261266708374
Agkistrognathus__Temperate_N,-0.08591666160196154,-0.13531870246327657,0.007389649450601714,NA,NA,NA
Agkistrognathus__Tropical,0.03863176483710861,-0.010974972340843195,0.05409741148665485,NA,NA,NA
Agkistrognathus__Temperate_S,0.07030531352784586,0.007017841410593311,0.06661066110452611,NA,NA,NA
Agkistrognathus__Antarctic,0.011566511008184004,0.00467014602430348,0.009244643740451976,NA,NA,NA
Agkistrognathus__mean_z_trans,0.10943067208435345,0.012339313508594447,0.09709167520816125,NA,NA,NA
Agkistrognathus__Mod_R_deltaTMyr_z_trans,0.028603898570771613,-0.023668995974289692,0.061256421295774174,NA,NA,NA
Agkistrognathus__time,0.009751745995808369,6.985116397335331e-05,0.00885179593432597,NA,NA,NA
Ammorhynchus__lat_range_z_trans,-0.0011769723945636113,-0.01421207430526867,0.018978038175487804,1.8734937905869447,0.04575352743268013,3.524992972612381
Ammorhynchus__Temperate_N,0.07888940345550136,-0.008105205539850701,0.07854821526391897,NA,NA,NA
Ammorhynchus__Tropical,-0.08583202029837579,-0.06061013799103101,0.032772696300358416,NA,NA,NA
Ammorhynchus__Temperate_S,0.08331411440331085,0.004181906463178574,0.062176601142125414,NA,NA,NA
Ammorhynchus__Antarctic,0.013849266823727497,0.0012653586304213354,0.00831539081017029,NA,NA,NA
Ammorhynchus__mean_z_trans,0.10030983799550516,-0.02331399746394871,0.0861972685389198,NA,NA,NA
Ammorhynchus__Mod_R_deltaTMyr_z_trans,0.05238166331987696,-0.015390409828320066,0.05619370127505599,NA,NA,NA
Ammorhynchus__time,0.013836552613911349,0.0007677054148393964,0.012089934549947789,NA,NA,NA
Amotosaurus__lat_range_z_trans,-0.1659613253259786,-0.07705711706856479,-0.02468777847893227,1.2425426260911627,0.011607140302658081,2.521177377551794
Amotosaurus__Temperate_N,-0.01090529261211149,-0.03107139499777183,0.03417731591809948,NA,NA,NA
Amotosaurus__Tropical,0.036712064605862085,-0.024425179890195357,0.07325457931378791,NA,NA,NA
Amotosaurus__Temperate_S,0.10485444266890664,0.008032289604861449,0.056288468437311015,NA,NA,NA
Amotosaurus__Antarctic,0.01952854494099742,0.0024515989055176914,0.0101367908250941,NA,NA,NA
Amotosaurus__mean_z_trans,0.15938677536686358,0.007568605574401977,0.13176274318085257,NA,NA,NA
Amotosaurus__Mod_R_deltaTMyr_z_trans,0.0941182364344319,-0.0023141263859113264,0.06476579847404036,NA,NA,NA
Amotosaurus__time,0.01783839983992232,0.0013984696376823278,0.009573928385731302,NA,NA,NA
