feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.14006175711750984,0.09001350402832031,0.20718851685523987,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.26165242239832875,0.005458620926867815,0.02784221672476377,0.2915784200752387,0.13985059829428792,0.5266670808196068
Abyssomedon__Temperate_N,0.191710627975408,-0.004923188325581864,0.03484316168066306,NA,NA,NA
Abyssomedon__Tropical,-0.2487166974809952,-0.028414802774447103,0.02021945415917928,NA,NA,NA
Abyssomedon__Temperate_S,0.18138255994592328,-0.00170383234778201,0.032284971138255104,NA,NA,NA
Abyssomedon__Antarctic,0.06485736284404993,0.001137267069643705,0.0068767536663223265,NA,NA,NA
Abyssomedon__mean_z_trans,0.17842649859376253,-0.014564955092926104,0.05736922737952376,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_z_trans,-0.09827915425179526,-0.011089135396626329,0.009860069632587102,NA,NA,NA
Abyssomedon__time,-0.44772357936948537,-0.03591347808746843,0.01789266247394546,NA,NA,NA
Acadiella__lat_range_z_trans,0.20816431952994138,0.009518903566264367,0.034425037154864606,0.4025779008329846,0.20777822588570416,0.6624075435101986
Acadiella__Temperate_N,0.16431759402170718,-0.002564253232345781,0.0524018852240767,NA,NA,NA
Acadiella__Tropical,-0.21315535407894226,-0.048254756814815,0.03583156892748145,NA,NA,NA
Acadiella__Temperate_S,0.14925835934206452,-0.005138652642261034,0.05152770342300087,NA,NA,NA
Acadiella__Antarctic,0.04552063876717406,0.0019014206761512615,0.007437019251434715,NA,NA,NA
Acadiella__mean_z_trans,-0.019400262030572414,-0.010891083211197222,0.011128280744947582,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_z_trans,-0.07461597403340715,-0.01691041711090452,0.012831106688207259,NA,NA,NA
Acadiella__time,-0.12002756440045553,-0.017674665259212387,0.00160591544122671,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.07619441900912893,0.0075358557223483055,0.02451020698029914,0.7872587046818807,0.21545350924134254,2.3760910211130977
Acaenasuchus__Temperate_N,0.04942690165082214,-0.00597987223900324,0.030978616277694545,NA,NA,NA
Acaenasuchus__Tropical,-0.040874967941052706,-0.03029682229925615,0.03370275571685376,NA,NA,NA
Acaenasuchus__Temperate_S,0.04262960091967252,-0.005650274021056952,0.02690677169494808,NA,NA,NA
Acaenasuchus__Antarctic,0.01469135738171809,0.001261791485918808,0.004645428919012478,NA,NA,NA
Acaenasuchus__mean_z_trans,-0.009651121323167863,-0.01660412612980708,0.01515330040013839,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_z_trans,-0.09880400685822127,-0.031226295873556888,-0.00399422156834013,NA,NA,NA
Acaenasuchus__time,0.10644957427860997,-0.009053760673907122,0.0752856584346336,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.23080418437108266,0.006765367334674588,0.033145698693802385,0.3796066027961206,0.08039659634232521,0.6144305020570755
Acallosuchus__Temperate_N,0.15719715593124925,-0.0072456505905771846,0.03995178104601915,NA,NA,NA
Acallosuchus__Tropical,-0.15895879432280188,-0.02790858062170575,0.04497272660753532,NA,NA,NA
Acallosuchus__Temperate_S,0.1460530089681418,-0.0053673414375760556,0.03666483172044533,NA,NA,NA
Acallosuchus__Antarctic,0.052342935192890246,0.0012014863502175348,0.007435130761288038,NA,NA,NA
Acallosuchus__mean_z_trans,-0.051088108469353806,-0.01601927867013892,0.014423353402157923,NA,NA,NA
Acallosuchus__Mod_R_deltaTMyr_z_trans,-0.3629692681074545,-0.03076571078946863,-0.014068411728615842,NA,NA,NA
