feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.19049549147486686,0.11279743164777756,0.23155149817466736,NA,NA,NA
Abajudon__lat_range_z_trans,0.15612751697057814,0.009078694060604225,0.03448617602913201,0.6081974511378212,0.2721970845013857,1.1071552522480488
Abajudon__Temperate_N,0.13759159987394975,-0.007507689423601086,0.04976328995983244,NA,NA,NA
Abajudon__Tropical,0.05974924593935386,-0.0022708349183408597,0.02632661872223314,NA,NA,NA
Abajudon__Temperate_S,-0.24717509261963602,-0.0504815545986127,0.016777087000276004,NA,NA,NA
Abajudon__Antarctic,0.0238544346433747,-0.0004447497382698461,0.008004919577355694,NA,NA,NA
Abajudon__mean_z_trans,0.06436103974934254,-0.02226163289767861,0.04717960630253657,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_z_trans,0.01950731974550099,-0.021756580512076545,0.03911484608037751,NA,NA,NA
Abajudon__time,-0.02352057282759712,-0.01715308361980213,0.009898954502924006,NA,NA,NA
Abdalodon__lat_range_z_trans,0.08627259179525844,0.01690160661073589,0.03526104775667608,0.952447577889834,0.7294525145553052,1.2312569990754128
Abdalodon__Temperate_N,0.054563783870763785,-0.018059496506424275,0.04251178321739011,NA,NA,NA
Abdalodon__Tropical,0.034118468377567504,-0.0018330865887665013,0.024673966221925407,NA,NA,NA
Abdalodon__Temperate_S,-0.10536993816736648,-0.06617942010599409,0.01742934048395476,NA,NA,NA
Abdalodon__Antarctic,0.010516562689544599,-0.000678048526971758,0.007774597141094172,NA,NA,NA
Abdalodon__mean_z_trans,0.09479946538365427,-0.0035812962891617977,0.06436890087070342,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_z_trans,0.011871754647584127,-0.025757647345347988,0.027272094047991614,NA,NA,NA
Abdalodon__time,0.00372280287786062,-0.013610042895847035,0.012259768434931803,NA,NA,NA
Acratophorus__lat_range_z_trans,0.2516872858256102,0.007784757242610229,0.0372062477312451,0.29829684897084463,0.04629887640476227,0.47970179468393326
Acratophorus__Temperate_N,0.2331889463297557,-0.003918113042505835,0.05717159350620234,NA,NA,NA
Acratophorus__Tropical,0.12967534643452383,-0.00022132267460807102,0.027964614090290038,NA,NA,NA
Acratophorus__Temperate_S,-0.500782552100718,-0.050456595534860156,0.005655056538097701,NA,NA,NA
Acratophorus__Antarctic,0.04435479532228783,-0.0008772450882901467,0.009494430221800965,NA,NA,NA
Acratophorus__mean_z_trans,-0.3123821556568146,-0.040474968999972744,0.00894947687519541,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_z_trans,0.0013273895603788332,-0.015397308860374156,0.030695337824386524,NA,NA,NA
Acratophorus__time,0.20015474484302104,-0.009236634689776679,0.05441474138744927,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.11573425120051697,0.005041390531413766,0.02372408661582663,0.7458448305877391,0.06590101914480329,1.4618849344551563
Adelobasileus__Temperate_N,0.09841449297509584,-0.00018260308086297619,0.03350068505191082,NA,NA,NA
Adelobasileus__Tropical,-0.1987852707435667,-0.051684262096302266,0.0251935630488462,NA,NA,NA
Adelobasileus__Temperate_S,0.266507634236503,-0.0005617561083436893,0.06652135105753836,NA,NA,NA
Adelobasileus__Antarctic,0.01609047899468156,-0.0001570749407959046,0.0046790050476891954,NA,NA,NA
Adelobasileus__mean_z_trans,-0.0945927269824387,-0.026114662839245597,0.01822861821905294,NA,NA,NA
Adelobasileus__Mod_R_deltaTMyr_z_trans,-0.1513739775443079,-0.031652995856728205,0.015341065561559822,NA,NA,NA
Adelobasileus__time,0.13850060933838276,-0.007485467256912681,0.04436312357224339,NA,NA,NA
Aelurognathus__lat_range_z_trans,-0.5794306264235638,-0.06619722031810939,-0.025869241636301415,0.3023704560738406,0.02736090123653412,0.8843086957931519
Aelurognathus__Temperate_N,0.1850459639565088,0.0011166295919316609,0.046285748174362144,NA,NA,NA
Aelurognathus__Tropical,0.08466349253780209,7.23037461621353e-05,0.017180731757929224,NA,NA,NA
Aelurognathus__Temperate_S,-0.2039159144088626,-0.02935787313587733,0.00888998895539364,NA,NA,NA
Aelurognathus__Antarctic,0.04614527345634997,0.0012080545888336562,0.007881203724460684,NA,NA,NA
Aelurognathus__mean_z_trans,0.1506901546753943,-0.012511433423960681,0.06037872332786603,NA,NA,NA
Aelurognathus__Mod_R_deltaTMyr_z_trans,0.32656425062508787,-0.007113564938251228,0.10551332623322542,NA,NA,NA
Aelurognathus__time,0.057162853125773835,-1.4327758506385378e-05,0.011291017637731632,NA,NA,NA
Aelurosaurus__lat_range_z_trans,-0.4035282315313816,-0.028737236476661748,-0.022552027614984694,0.17292810832848773,0.04902572184801102,0.4796425364911556
Aelurosaurus__Temperate_N,0.18225333454320208,-0.008434001177971022,0.04695275615379648,NA,NA,NA
Aelurosaurus__Tropical,0.10346166780218483,-0.0019879807059731435,0.02362704421292436,NA,NA,NA
Aelurosaurus__Temperate_S,-0.41705402435269207,-0.04197519361674582,0.015536071135415074,NA,NA,NA
Aelurosaurus__Antarctic,0.044427685105474665,-0.0006223303618767959,0.00938218828941935,NA,NA,NA
Aelurosaurus__mean_z_trans,0.17652017077431081,-0.01675251005307553,0.050297284580701894,NA,NA,NA
Aelurosaurus__Mod_R_deltaTMyr_z_trans,0.19585749501711688,-0.009969163107783544,0.09716569867574049,NA,NA,NA
Aelurosaurus__time,0.043520173751749096,-0.004319016147689951,0.011142482741654424,NA,NA,NA
Aelurosuchus__lat_range_z_trans,0.10989872148910972,0.013799396406011334,0.03726399434726181,0.7635982701550529,0.3155357986688614,1.2087940573692322
Aelurosuchus__Temperate_N,0.1315476987749583,0.002022645640096056,0.0612323654270536,NA,NA,NA
Aelurosuchus__Tropical,0.05547645911293658,0.0010142635590311086,0.02863234400324282,NA,NA,NA
Aelurosuchus__Temperate_S,-0.22090270330441292,-0.08161004487277794,0.0008017999512576635,NA,NA,NA
Aelurosuchus__Antarctic,0.017630125108978902,-0.002000286654542697,0.008119646397198269,NA,NA,NA
Aelurosuchus__mean_z_trans,-0.02146874514550811,-0.036716226274918884,0.030898120326064153,NA,NA,NA
Aelurosuchus__Mod_R_deltaTMyr_z_trans,0.0749309727205737,-0.007467830700339682,0.040930561065541195,NA,NA,NA
Aelurosuchus__time,0.043382962718230694,-0.0018393487503368636,0.023672666657047852,NA,NA,NA
Agudotherium__lat_range_z_trans,0.252098328769207,0.008651889667506968,0.03640352739540728,0.3152550722532624,0.15253237076103687,0.5579225607216358
Agudotherium__Temperate_N,0.2376602769398596,-0.003958688847885066,0.05913246431244554,NA,NA,NA
Agudotherium__Tropical,0.1301477395161055,0.0004769514632717944,0.031207884640035384,NA,NA,NA
Agudotherium__Temperate_S,-0.502923201918602,-0.056667969831345574,-0.001732267619800718,NA,NA,NA
Agudotherium__Antarctic,0.044868284303229304,-0.0008863297996259847,0.009943497030587188,NA,NA,NA
Agudotherium__mean_z_trans,-0.31247774325311184,-0.04139192544688093,0.0074607834172886545,NA,NA,NA
Agudotherium__Mod_R_deltaTMyr_z_trans,0.016483773288987324,-0.01205795421756734,0.03214716348210331,NA,NA,NA
Agudotherium__time,0.1987072289083153,-0.006963404635251419,0.05698844551660072,NA,NA,NA
Akidnognathus__lat_range_z_trans,-0.39571388363838195,-0.028866168159829786,-0.018388425565639698,0.18209605919197203,0.04902572184801102,0.46271493285894394
Akidnognathus__Temperate_N,0.1926268716691993,-0.006722763299470294,0.049192677032873416,NA,NA,NA
Akidnognathus__Tropical,0.10826174516230821,0.0008872761482982122,0.023210161257680658,NA,NA,NA
Akidnognathus__Temperate_S,-0.4007243426237255,-0.05132288239045356,0.0088338161593215,NA,NA,NA
Akidnognathus__Antarctic,0.04374346349271946,-0.0010850577679244473,0.008377254763734476,NA,NA,NA
Akidnognathus__mean_z_trans,0.16774111846461892,-0.015579937987510502,0.048281254558399885,NA,NA,NA
Akidnognathus__Mod_R_deltaTMyr_z_trans,0.17511638995609247,-0.006905548013390658,0.10085032295760524,NA,NA,NA
Akidnognathus__time,0.04399208283983171,-0.0032023501774965228,0.011194437010691892,NA,NA,NA
Aleodon__lat_range_z_trans,-0.2730450337380171,-0.0221835784447367,-0.019645154820162273,0.0902685121144168,0.03952786326408386,0.1609988370910287
Aleodon__Temperate_N,0.23643294176086782,-0.0036375002877200723,0.0692644250511681,NA,NA,NA
Aleodon__Tropical,0.1122167498897761,0.0002762308324393122,0.0321620736449612,NA,NA,NA
Aleodon__Temperate_S,-0.4283357738610357,-0.056112945165896995,0.007255689219096349,NA,NA,NA
Aleodon__Antarctic,0.04527280374895781,-0.00016086021354962474,0.015314526007109227,NA,NA,NA
Aleodon__mean_z_trans,-0.07394860423577483,-0.02096297686034718,0.021067818836226274,NA,NA,NA
Aleodon__Mod_R_deltaTMyr_z_trans,0.06727814635494724,-0.008554392990699912,0.05305820519817417,NA,NA,NA
Aleodon__time,0.1571860476065194,-0.0014614085172663847,0.053073915038094326,NA,NA,NA
Alepognathus__lat_range_z_trans,0.275645015932204,0.010421408706737644,0.032335284016704706,0.4413299623696366,0.2721970845013857,0.5973821673542261
Alepognathus__Temperate_N,0.28284899018984433,-0.003020200990396019,0.05689794644385748,NA,NA,NA
