feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13031820340082048,0.05896300449967384,0.17929068207740784,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.2481263643503189,0.0036267190867390496,0.024472726826373314,0.27910966774448753,0.103113804012537,0.42791336961090565
Abyssomedon__Temperate_N,0.39776002380996944,0.0009737521114261397,0.04925478375681964,NA,NA,NA
Abyssomedon__Tropical,-0.5574814527109265,-0.028591171048210864,-0.0012010027577004907,NA,NA,NA
Abyssomedon__Temperate_S,0.340250621214509,0.001428127359473448,0.040722696622441705,NA,NA,NA
Abyssomedon__Antarctic,0.06156348418444395,0.0007507678911527534,0.006719236672083553,NA,NA,NA
Abyssomedon__mean_pt_1myr_z_trans,-0.19728462785482406,-0.013389706400754054,0.010390431591231993,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.02032533707562834,-0.006826742311893368,0.020513018057879147,NA,NA,NA
Abyssomedon__time,-0.19089489040430635,-0.016934751187606945,0.02841879130827899,NA,NA,NA
Acadiella__lat_range_z_trans,0.20691580461529696,0.005364898449027132,0.02681701627834919,0.3804546620999463,0.1380538921803236,0.5465127527713776
Acadiella__Temperate_N,0.29482774158583036,0.0017872466082293965,0.06020550191153582,NA,NA,NA
Acadiella__Tropical,-0.4483268898620186,-0.03615055367070937,0.007522742155242104,NA,NA,NA
Acadiella__Temperate_S,0.25250096934514055,0.0008627965810053445,0.047103467254244476,NA,NA,NA
Acadiella__Antarctic,0.046955182036245845,0.0010006255556436856,0.007201398182731398,NA,NA,NA
Acadiella__mean_pt_1myr_z_trans,-0.05805923708496526,-0.011090804564045409,0.01707647869201039,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.04325168681465075,-0.010727267123839685,0.01251856965060813,NA,NA,NA
Acadiella__time,-0.12124368042005866,-0.010009946334984934,0.0008455079526863372,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.060279187653709175,0.005342989098359226,0.019413387662968892,0.8804078828129422,0.09203467331826687,2.8647373002022505
Acaenasuchus__Temperate_N,0.090214493994886,0.0030394253011541113,0.04163327825191929,NA,NA,NA
Acaenasuchus__Tropical,-0.13543305135829242,-0.039351985145861,2.8222347265595635e-05,NA,NA,NA
Acaenasuchus__Temperate_S,0.07260605719987814,0.0005173123577917883,0.0304706678564419,NA,NA,NA
Acaenasuchus__Antarctic,0.011850995561379517,0.0009290278626930731,0.00432053110382169,NA,NA,NA
Acaenasuchus__mean_pt_1myr_z_trans,0.0050462959601171205,-0.006013846960189097,0.017857733466024032,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.018301174880971213,-0.01779491079102214,0.02645078284722887,NA,NA,NA
Acaenasuchus__time,0.044055399270114155,-0.005631016222599802,0.03911607854173757,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.16197970068164422,0.005339358785682513,0.023348391642514704,0.43375830307668367,0.0862285066395998,1.6881053932011127
Acallosuchus__Temperate_N,0.2436238983075755,0.002918160571271499,0.04987839311335318,NA,NA,NA
Acallosuchus__Tropical,-0.3977342470665925,-0.0360112669275236,-0.001066985037723164,NA,NA,NA
Acallosuchus__Temperate_S,0.21439600476633383,0.0030602810883335664,0.04205738808752387,NA,NA,NA
Acallosuchus__Antarctic,0.03715125086806637,0.0008372603309671154,0.006305147342847597,NA,NA,NA
Acallosuchus__mean_pt_1myr_z_trans,-0.011002540356290733,-0.007722578631234309,0.017790583800685777,NA,NA,NA
Acallosuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.15125030548440915,-0.018972906059834236,0.012695030051024566,NA,NA,NA
Acallosuchus__time,0.03315444168449291,-0.008411313657336392,0.028282733077181307,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.06876005518141215,0.006637101428123514,0.02586808821041942,0.7038515454495792,0.30264048278331757,1.3207089388743043
