feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13610306054353713,0.06616741418838501,0.19157572090625763,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.18110435646007758,0.0025165620976751258,0.019879733700308277,0.4135142611444462,0.1694534346461296,1.1027336120605469
Abyssomedon__Temperate_N,0.48256336256649407,0.006083198050715375,0.06782481527482527,NA,NA,NA
Abyssomedon__Tropical,-0.8445380454952632,-0.041224133095867775,-0.021423727179714778,NA,NA,NA
Abyssomedon__Temperate_S,0.4401111964261104,0.0066110787745285735,0.05510430728294405,NA,NA,NA
Abyssomedon__Antarctic,0.05915909683853919,0.0006692660353870175,0.006718991154677624,NA,NA,NA
Abyssomedon__mean_pt_1myr_z_trans,-0.20958789628935517,-0.0185591963076372,0.010889381586587275,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.11959330613594488,-0.01445161990822905,0.018075561537444804,NA,NA,NA
Abyssomedon__time,0.14688429617287918,-0.007812569834957072,0.0345066575491851,NA,NA,NA
Acadiella__lat_range_z_trans,0.07372942418559685,0.003553300946572385,0.02295609601886266,0.6464233268494718,0.2143920734524727,1.0591076500713825
Acadiella__Temperate_N,0.21006129108773328,0.0057504801338061455,0.07041723067749221,NA,NA,NA
Acadiella__Tropical,-0.31688117813183364,-0.05878647362206067,-0.012373217754125606,NA,NA,NA
Acadiella__Temperate_S,0.18460708815929905,0.008720556912946608,0.059804653348268,NA,NA,NA
Acadiella__Antarctic,0.02093973266864508,0.0011803259152357692,0.00577295250470732,NA,NA,NA
Acadiella__mean_pt_1myr_z_trans,-0.05688254112878601,-0.0143546822541187,0.013673760335242814,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_pt_1myr_z_trans,0.0029084902175457164,-0.010918614990427681,0.0222747560038696,NA,NA,NA
Acadiella__time,0.017620753485336857,-0.001312307230338872,0.009049489771940634,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.163386711429732,0.003471327638858603,0.0228961205011472,0.4098581955418922,0.12591859325766563,0.7674393951892853
Acaenasuchus__Temperate_N,0.4577672552625603,0.00795046581604226,0.07631528067480615,NA,NA,NA
Acaenasuchus__Tropical,-0.7923577091553642,-0.05810338469168431,-0.013434284816057292,NA,NA,NA
Acaenasuchus__Temperate_S,0.415364460652889,0.008178537245296791,0.06409426887569461,NA,NA,NA
Acaenasuchus__Antarctic,0.0518222777722931,0.0013438665626031691,0.008049087228499195,NA,NA,NA
Acaenasuchus__mean_pt_1myr_z_trans,-0.12950102610166467,-0.013425776037258901,0.008070001271189056,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.04241563278065395,-0.010211182048541746,0.011908517614055909,NA,NA,NA
Acaenasuchus__time,0.012036723463745545,-0.005371268673700875,0.013676729556922795,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.2393595691025257,0.003745159518457867,0.024535998605102353,0.2878450618172064,0.08743643760681152,0.6663096668198705
Acallosuchus__Temperate_N,0.6624611793458461,0.00568323038959239,0.0801338857649198,NA,NA,NA
Acallosuchus__Tropical,-1.231317718476057,-0.05400638783678264,-0.03286100349935087,NA,NA,NA
Acallosuchus__Temperate_S,0.6183677135407925,0.006758285736717477,0.06749124534353104,NA,NA,NA
Acallosuchus__Antarctic,0.08088457226753235,0.0012603574049230189,0.007690467452765387,NA,NA,NA
Acallosuchus__mean_pt_1myr_z_trans,-0.17639130775351078,-0.01179946349263223,0.006435515734308627,NA,NA,NA
Acallosuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.15134450350888073,-0.011464974963612621,0.009593199239568313,NA,NA,NA
Acallosuchus__time,0.02709675058722496,-0.006343620945048266,0.028556412265412962,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.07975496329169972,0.004803680466801139,0.02714000327294709,0.7391780001028019,0.28571125864982605,1.370488703250885
Acerosodontosaurus__Temperate_N,0.19812661606637283,0.009410078948249946,0.07163720734575586,NA,NA,NA
Acerosodontosaurus__Tropical,0.19044518049204545,0.010647210749230935,0.06824467286269342,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.37456526915214056,-0.06955205764393571,-0.03748004181807189,NA,NA,NA
Acerosodontosaurus__Antarctic,0.020965352064215376,0.001192196798870415,0.007668436426428217,NA,NA,NA
Acerosodontosaurus__mean_pt_1myr_z_trans,-0.00822027715019966,-0.007864665991653719,0.013268578001783937,NA,NA,NA
Acerosodontosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.024007698770451127,-0.016544100012601034,0.013216758900202704,NA,NA,NA
Acerosodontosaurus__time,0.05360419370199512,0.0017402424966530198,0.02788010591451828,NA,NA,NA
Acleistorhinus__lat_range_z_trans,0.17837084812341084,0.003476377881551172,0.021591017701772096,0.400430687785265,0.07715316116809845,0.8219820256344974
Acleistorhinus__Temperate_N,0.47758484691929726,0.007858742252611487,0.06293170665410933,NA,NA,NA
Acleistorhinus__Tropical,-0.9617533403680815,-0.05690316679527786,-0.025651951378860872,NA,NA,NA
Acleistorhinus__Temperate_S,0.4079449660581153,0.0064266948911041255,0.05474692045671732,NA,NA,NA
Acleistorhinus__Antarctic,0.057227865429393385,0.0012430472423261387,0.007802345006690108,NA,NA,NA
