feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.10532505614683033,0.007056119851768017,0.23397913575172424,NA,NA,NA
Gecatogomphius__lat_range_z_trans,0.06434424794494308,0.0003141507146679486,0.047047341733275745,0.34461042686132715,0.048879326321184635,0.6761872619390488
Gecatogomphius__Temperate_N,-0.2225530636069638,-0.008123838478056184,-0.013073561641491298,NA,NA,NA
Gecatogomphius__Tropical,0.16786496687673647,0.0005507676433812826,0.12163002861260871,NA,NA,NA
Gecatogomphius__Temperate_S,0.05310750527808739,-1.645526166752892e-05,0.04679080049186765,NA,NA,NA
Gecatogomphius__Antarctic,0.010640349700244415,5.4813878711500906e-05,0.007896130396084876,NA,NA,NA
Gecatogomphius__time,0.010640350553293926,5.481389377196241e-05,0.007896135367208797,NA,NA,NA
Kahneria__lat_range_z_trans,0.047421719174106834,0.0002738443370820481,0.03620161901790552,0.45256404850166293,0.13016674667596817,0.8462851382791996
Kahneria__Temperate_N,0.1892414797322241,0.0007116833225572564,0.15916258536673447,NA,NA,NA
Kahneria__Tropical,-0.1973720874991979,-0.008361053027184324,-0.014191990623499849,NA,NA,NA
Kahneria__Temperate_S,0.037337866801275724,0.00016877179147143571,0.030776496742660826,NA,NA,NA
Kahneria__Antarctic,0.007174019847814635,3.765841244711372e-05,0.005507606192582183,NA,NA,NA
Kahneria__time,0.007174018394977642,3.765848696422669e-05,0.005507606670176707,NA,NA,NA
Lanthanolania__lat_range_z_trans,0.06434424794494308,0.0003141507146679486,0.047047341733275745,0.34461042686132715,0.048879326321184635,0.6761872619390488
Lanthanolania__Temperate_N,-0.2225530636069638,-0.008123838478056184,-0.013073561641491298,NA,NA,NA
Lanthanolania__Tropical,0.16786496687673647,0.0005507676433812826,0.12163002861260871,NA,NA,NA
Lanthanolania__Temperate_S,0.05310750527808739,-1.645526166752892e-05,0.04679080049186765,NA,NA,NA
Lanthanolania__Antarctic,0.010640349700244415,5.4813878711500906e-05,0.007896130396084876,NA,NA,NA
Lanthanolania__time,0.010640350553293926,5.481389377196241e-05,0.007896135367208797,NA,NA,NA
Tramuntanasaurus__lat_range_z_trans,0.027394548057959683,0.00023378463741097687,0.027620641168735794,0.8210452172299847,0.07716581597924232,1.8272758275270462
Tramuntanasaurus__Temperate_N,0.10277133323740789,0.00046445512788045466,0.11757191570325938,NA,NA,NA
Tramuntanasaurus__Tropical,0.06489451415238537,0.0003217631344490323,0.06410127188612919,NA,NA,NA
Tramuntanasaurus__Temperate_S,-0.10245846112247949,-0.00821679370063396,0.011657798548495258,NA,NA,NA
Tramuntanasaurus__Antarctic,0.0031807802351297544,3.516769352146765e-05,0.0032568742409438303,NA,NA,NA
Tramuntanasaurus__time,0.0031807811161676074,3.516786856107667e-05,0.0032568857222731386,NA,NA,NA
