feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1961120642721653,0.1518000066280365,0.2716546356678009,NA,NA,NA
Abajudon__lat_range_z_trans,0.13552259396268856,0.021025078045906694,0.052527482086563784,0.6207257128582568,0.30247028544545174,1.0817271880805492
Abajudon__Temperate_N,0.18621330941126993,0.007807699781659788,0.0826151077790744,NA,NA,NA
Abajudon__Tropical,0.08704314633679536,0.007837701878592717,0.04432514684858563,NA,NA,NA
Abajudon__Temperate_S,-0.2697721372428034,-0.09617493076367353,-0.016922572059640133,NA,NA,NA
Abajudon__Antarctic,0.020610967670686355,0.000531804260812688,0.01035603066032657,NA,NA,NA
Abajudon__mean_pt_1myr_z_trans,-0.039776590672199096,-0.04802193752230533,0.03395830509777447,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.017790586114791333,-0.03963997536338888,0.034047858008400565,NA,NA,NA
Abajudon__time,0.058480188690936276,-0.005165446945640641,0.030747277246715637,NA,NA,NA
Abdalodon__lat_range_z_trans,0.08485860594842198,0.04612405606606744,0.04956923661001375,0.9184419225156307,0.6708599664270878,1.1751263961195946
Abdalodon__Temperate_N,0.10921216372853891,0.021627275163271457,0.08255551461607721,NA,NA,NA
Abdalodon__Tropical,0.05685943479458061,0.017499023767710738,0.04182884091589015,NA,NA,NA
Abdalodon__Temperate_S,-0.1660414821659705,-0.20604778233808538,-0.016977666461975783,NA,NA,NA
Abdalodon__Antarctic,0.01153824234720166,-0.0003983616562213302,0.01034683628333578,NA,NA,NA
Abdalodon__mean_pt_1myr_z_trans,0.028579163945151455,-0.02791793852437774,0.03957598522070848,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.03933805563604995,-0.010091198242667354,0.04135875523176573,NA,NA,NA
Abdalodon__time,0.03176788003819122,0.0074049191362656665,0.02339713325198558,NA,NA,NA
Acratophorus__lat_range_z_trans,0.21247854188084603,0.011486722089260156,0.04975233463127099,0.2713273288987693,0.10549011081457138,0.4670311510562897
Acratophorus__Temperate_N,0.38714944032020865,0.013787468288861578,0.10591791946352512,NA,NA,NA
Acratophorus__Tropical,0.18322537891566754,0.008073301273230523,0.0529184545262127,NA,NA,NA
Acratophorus__Temperate_S,-0.7006065177917481,-0.09238063232145242,-0.050641302832113204,NA,NA,NA
Acratophorus__Antarctic,0.04523277193075046,-0.00010111933157105276,0.014872848550111561,NA,NA,NA
Acratophorus__mean_pt_1myr_z_trans,0.017549444198375567,-0.028061610797042825,0.0464577843704159,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.0235617671647924,-0.02402907477202661,0.039724811600070985,NA,NA,NA
Acratophorus__time,-0.10362682358012534,-0.040575061057295844,0.012651785358306845,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.12562861318119756,0.011832464315968344,0.033552374983008046,0.7420915452344343,0.02720450982451439,1.9748380929231644
