feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1854707257449627,0.09363316744565964,0.2639104723930359,NA,NA,NA
Abajudon__lat_range_z_trans,0.0358125510222375,0.0015496082378363013,0.030181790582624445,1.6616626052864012,0.37128883227705956,3.178311660885811
Abajudon__Temperate_N,0.10547513705435145,0.01956295352728334,0.07924312166240666,NA,NA,NA
Abajudon__Tropical,0.04784046252760237,0.008711252672617934,0.03657489511292971,NA,NA,NA
Abajudon__Temperate_S,-0.09733678902421625,-0.08130055906774922,-0.005492645625955912,NA,NA,NA
Abajudon__Antarctic,0.006479661576665005,-0.000741274687615196,0.006349356806522471,NA,NA,NA
Abajudon__mean_pt_1myr_z_trans,0.023175842879361617,-0.022582717429003096,0.04598788701700424,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.023057282191248654,-0.023425462301354293,0.03293343940819084,NA,NA,NA
Abajudon__time,0.04096657751771232,0.0045930316023245835,0.03813262742931342,NA,NA,NA
Abdalodon__lat_range_z_trans,0.11718907020561534,0.011236170586635777,0.039861497807288405,0.7447247504187544,0.45976833812892437,1.095111457630992
Abdalodon__Temperate_N,0.27154650920770745,0.015788261438039877,0.10660760167846879,NA,NA,NA
Abdalodon__Tropical,0.13211945345063356,0.009463000260718224,0.052467801691685634,NA,NA,NA
Abdalodon__Temperate_S,-0.3842099161327852,-0.09474050704819177,-0.02406527695342498,NA,NA,NA
Abdalodon__Antarctic,0.017034356088584692,-0.0012537375793698442,0.01042385486217182,NA,NA,NA
Abdalodon__mean_pt_1myr_z_trans,-0.06518759692889277,-0.027892533203140224,0.01613581416364455,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.07352931659297517,-0.00513148365500528,0.044196066216039505,NA,NA,NA
Abdalodon__time,0.023449533261124506,-0.0011023382453464001,0.018283112927162143,NA,NA,NA
Acratophorus__lat_range_z_trans,0.2441641740500927,0.004768986523887812,0.032979890223748975,0.34062382403189984,0.16202541813254356,0.5296041443943977
Acratophorus__Temperate_N,0.5909921466559171,0.009206034156641027,0.08724519405721355,NA,NA,NA
Acratophorus__Tropical,0.2808624316006899,0.004601740972328005,0.042709278670922675,NA,NA,NA
Acratophorus__Temperate_S,-0.8823498959094286,-0.05407998133417574,-0.02749938371684483,NA,NA,NA
Acratophorus__Antarctic,0.05053267837967724,-0.0002971861562383625,0.009879361561956143,NA,NA,NA
Acratophorus__mean_pt_1myr_z_trans,-0.13290069582511932,-0.02209974264109091,0.0474577851236006,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.08204662603791803,-0.01626443509897364,0.05299994658325642,NA,NA,NA
Acratophorus__time,-0.14966762595809996,-0.01946858386803783,0.018138399889182363,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.20780591305555665,0.003918396072971025,0.029160980788382463,0.5795548207405955,0.03725869581103325,1.6450982922688127
Adelobasileus__Temperate_N,0.4358720902294298,0.0034393736291764127,0.06330862764324785,NA,NA,NA
