feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2011286249011755,0.11257217079401016,0.3208436369895935,NA,NA,NA
Davletkulia__lat_range_z_trans,0.12219591375440358,0.005463597885918211,0.05689595154545512,0.3656049619987607,0.18161065597087145,0.539758026599884
Davletkulia__Temperate_N,-0.48550250291824343,-0.1341454157429145,-0.022096853264639196,NA,NA,NA
Davletkulia__Tropical,0.21203644674271346,0.0031851890402234,0.1406570499597836,NA,NA,NA
Davletkulia__Temperate_S,0.2096474721096456,0.008116405543932774,0.10575688725546545,NA,NA,NA
Davletkulia__Antarctic,0.021219801539555192,0.0012020119852573013,0.009907650127027746,NA,NA,NA
Davletkulia__time,0.021219801250845195,0.0012020165230580324,0.009907651112445293,NA,NA,NA
Microsyodon__lat_range_z_trans,0.12219591375440358,0.005463597885918211,0.05689595154545512,0.3656049619987607,0.18161065597087145,0.539758026599884
Microsyodon__Temperate_N,-0.48550250291824343,-0.1341454157429145,-0.022096853264639196,NA,NA,NA
Microsyodon__Tropical,0.21203644674271346,0.0031851890402234,0.1406570499597836,NA,NA,NA
Microsyodon__Temperate_S,0.2096474721096456,0.008116405543932774,0.10575688725546545,NA,NA,NA
Microsyodon__Antarctic,0.021219801539555192,0.0012020119852573013,0.009907650127027746,NA,NA,NA
Microsyodon__time,0.021219801250845195,0.0012020165230580324,0.009907651112445293,NA,NA,NA
Raranimus__lat_range_z_trans,0.12219591375440358,0.005463597885918211,0.05689595154545512,0.3656049619987607,0.18161065597087145,0.539758026599884
Raranimus__Temperate_N,-0.48550250291824343,-0.1341454157429145,-0.022096853264639196,NA,NA,NA
Raranimus__Tropical,0.21203644674271346,0.0031851890402234,0.1406570499597836,NA,NA,NA
Raranimus__Temperate_S,0.2096474721096456,0.008116405543932774,0.10575688725546545,NA,NA,NA
Raranimus__Antarctic,0.021219801539555192,0.0012020119852573013,0.009907650127027746,NA,NA,NA
Raranimus__time,0.021219801250845195,0.0012020165230580324,0.009907651112445293,NA,NA,NA
Sinophoneus__lat_range_z_trans,0.12219591375440358,0.005463597885918211,0.05689595154545512,0.3656049619987607,0.18161065597087145,0.539758026599884
Sinophoneus__Temperate_N,-0.48550250291824343,-0.1341454157429145,-0.022096853264639196,NA,NA,NA
Sinophoneus__Tropical,0.21203644674271346,0.0031851890402234,0.1406570499597836,NA,NA,NA
Sinophoneus__Temperate_S,0.2096474721096456,0.008116405543932774,0.10575688725546545,NA,NA,NA
Sinophoneus__Antarctic,0.021219801539555192,0.0012020119852573013,0.009907650127027746,NA,NA,NA
Sinophoneus__time,0.021219801250845195,0.0012020165230580324,0.009907651112445293,NA,NA,NA
Varanodon__lat_range_z_trans,0.0436940274450836,0.002309022129080582,0.04412821539460253,1.0530139117012731,0.3193810172379017,2.1404996309429407
Varanodon__Temperate_N,0.2386025466709938,0.01882661382089351,0.20605908136526857,NA,NA,NA
Varanodon__Tropical,-0.16419866658690155,-0.14027443200997577,0.003533643035921756,NA,NA,NA
Varanodon__Temperate_S,0.06314239515342517,0.0045260702720256365,0.05047374024609788,NA,NA,NA
Varanodon__Antarctic,0.004972081197789542,0.0005101392928676394,0.004162239341335082,NA,NA,NA
Varanodon__time,0.004972078625205848,0.000510137115362981,0.004162238923697528,NA,NA,NA
