feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.44116786524653434,0.26059624552726746,0.623381495475769,NA,NA,NA
Angelosaurus__lat_range_z_trans,0.23757564137535508,-0.004704632964943235,0.06846931532309143,1.0067975251236931,0.28859447315335274,1.9088799078017473
Angelosaurus__Temperate_N,0.9883891450888685,0.024859946997904288,0.28047599245500016,NA,NA,NA
Angelosaurus__Tropical,-1.7455800864699478,-0.29854242127917163,-0.02777366295458045,NA,NA,NA
Angelosaurus__Temperate_S,0.7442860803053981,0.00966366836647085,0.2397509893319259,NA,NA,NA
Angelosaurus__Antarctic,0.050813434821396844,0.0018242196799434889,0.015807196853091128,NA,NA,NA
Angelosaurus__time,0.0552278785365768,0.0021009893180945643,0.0155505482336973,NA,NA,NA
Anomocephalus__lat_range_z_trans,0.08282669241303107,-0.02985234050407075,0.10326370914761047,1.8298843498615316,0.9751256555318832,3.367914564907551
Anomocephalus__Temperate_N,0.4341720146866615,0.06590671356849352,0.3649045466629035,NA,NA,NA
Anomocephalus__Tropical,0.06451953242441694,0.014789241198506038,0.056104244124863235,NA,NA,NA
Anomocephalus__Temperate_S,-0.221402257787856,-0.3296320390134176,0.023378967250965194,NA,NA,NA
Anomocephalus__Antarctic,0.019137079676311553,0.00407124165969498,0.019550669508972246,NA,NA,NA
Anomocephalus__time,0.020638268151125495,0.004706975451079408,0.01872643774293787,NA,NA,NA
Archaeosyodon__lat_range_z_trans,0.09427081829868257,-0.01607770521234591,0.08539451350999668,0.4858849372831173,0.27175508067011833,0.7801831588149071
Archaeosyodon__Temperate_N,-1.2172408433072268,-0.2548642009617717,-0.10664596546566255,NA,NA,NA
Archaeosyodon__Tropical,0.15718178765848279,0.006299046246267965,0.08154096055708977,NA,NA,NA
Archaeosyodon__Temperate_S,0.7022092512180097,-0.005519678185800412,0.43787033363648353,NA,NA,NA
Archaeosyodon__Antarctic,0.05591890151612461,0.001307319294234303,0.03130541479491944,NA,NA,NA
Archaeosyodon__time,0.06309428231790662,0.0027529914744231256,0.03130540885310333,NA,NA,NA
Australosyodon__lat_range_z_trans,0.08282669241303107,-0.02985234050407075,0.10326370914761047,1.8298843498615316,0.9751256555318832,3.367914564907551
Australosyodon__Temperate_N,0.4341720146866615,0.06590671356849352,0.3649045466629035,NA,NA,NA
Australosyodon__Tropical,0.06451953242441694,0.014789241198506038,0.056104244124863235,NA,NA,NA
Australosyodon__Temperate_S,-0.221402257787856,-0.3296320390134176,0.023378967250965194,NA,NA,NA
Australosyodon__Antarctic,0.019137079676311553,0.00407124165969498,0.019550669508972246,NA,NA,NA
Australosyodon__time,0.020638268151125495,0.004706975451079408,0.01872643774293787,NA,NA,NA
Biarmosuchoides__lat_range_z_trans,0.09427081829868257,-0.01607770521234591,0.08539451350999668,0.4858849372831173,0.27175508067011833,0.7801831588149071
Biarmosuchoides__Temperate_N,-1.2172408433072268,-0.2548642009617717,-0.10664596546566255,NA,NA,NA
Biarmosuchoides__Tropical,0.15718178765848279,0.006299046246267965,0.08154096055708977,NA,NA,NA
Biarmosuchoides__Temperate_S,0.7022092512180097,-0.005519678185800412,0.43787033363648353,NA,NA,NA
Biarmosuchoides__Antarctic,0.05591890151612461,0.001307319294234303,0.03130541479491944,NA,NA,NA
Biarmosuchoides__time,0.06309428231790662,0.0027529914744231256,0.03130540885310333,NA,NA,NA
Chthomaloporus__lat_range_z_trans,0.09427081829868257,-0.01607770521234591,0.08539451350999668,0.4858849372831173,0.27175508067011833,0.7801831588149071
Chthomaloporus__Temperate_N,-1.2172408433072268,-0.2548642009617717,-0.10664596546566255,NA,NA,NA
Chthomaloporus__Tropical,0.15718178765848279,0.006299046246267965,0.08154096055708977,NA,NA,NA
Chthomaloporus__Temperate_S,0.7022092512180097,-0.005519678185800412,0.43787033363648353,NA,NA,NA
Chthomaloporus__Antarctic,0.05591890151612461,0.001307319294234303,0.03130541479491944,NA,NA,NA
Chthomaloporus__time,0.06309428231790662,0.0027529914744231256,0.03130540885310333,NA,NA,NA
Davletkulia__lat_range_z_trans,0.09427081829868257,-0.01607770521234591,0.08539451350999668,0.4858849372831173,0.27175508067011833,0.7801831588149071
Davletkulia__Temperate_N,-1.2172408433072268,-0.2548642009617717,-0.10664596546566255,NA,NA,NA
Davletkulia__Tropical,0.15718178765848279,0.006299046246267965,0.08154096055708977,NA,NA,NA
Davletkulia__Temperate_S,0.7022092512180097,-0.005519678185800412,0.43787033363648353,NA,NA,NA
Davletkulia__Antarctic,0.05591890151612461,0.001307319294234303,0.03130541479491944,NA,NA,NA
Davletkulia__time,0.06309428231790662,0.0027529914744231256,0.03130540885310333,NA,NA,NA
Deuterosaurus__lat_range_z_trans,-0.2329702454339713,-0.04964772036959718,-0.02013127984803811,0.22107389779528602,0.08908496424555779,0.3453534319996834
Deuterosaurus__Temperate_N,-1.1568421044200659,-0.21570841750439695,-0.05865955966310494,NA,NA,NA
Deuterosaurus__Tropical,0.15980722127482294,0.004444116662127536,0.08656527394337254,NA,NA,NA
Deuterosaurus__Temperate_S,0.6805654839496128,-0.005564010086750418,0.4862688278464186,NA,NA,NA
Deuterosaurus__Antarctic,0.06116746557876468,0.0004662789263867362,0.03233456216219749,NA,NA,NA
