feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13875199176371097,0.08169320970773697,0.19957800209522247,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.11311747983645876,0.0046817944859503585,0.021023037922783722,0.41059181619784796,0.0,0.9897362105548382
Abyssomedon__biome,0.14528813020446113,-0.015006795090890493,0.08214853137636782,NA,NA,NA
Abyssomedon__mean_z_trans,-0.0471295834980284,-0.027649413677484108,0.03931993203577537,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_z_trans,-0.02111916586071224,-0.015184616209978664,0.016751988748679947,NA,NA,NA
Abyssomedon__time,-0.051404868918468245,-0.028534179215334056,0.0403345120116156,NA,NA,NA
Acadiella__lat_range_z_trans,0.04688247603421853,0.022785371247482845,0.027603870165724062,0.9840886045623484,0.5087529495358467,1.7727181613445282
Acadiella__biome,0.1195512731028039,0.030809478249546444,0.1049042876571996,NA,NA,NA
Acadiella__mean_z_trans,0.007827671720680739,-0.02411285403143755,0.022354028294260173,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_z_trans,-0.04818103673478073,-0.0953948477516463,0.023980778677748768,NA,NA,NA
Acadiella__time,0.012671607640788549,-0.015780357421682403,0.020735037300289874,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.053272670963585705,0.014809167819659175,0.029023616649428815,0.8449847767996834,0.29061635001562536,1.654589306563139
Acaenasuchus__biome,0.15355839728849702,0.01205195537682374,0.11249280801991235,NA,NA,NA
Acaenasuchus__mean_z_trans,0.004919896445210537,-0.0158175189741082,0.028477982633812172,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_z_trans,-0.09476269811613462,-0.08126125039671413,0.0033199544099643723,NA,NA,NA
Acaenasuchus__time,0.021763725182552363,-0.011475563533397562,0.02626364038210477,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.061183536044633516,0.00799724326350446,0.02644148322440978,0.7441045620990917,0.1376418936997652,1.11160446703434
Acallosuchus__biome,0.19840157530724326,0.012869950117699484,0.11315774181972688,NA,NA,NA
Acallosuchus__mean_z_trans,-7.193401673508963e-05,-0.01864380286118744,0.021142012561956254,NA,NA,NA
