feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-11.588233581737857,-29.94250267147144,-3.432481179947548,0.37273759201169016,0.22630423307418823,0.5414734482765198,-733.3614308186951,-1012.2871730150437,-465.7527625929172,1.0
biome,none,Temperate_N_Tropical,none,0.87,-1.7889030814609286,-9.420897821352588,2.2553998266043513,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
biome,none,Temperate_N_Temperate_S,none,0.97,-1.8158302222137603,-5.959722352701916,-1.0454268401913378,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
biome,none,Temperate_N_Antarctic,none,0.54,1.1160222453512039,-7.7371355876730705,4.118871613401493,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
biome,none,Tropical_Temperate_S,none,0.5,-0.013826910403331505,-3.110210297097621,4.549663950421626,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
biome,none,Tropical_Antarctic,none,0.71,2.2280186386529137,-6.3143601349948995,13.221427992692728,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
biome,none,Temperate_S_Antarctic,none,0.67,2.0386127850701525,-5.355427554926846,8.332016797673111,0.32980454683303834,0.1962643414735794,0.5584411025047302,-304.8223871464422,-519.5517226713885,-141.23145284693203,2.0
mean_z_trans,none,none,none,0.83,-2.185072626742946,-11.896212902831062,5.311004094976315,0.2638929080963135,0.1057337075471878,0.5092654824256897,-374.7847017142842,-800.9392887866245,-82.51191830192226,5.0
Mod_R_deltaTMyr_z_trans,none,none,none,0.8,-2.5030145831726553,-12.011051240145846,14.105084936631998,0.26838133215904236,0.11670241504907608,0.4349537491798401,-414.68657319117733,-782.9581821178331,-75.84848854710367,3.0
time,none,none,none,0.89,-2.476048212293567,-12.69498987931509,3.522480899381659,0.1731085743010044,0.0469125472009182,0.31508949398994446,-407.376319638139,-1007.3422093775874,-7.271214816819224,4.0
