feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-21.005815548956527,-40.0,-5.982917509580183,0.35670178577303885,0.20627565681934357,0.49671539664268494,-756.0838014318557,-1113.1285671633395,-438.7500000995756,1.0
biome,none,Temperate_N_Tropical,none,0.98,-3.6931205752547887,-17.770429878664622,1.086803196238634,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
biome,none,Temperate_N_Temperate_S,none,1.0,-6.359281561481387,-35.496367615029484,-1.904679843606646,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
biome,none,Temperate_N_Antarctic,none,0.63,2.2103973470703813,-9.775654724171119,13.722739480894202,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
biome,none,Tropical_Temperate_S,none,0.78,-1.5541175214450393,-7.268584783313101,2.527717365094837,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
biome,none,Tropical_Antarctic,none,0.88,7.057282397896557,-1.656363583708791,40.0,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
biome,none,Temperate_S_Antarctic,none,0.97,12.183230879754854,1.2128899039461505,40.0,0.4175647893548012,0.2673482596874237,0.5789980888366699,-556.8494438462066,-887.109608761999,-264.87736183090317,1.0
mean_z_trans,none,none,none,0.75,-1.45681410589033,-7.8490784148051365,3.7352902313477525,0.24865729942917825,0.09783627837896347,0.41692909598350525,-469.95708752072284,-947.2868521883895,-65.05000752857927,3.0
Mod_R_deltaTMyr_z_trans,none,none,none,1.0,-26.820740985324882,-40.0,-7.392153516792751,0.3420446538925171,0.1406901329755783,0.6120862364768982,-722.2966375852261,-1369.2111661576175,-186.95085972621837,2.0
time,none,none,none,0.93,-5.50542456179538,-40.0,1.353992599100106,0.19919466093182564,0.056840866804122925,0.3527029752731323,-410.96537184867884,-980.0530455204281,-23.551604484557515,4.0
