feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-18.640898158592368,0.40190393418073656,0.3048345446586609,0.5299333333969116,-1104.1687120429517,-1431.8810086186763,-767.9779948221178,1.0
Temperate_N,none,0_1,none,0.85,-2.274672718051507,-9.94174529024552,2.0593255645149133,0.39941685982048514,0.1530742645263672,0.6739007830619812,-531.4959394582708,-843.7968955665913,-261.5706972531118,5.0
Tropical,none,0_1,none,0.87,-2.0317737994891076,-7.309073603947229,2.3014776402175485,0.3751195067167282,0.16954348981380463,0.6206941604614258,-632.8276722821806,-1101.432407454006,-226.27129342761623,4.0
Temperate_S,none,0_1,none,1.0,-4.22424394311964,-12.031421709864622,-1.6242671825352404,0.36767255201935767,0.10969431698322296,0.6381008625030518,-683.1002547643742,-1258.538579548512,-197.63020702705785,2.0
Antarctic,none,0_1,none,0.52,-1.0763010936695134,-8.520818485198234,5.18465577333336,0.05009214099496603,0.034902673214673996,0.07070004194974899,-22.353094514013357,-70.539178408319,2.817104362119153,16.0
mean_pt_1myr_z_trans,none,none,none,0.94,-7.0408991455882735,-40.0,1.0306791923125633,0.22437208518385887,0.1164146363735199,0.39115110039711,-635.7847530620876,-1120.2307896504403,-318.5027562652947,3.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.87,-2.677258864955372,-14.407018143154898,2.655935537400936,0.1700172358006239,0.09254614263772964,0.23544219136238098,-442.73351860567413,-749.0359789282052,-161.9462897405051,7.0
208-217,none,0_1,none,0.98,-8.46107256695084,-27.69259231872509,1.2387616041453147,0.21917591728270053,0.09636189043521881,0.3385170102119446,-376.77599633517804,-672.9388231751643,-126.82360383112314,6.0
217-227,none,0_1,none,1.0,-25.90380270107994,-40.0,-8.092942480011965,0.16417769551277162,0.07295672595500946,0.22873003780841827,-744.2581229349106,-1191.4217176132515,-358.180960143889,2.0
227-237,none,0_1,none,1.0,-6.76153185213035,-26.386782582463397,-1.9865898732374092,0.19944779716432096,0.07285767048597336,0.3089790940284729,-239.3931448864011,-435.65272624915406,-76.71496372133879,6.0
237-242,none,0_1,none,0.91,-2.2244562903810436,-14.138495335698389,1.4034819628543174,0.10712231677025556,0.05624418705701828,0.18458008766174316,-94.03796785772248,-184.20432176624013,-19.91446901892914,12.0
242-246.7,none,0_1,none,0.9,-2.0809358238427573,-9.529021436952606,1.4956613010977424,0.12290291834622621,0.0444650873541832,0.2305593639612198,-130.68362867759208,-256.29316504031954,-34.16632209292379,10.0
246.7-252,none,0_1,none,0.79,1.914628336615022,-4.219606555544305,7.875676401128913,0.15025807186961174,0.04937366023659706,0.28613346815109253,-140.73987782853862,-273.59424674596676,-21.031209948559535,9.0
252-259.5,none,0_1,none,0.98,-3.180666116159917,-17.425229332607074,-1.1054390464347155,0.08096254259347915,0.04412689432501793,0.12229973077774048,-81.08109195824477,-151.60297972027854,-22.52795907361451,14.0
259.5-264.3,none,0_1,none,0.99,-9.4798103277002,-40.0,-2.261621655379414,0.0659740736708045,0.03855857998132706,0.08823449909687042,-90.27859983500039,-163.03754869945396,-26.400875761578618,13.0
264.3-274.4,none,0_1,none,1.0,-12.112813925448558,-40.0,-4.198548433150816,0.06902133092284203,0.04129943996667862,0.10004685819149017,-146.85190104732612,-256.0499464666477,-58.229680027749055,8.0
274.4-283.5,none,0_1,none,0.98,-7.12930073384714,-34.89486913616668,1.4179308478088084,0.057065706104040145,0.038523994386196136,0.07883492857217789,-68.6990729381739,-130.1266382280503,-11.783798390038328,15.0
283.5-290.1,none,0_1,none,1.0,-15.340599630731958,-40.0,-4.2416027733804365,0.06839760452508926,0.04355033487081528,0.09743055701255798,-110.67649478166268,-189.23254286503288,-40.765701681975315,11.0
