feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1333910894393921,0.048842888325452805,0.20387475192546844,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.22428394205868243,0.0018642197339264234,0.02133025560005945,0.2299284592776985,0.013459566922392696,0.6117339059710503
Abyssomedon__Temperate_N,0.29192753687500955,0.00040424829258498284,0.03717085897748002,NA,NA,NA
Abyssomedon__Tropical,-0.48024949386715887,-0.01792134877875006,-0.006810178504246383,NA,NA,NA
Abyssomedon__Temperate_S,0.23797169583383948,0.0005697880030287364,0.030101662109752528,NA,NA,NA
Abyssomedon__Antarctic,0.05294494799338281,0.00016199275048243611,0.00629435311020554,NA,NA,NA
Abyssomedon__mean_pt_1myr_z_trans,0.08722885116003454,-0.0034293561410934123,0.023244007820291162,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.04084905261976928,-0.004152416840536015,0.024422264385828313,NA,NA,NA
Abyssomedon__208-217,0.13220712300390006,0.0009782979367555956,0.016226386339801866,NA,NA,NA
Abyssomedon__217-227,0.11118123952299357,0.0007471443892346378,0.011440035294540171,NA,NA,NA
Abyssomedon__227-237,0.12584763190709056,0.0006103406407458104,0.013174799454826839,NA,NA,NA
Abyssomedon__237-242,0.06093567626783624,-0.00018763506154337772,0.00869448326271057,NA,NA,NA
Abyssomedon__242-246.7,0.0720453466521576,-0.0004666685783505109,0.010214048968917859,NA,NA,NA
Abyssomedon__246.7-252,-0.03891019207847421,-0.0025626522717378283,0.004784088138899249,NA,NA,NA
Abyssomedon__252-259.5,0.06713782757520675,0.0004281656758507736,0.007676670699260301,NA,NA,NA
Abyssomedon__259.5-264.3,0.06444115241523832,0.0004939970220589751,0.007342957937226346,NA,NA,NA
Abyssomedon__264.3-274.4,0.06501620568335056,0.0005310290875052355,0.007868666943360665,NA,NA,NA
Abyssomedon__274.4-283.5,0.060494804587215185,0.0003164238257337454,0.006806388829411487,NA,NA,NA
Abyssomedon__283.5-290.1,-0.9971178731322289,-0.027228458011348954,-0.026106997442857518,NA,NA,NA
Acadiella__lat_range_z_trans,0.07111321684689824,0.0023743993968535146,0.01997347369760263,0.635324799871305,0.07213324680924416,1.3130445070564747
Acadiella__Temperate_N,0.09009956056614055,-0.0011669038127172095,0.033811576255602785,NA,NA,NA
Acadiella__Tropical,-0.12225540941509452,-0.013653039639732686,0.00484342110492123,NA,NA,NA
Acadiella__Temperate_S,0.07073505068339342,0.0006610456293348336,0.028392308823842194,NA,NA,NA
Acadiella__Antarctic,0.011579360745925717,-7.364466789075194e-05,0.003969276262594487,NA,NA,NA
Acadiella__mean_pt_1myr_z_trans,0.0009902184526533427,-0.0068975871003550135,0.01865478337449437,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_pt_1myr_z_trans,0.008564571077561632,-0.002847249491265139,0.016839824304811526,NA,NA,NA
Acadiella__208-217,0.038653543319056224,0.0005357716089688638,0.010705127955072362,NA,NA,NA
Acadiella__217-227,0.00897827914836459,-0.005933356555056239,0.010584154471140805,NA,NA,NA
Acadiella__227-237,-0.13956386950755614,-0.01830996682872489,0.008392161510860932,NA,NA,NA
Acadiella__237-242,0.014210157778915109,-0.0005842435055412494,0.00803164568483324,NA,NA,NA
Acadiella__242-246.7,0.018811386381279945,-0.0009581273192182598,0.009744176635427242,NA,NA,NA
Acadiella__246.7-252,-0.013920721675058638,-0.0028487062776959278,0.003980954303453687,NA,NA,NA
Acadiella__252-259.5,0.015229449013217034,7.340302651656945e-05,0.0069368258740966455,NA,NA,NA
Acadiella__259.5-264.3,0.015239921419920796,0.00017529424349137812,0.0048204819129229436,NA,NA,NA
Acadiella__264.3-274.4,0.01535860936993014,0.00025435608397633485,0.0046737715333090004,NA,NA,NA
Acadiella__274.4-283.5,0.013857101135394357,0.00010474162262994953,0.0046926825009115354,NA,NA,NA
Acadiella__283.5-290.1,0.015710664098450337,0.0002509252609731175,0.0048281057195708145,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.04159791094121858,0.0026787173597933433,0.02268724397493336,1.1033585761088762,0.21809854824095964,3.373634908348322
Acaenasuchus__Temperate_N,0.05755906879429913,0.002655060371547739,0.04203000507035956,NA,NA,NA
Acaenasuchus__Tropical,-0.07021285577639272,-0.023934343508566713,0.0018048037665718978,NA,NA,NA
Acaenasuchus__Temperate_S,0.040869424279499966,3.802872608435581e-05,0.02441468559865207,NA,NA,NA
Acaenasuchus__Antarctic,0.005424723443284757,4.493490573001061e-05,0.003239504827302515,NA,NA,NA
Acaenasuchus__mean_pt_1myr_z_trans,0.019549272720608392,-0.002969758550181853,0.018779236910902906,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.006689847048290248,-0.005757217993908025,0.022220269010080344,NA,NA,NA
Acaenasuchus__208-217,-0.05612064147923154,-0.017840012238516376,0.012160645059496598,NA,NA,NA
Acaenasuchus__217-227,0.015775456514063917,0.0006427161505778193,0.007861779859846844,NA,NA,NA
Acaenasuchus__227-237,0.02100805484097803,0.0005668726117013402,0.010843390396173906,NA,NA,NA
Acaenasuchus__237-242,0.006549353970929713,-0.0016045041113840696,0.005766326464781298,NA,NA,NA
Acaenasuchus__242-246.7,0.012875636691591556,-0.0006484703867272332,0.007794333382203144,NA,NA,NA
Acaenasuchus__246.7-252,-0.005744823045320875,-0.0030735222655597087,0.0038533720468227604,NA,NA,NA
Acaenasuchus__252-259.5,0.008396818001880014,-0.00015273369800854458,0.0045506828833520654,NA,NA,NA
Acaenasuchus__259.5-264.3,0.007394526158267305,0.0001534869492196662,0.0037275171969519305,NA,NA,NA
Acaenasuchus__264.3-274.4,0.007458538124445583,0.000319391674994188,0.004271559554072571,NA,NA,NA
Acaenasuchus__274.4-283.5,0.006588575970283193,1.9231713946146014e-05,0.003868393680380192,NA,NA,NA
Acaenasuchus__283.5-290.1,0.0077322022406968215,1.9233963805111675e-05,0.004001002242584484,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.07485615248627514,0.0022199741687997905,0.01758461251664271,0.5971909736057569,0.043165470473468304,1.4459204245358706
Acallosuchus__Temperate_N,0.09659667944012328,0.0008252910289896106,0.02579997475859884,NA,NA,NA
Acallosuchus__Tropical,-0.1293478297120455,-0.012973773587481113,0.003627878421780797,NA,NA,NA
Acallosuchus__Temperate_S,0.07743868545909137,0.001179020195959582,0.027450291187782718,NA,NA,NA
Acallosuchus__Antarctic,0.013553192688837597,9.505905434234602e-05,0.004457023786563787,NA,NA,NA
Acallosuchus__mean_pt_1myr_z_trans,0.02849853920293274,-0.002795374789551291,0.024002816155900688,NA,NA,NA
Acallosuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.012433246298123408,-0.00203869334964486,0.022968762570708637,NA,NA,NA
Acallosuchus__208-217,-0.12645166933352006,-0.015744492061510993,0.010808066573730755,NA,NA,NA
Acallosuchus__217-227,-0.06677435282734993,-0.017246609597013133,0.009966889264205745,NA,NA,NA
Acallosuchus__227-237,0.03842997247402784,0.0003901129327286691,0.010694096536100305,NA,NA,NA
Acallosuchus__237-242,0.017312484216255166,-0.0004683820479968954,0.007660631643142218,NA,NA,NA
Acallosuchus__242-246.7,0.02209313506234017,-0.0005141977970382889,0.009142781412729907,NA,NA,NA
Acallosuchus__246.7-252,-0.012481072063059867,-0.0025621728693943466,0.002972266790140595,NA,NA,NA
Acallosuchus__252-259.5,0.018230230373033406,-3.763441780415014e-05,0.00519586189137952,NA,NA,NA
Acallosuchus__259.5-264.3,0.01738822044861822,0.0002627477299783269,0.0056295219274039715,NA,NA,NA
Acallosuchus__264.3-274.4,0.01753096643037037,0.000241644225719442,0.005785548433708931,NA,NA,NA
Acallosuchus__274.4-283.5,0.01609186819085466,0.00022684088132633238,0.004982225082981494,NA,NA,NA
Acallosuchus__283.5-290.1,0.017992640604484092,9.775197413816746e-05,0.0051455029719668375,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.03897062886159769,0.0024077229231620487,0.015585627823175649,1.3135403243508972,0.09447834640741348,3.030795669183135
Acerosodontosaurus__Temperate_N,0.052446724224545084,0.0005249506240729498,0.022852196949496355,NA,NA,NA
Acerosodontosaurus__Tropical,0.04446288719664959,0.0013878753599054982,0.02193693484358089,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.09141438314033218,-0.017640085345695194,-0.0023716393649370936,NA,NA,NA
Acerosodontosaurus__Antarctic,0.00531417875764154,-0.0003225825339780364,0.0036570629153981024,NA,NA,NA
Acerosodontosaurus__mean_pt_1myr_z_trans,0.025265590537114344,-0.004985836679179707,0.02580197330651606,NA,NA,NA
Acerosodontosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.016611815162692306,-0.004884789404603685,0.037593817781143235,NA,NA,NA
Acerosodontosaurus__208-217,0.020229058376848113,0.0004946692277532403,0.009199455435430211,NA,NA,NA
Acerosodontosaurus__217-227,0.014689258714182944,0.0005578241967550742,0.006850655264658936,NA,NA,NA
Acerosodontosaurus__227-237,0.01705148578243554,0.0003894236319178555,0.00982974702037547,NA,NA,NA
Acerosodontosaurus__237-242,0.008348576339113824,-0.0005424908245663586,0.006466742425825997,NA,NA,NA
Acerosodontosaurus__242-246.7,0.010420227346628584,-0.001085711795633405,0.00711651277996094,NA,NA,NA
Acerosodontosaurus__246.7-252,-0.006600117479975466,-0.002727986145893628,0.002734115176109931,NA,NA,NA
Acerosodontosaurus__252-259.5,-0.05114186141264835,-0.021926295867559713,0.01950387765082446,NA,NA,NA
Acerosodontosaurus__259.5-264.3,0.007251634022088307,-0.00011376317969207786,0.003992101644017978,NA,NA,NA
Acerosodontosaurus__264.3-274.4,0.007464871311138995,1.8926255492405676e-05,0.004862443171053505,NA,NA,NA
Acerosodontosaurus__274.4-283.5,0.006593169691864126,-0.00028067769618667424,0.003584861415277072,NA,NA,NA
Acerosodontosaurus__283.5-290.1,0.007427345147807081,-0.0001140610715233922,0.004678265687560733,NA,NA,NA
Acleistorhinus__lat_range_z_trans,0.04204779359708644,0.0022708476840484324,0.017273606854431526,1.1624314904813218,0.05468974635004997,2.5366688701324165
Acleistorhinus__Temperate_N,0.05631925423231614,0.0015185427338686582,0.02998007878849075,NA,NA,NA
Acleistorhinus__Tropical,-0.07986039184179072,-0.020341883148041456,0.001462774989652677,NA,NA,NA
Acleistorhinus__Temperate_S,0.04237717359469265,0.0008534793714126943,0.022436395997314167,NA,NA,NA
Acleistorhinus__Antarctic,0.005448737805520384,-5.299643674606379e-05,0.0034809239394505745,NA,NA,NA
Acleistorhinus__mean_pt_1myr_z_trans,0.036062520203598604,-0.004785250658092124,0.03563522212951566,NA,NA,NA
Acleistorhinus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.005133763858501632,-0.004791452457882906,0.01566861050512687,NA,NA,NA
Acleistorhinus__208-217,0.02105933908243693,0.001017049897843208,0.009563439192789229,NA,NA,NA
Acleistorhinus__217-227,0.0157709756476387,0.0005710561224454908,0.006666593820207459,NA,NA,NA
Acleistorhinus__227-237,0.018190751305426894,0.0006784190046842475,0.009297061756905353,NA,NA,NA
Acleistorhinus__237-242,0.008320042615300796,-0.00047798264989606525,0.006137865665300041,NA,NA,NA
Acleistorhinus__242-246.7,0.010937705005847793,-0.0006531750390865262,0.007663619081746887,NA,NA,NA
Acleistorhinus__246.7-252,-0.007109440988118994,-0.003265795425297468,0.004008557609916805,NA,NA,NA
Acleistorhinus__252-259.5,0.007559575043758881,-0.00016945311439339048,0.004510677186948366,NA,NA,NA
Acleistorhinus__259.5-264.3,0.0073092511826609655,-0.0001284107759307155,0.004085559455585512,NA,NA,NA
Acleistorhinus__264.3-274.4,0.00580709522503556,-9.313882734416566e-05,0.0038068954498171608,NA,NA,NA
Acleistorhinus__274.4-283.5,-0.06976679739549863,-0.020954953029594943,0.018146885797460877,NA,NA,NA
Acleistorhinus__283.5-290.1,0.0077837412649780545,-3.779157744971494e-05,0.0040499837048085545,NA,NA,NA
Acrodenta__lat_range_z_trans,0.0300161087818099,0.0038988321489394203,0.01850031939562734,1.8236873466517136,0.3566793203353882,3.5341804746421985
Acrodenta__Temperate_N,0.0434318422599521,0.004871855435561309,0.03291751159363568,NA,NA,NA
Acrodenta__Tropical,-0.0377282057261897,-0.021703513721803753,0.005403103190499776,NA,NA,NA
Acrodenta__Temperate_S,0.03130190538964555,0.0021068767789645983,0.02162858457939765,NA,NA,NA
Acrodenta__Antarctic,0.002212907540516146,-0.00037553935449267153,0.0031976911752431445,NA,NA,NA
Acrodenta__mean_pt_1myr_z_trans,0.018869593711599644,-0.0067859389299042856,0.027528530903221136,NA,NA,NA
