feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-20.821342640007643,-40.0,-8.243743393753858,0.4971526408195496,0.34673619270324707,0.6877039074897766,-797.4347343430883,-1091.34541462579,-530.3191091829124,2.0
Temperate_N,none,0_1,none,0.97,-4.709207470260724,-26.970659893432465,2.0948519876147866,0.4820095339417458,0.2168668806552887,0.8315150141716003,-488.3871593083227,-874.3822996627646,-163.18779103864108,3.0
Tropical,none,0_1,none,1.0,-10.392860912483378,-40.0,-1.899278694720125,0.2782312633097172,0.11842401325702667,0.5062964558601379,-404.5580318509193,-798.6347988523569,-83.28040915586803,5.0
Temperate_S,none,0_1,none,0.94,-4.6242580073111315,-40.0,1.074489683063222,0.7057044127583504,0.3378351032733917,1.2185895442962646,-916.4408053580221,-1653.3855748924652,-343.74366414282406,1.0
Antarctic,none,0_1,none,0.77,-2.434034715996991,-28.11413920695465,4.734121537630712,0.0580583094060421,0.038036637008190155,0.08728919178247452,-30.34036151281959,-85.03675424441826,0.37438654493314516,18.0
mean_pt_1myr_z_trans,none,none,none,0.83,-2.3010158114558394,-25.906147517122292,3.579547121537977,0.28283305138349535,0.13949492573738098,0.4937756657600403,-424.24348510403763,-732.5803712193597,-190.61116358029494,4.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.5,-0.010788301092974018,-19.006007576415467,8.370334268707055,0.20484131060540675,0.10100283473730087,0.3213571012020111,-311.66427096438895,-504.83370620450955,-122.46210530963413,7.0
208-217,none,0_1,none,1.0,-10.916550872621219,-40.0,-3.6969013661975745,0.08331195525825023,0.053026504814624786,0.12906408309936523,-127.20108010245343,-253.35429101631712,-21.795244104487892,12.0
217-227,none,0_1,none,1.0,-14.220195225662206,-40.0,-4.187743611862299,0.07892489548772573,0.048373352736234665,0.11379827558994293,-198.80493147097278,-340.49168602165514,-70.73464050254563,7.0
227-237,none,0_1,none,0.96,-4.7710662967857775,-40.0,-1.220478580893422,0.11887799214571715,0.045741237699985504,0.21031783521175385,-130.421220008807,-278.0818135641425,-23.041605800535876,11.0
237-242,none,0_1,none,0.9,-3.1474910516338803,-26.467056094189754,2.101151145217273,0.07335831500589847,0.028201386332511902,0.11153807491064072,-48.584558710600064,-106.20372781587298,-5.1459245277911805,16.0
242-246.7,none,0_1,none,0.9,-2.621957084767497,-13.977706416608862,3.1590075394834023,0.08489124797284603,0.0482826828956604,0.14551709592342377,-50.52986521623484,-98.03182670012143,-8.097831084606014,15.0
246.7-252,none,0_1,none,0.77,2.0646630746014587,-3.9141669436842954,9.091849819121062,0.1818453312292695,0.04434908553957939,0.33098649978637695,-120.32018125791342,-245.20039672027315,-11.208574485223266,13.0
252-259.5,none,0_1,none,0.85,-1.8716260139328789,-12.357969259038793,1.6078742061760616,0.20863014128059149,0.05902736261487007,0.34654295444488525,-190.22251348202622,-392.07003332306533,-37.742672988136064,7.0
259.5-264.3,none,0_1,none,1.0,-8.540267270442587,-40.0,-2.523349808565212,0.2120922538638115,0.10601304471492767,0.3744606673717499,-231.101137047618,-451.5773951465012,-62.84454353939941,6.0
264.3-274.4,none,0_1,none,1.0,-6.960501431390064,-40.0,-1.86605118961162,0.13805024657398463,0.05625613406300545,0.20865610241889954,-170.80488482694767,-337.40297542263954,-63.31552420902642,10.0
274.4-283.5,none,0_1,none,0.98,-7.347755549638551,-40.0,-1.8271169022141418,0.0619389608502388,0.03887024149298668,0.08654576539993286,-57.22100373000464,-118.65041705875899,-10.140399880434757,14.0
283.5-290.1,none,0_1,none,0.96,-3.740959926951663,-40.0,-1.074299387221435,0.06729819424450398,0.036280300468206406,0.10100153833627701,-42.05427656843226,-95.47276692903722,-4.555033063141423,17.0
