feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1856715751439333,0.08708880096673965,0.2896958589553833,NA,NA,NA
Abajudon__lat_range_z_trans,0.03226099306284958,-0.000580278844275906,0.017862695176886535,1.6667638189316494,0.1602543843910098,3.3532657101750374
Abajudon__Temperate_N,0.07264854222097093,0.0031944024739930157,0.037692626938754345,NA,NA,NA
Abajudon__Tropical,0.03437061397675584,0.0015288479491481156,0.019100130479332768,NA,NA,NA
Abajudon__Temperate_S,-0.0938349655610777,-0.03639293235786363,0.0071239451218130505,NA,NA,NA
Abajudon__Antarctic,0.0061533238813932176,-0.0009184279009028469,0.004598787969862478,NA,NA,NA
Abajudon__mean_pt_1myr_z_trans,0.055412324754563876,-0.003100271504558968,0.047962252273257705,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.030487405592154935,-0.008514857673871055,0.033001947965984574,NA,NA,NA
Abajudon__208-217,0.007558252779380996,-0.0001381247563310553,0.0057727545481911025,NA,NA,NA
Abajudon__217-227,0.008701669436373242,0.0003077905871540373,0.00559074221583039,NA,NA,NA
Abajudon__227-237,0.009089373836999946,0.00014720510475539807,0.006052078246760029,NA,NA,NA
Abajudon__237-242,0.006403694394386379,-0.00041313575565085983,0.004840268064011071,NA,NA,NA
Abajudon__242-246.7,0.003706709474972843,-0.0020225713202957885,0.0047119363186503855,NA,NA,NA
Abajudon__246.7-252,-0.016755133559114142,-0.007465094742920633,-5.599632447454288e-05,NA,NA,NA
Abajudon__252-259.5,0.009406930406833186,-0.0037915907335965143,0.011929566039312894,NA,NA,NA
Abajudon__259.5-264.3,0.017566704944061807,-0.006128142328126059,0.03612123960672822,NA,NA,NA
Abajudon__264.3-274.4,-0.0125924408670304,-0.022013093757214445,0.03788528034830854,NA,NA,NA
Abajudon__274.4-283.5,0.006969094907930727,-0.0005005227360478208,0.004627705532761336,NA,NA,NA
Abajudon__283.5-290.1,0.008118481461528045,-0.0002880026701346392,0.004877898433412429,NA,NA,NA
Abdalodon__lat_range_z_trans,0.0818953157383236,0.00421159163862451,0.029472214204368866,0.9706267917197329,0.20633911341428757,2.7696159196202643
Abdalodon__Temperate_N,0.12782138125541995,0.004879488416430467,0.042216747459567584,NA,NA,NA
Abdalodon__Tropical,0.06046195148499338,0.0027693018792984596,0.023752086103458667,NA,NA,NA
Abdalodon__Temperate_S,-0.15189593184367914,-0.030067263154977954,-0.006679194469100423,NA,NA,NA
Abdalodon__Antarctic,0.012149851025084858,-0.0008219377371682804,0.0061137413805245275,NA,NA,NA
Abdalodon__mean_pt_1myr_z_trans,-0.008124192318747434,-0.00968528202619023,0.03229189538005068,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.008098307794457926,-0.01214084416523918,0.03903162472410753,NA,NA,NA
Abdalodon__208-217,0.012262787148207487,-0.0007126713391875748,0.0074184230760429,NA,NA,NA
Abdalodon__217-227,0.016308384253382126,0.00030773188305052913,0.007287850603303895,NA,NA,NA
Abdalodon__227-237,0.010726364281980923,-0.0014518894321839482,0.007866207873507615,NA,NA,NA
Abdalodon__237-242,0.009021153683544995,-0.0009367649580573385,0.006095062935017908,NA,NA,NA
Abdalodon__242-246.7,-0.0018181640353309874,-0.003227706649527814,0.005405100843740787,NA,NA,NA
Abdalodon__246.7-252,-0.04699728928117142,-0.008711149665992048,0.0009339066647712701,NA,NA,NA
Abdalodon__252-259.5,0.0456226063438395,-0.018383420599536925,0.054073115454793576,NA,NA,NA
Abdalodon__259.5-264.3,-0.02039495149648594,-0.01201021177422329,0.011116148939349835,NA,NA,NA
Abdalodon__264.3-274.4,0.020561959636408382,-0.00023106960848251975,0.010195995999298404,NA,NA,NA
Abdalodon__274.4-283.5,0.0117680444697678,-0.0004816657713472007,0.006412860244928835,NA,NA,NA
Abdalodon__283.5-290.1,0.014400612592853164,-0.00039503790202931625,0.006692071537650843,NA,NA,NA
Acratophorus__lat_range_z_trans,0.1554053305825842,0.002745436734124618,0.026878752012620695,0.4996401013463037,0.0064187441021203995,0.970184326171875
Acratophorus__Temperate_N,0.2725435154248965,0.004120769154697002,0.05074287222943031,NA,NA,NA
Acratophorus__Tropical,0.1376715364778294,0.001766322470310858,0.028252004418729226,NA,NA,NA
Acratophorus__Temperate_S,-0.40092334368589644,-0.033439722108787366,-0.0067320504363841726,NA,NA,NA
Acratophorus__Antarctic,0.02692101351009497,-0.0002950237977833417,0.008250423101213865,NA,NA,NA
Acratophorus__mean_pt_1myr_z_trans,-0.16726584334702777,-0.020833343819408802,0.013698039866099031,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.09863233891734884,-0.0036462353359635945,0.03558556231137355,NA,NA,NA
Acratophorus__208-217,0.032043013441953025,-0.00012348871966728683,0.007977080651820831,NA,NA,NA
Acratophorus__217-227,0.04023350320485766,0.0004357878718603253,0.008518512544973196,NA,NA,NA
Acratophorus__227-237,0.04322453106474375,-0.01164206988024904,0.04790047113815569,NA,NA,NA
Acratophorus__237-242,0.024965366381047526,-0.001108864391088624,0.008089635361078897,NA,NA,NA
Acratophorus__242-246.7,-0.0011096763347613586,-0.0021809480840290552,0.0063621339339320895,NA,NA,NA
Acratophorus__246.7-252,-0.10948532640234575,-0.008290363272823266,0.00038572517606944343,NA,NA,NA
Acratophorus__252-259.5,-0.029266347847912585,-0.006376947046239021,0.010276514316431366,NA,NA,NA
Acratophorus__259.5-264.3,-0.048394130247854085,-0.007691851590155735,0.015430667794779113,NA,NA,NA
