feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-22.401092463399316,-40.0,-9.778234750995155,0.44284160405397416,0.3069726526737213,0.6429011821746826,-800.3693900756634,-1109.871392427684,-537.3569138870951,2.0
Temperate_N,none,0_1,none,0.99,-6.6421913074189805,-32.19476920703771,-1.308404148564063,0.48275010496377946,0.20654641091823578,0.8429506421089172,-602.5472633087003,-1045.259174261317,-231.40517726397707,3.0
Tropical,none,0_1,none,1.0,-15.376851033674122,-40.0,-3.223363538094073,0.3054378083348274,0.1436724215745926,0.5050999522209167,-508.10111177841145,-907.4314236783055,-138.60261817019023,4.0
Temperate_S,none,0_1,none,0.96,-7.0241654502911395,-40.0,-1.1501257019891231,0.7755935525894165,0.3414948582649231,1.2430697679519653,-1081.4911724828128,-1823.2676485903435,-459.90543985722934,1.0
Antarctic,none,0_1,none,0.87,-2.601719491543461,-22.925517749896574,2.693817687256022,0.05385738400742412,0.034794699400663376,0.08357717096805573,-30.685703650454396,-82.58720515783705,0.42809338238816963,17.0
mean_pt_1myr_z_trans,none,none,none,0.66,-1.6764093189963094,-14.606588598956861,5.003498272521787,0.26105117857456206,0.12484030425548553,0.4259593188762665,-511.9949380848755,-801.3463005821717,-253.0923502639704,5.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.71,-1.6139031654865446,-16.30345701818956,5.159021566420636,0.246171964854002,0.1290232539176941,0.41767391562461853,-390.75212064202566,-601.2901361840893,-202.92450640797097,6.0
208-217,none,0_1,none,0.99,-6.292190416420535,-40.0,-1.3523563165933863,0.059383297115564344,0.03327476978302002,0.08399318158626556,-60.478845862991946,-121.96443969252323,-9.840467859772616,14.0
217-227,none,0_1,none,1.0,-11.85611490524579,-40.0,-3.284031859193724,0.05756893541663885,0.03704249486327171,0.08177612721920013,-73.70849982609796,-156.91965900608113,-11.904738213046585,12.0
227-237,none,0_1,none,0.94,-6.1157097607229165,-37.51808136318709,1.7078066900187652,0.06981090109795332,0.03689310699701309,0.1120692789554596,-84.40800499651293,-162.6094888589546,-17.109138181072126,11.0
237-242,none,0_1,none,0.89,-2.559441139303172,-26.089457933019503,2.681573621573664,0.05457362435758114,0.03497408702969551,0.07632178068161011,-35.21736097320724,-79.248835363034,-3.5513606413667276,16.0
242-246.7,none,0_1,none,0.76,-2.317583339527716,-28.240718413819703,3.15939824634007,0.07976227682083845,0.03447037935256958,0.13448578119277954,-71.85620074509536,-152.46457971120788,-12.457163747823188,13.0
246.7-252,none,0_1,none,0.68,1.5516777687450274,-9.675865752188082,9.585724530129102,0.10235312558710576,0.040650639683008194,0.21827220916748047,-92.99224194679302,-192.12706344716776,-8.929125058636146,10.0
252-259.5,none,0_1,none,0.51,-1.0364781769746263,-6.964832705029669,9.308716775445426,0.25904123082756997,0.09661444276571274,0.46533775329589844,-190.36506031566825,-327.8947136109937,-57.95688730710128,7.0
259.5-264.3,none,0_1,none,0.91,-3.94535484208535,-22.8584472524762,1.8929004821095972,0.14718646254390477,0.04952869191765785,0.26033368706703186,-167.64796857900575,-335.9817111153458,-32.32800434023579,9.0
264.3-274.4,none,0_1,none,0.99,-6.050116999195229,-36.37415884559791,1.219261725324994,0.11708166912198066,0.03429022431373596,0.2262369990348816,-184.08755456145354,-341.79129289557727,-51.4203471069053,8.0
274.4-283.5,none,0_1,none,0.99,-5.751116163029318,-40.0,-1.561571360807399,0.05426237987354398,0.036216914653778076,0.07666024565696716,-65.89825888520859,-124.34014736076233,-13.034948673161466,14.0
283.5-290.1,none,0_1,none,0.91,-3.2010053682228565,-26.82201015549331,2.9674387714973087,0.05685872703790665,0.03146248310804367,0.07778789103031158,-41.22991827915361,-89.84278662861152,-3.7903061455374427,15.0
