feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-15.284735516197765,0.3822894121706486,0.2510955035686493,0.5261402726173401,-1088.717295623979,-1426.1492568695471,-791.7767856561456,1.0
Temperate_N,none,0_1,none,0.98,-6.312379781499613,-28.150178055912413,1.289969300474086,0.4213796502351761,0.1948952078819275,0.6832104325294495,-616.2137274400585,-980.5820688241893,-275.1316540843425,3.0
Tropical,none,0_1,none,0.99,-6.715475854270636,-21.139940729025977,1.408033234636024,0.41981313392519953,0.19808004796504974,0.6591289639472961,-826.2679735787459,-1379.58140941398,-359.5441780459944,2.0
Temperate_S,none,0_1,none,1.0,-12.327644817549597,-40.0,-3.308586229380459,0.44839575022459033,0.21156030893325806,0.6646243929862976,-906.0913388282839,-1455.9340887243861,-388.12171142423085,1.0
Antarctic,none,0_1,none,0.69,-1.7126163493915176,-17.19427595735794,7.887037605341478,0.049997337944805625,0.03527343273162842,0.06985670328140259,-22.452930159313507,-64.59531514546302,2.403477371913141,15.0
mean_pt_1myr_z_trans,none,none,none,0.94,-6.083942570488458,-40.0,1.0007378386584187,0.25947154507040976,0.1373579055070877,0.38868266344070435,-1004.7897796298882,-1554.4363880501992,-563.1917299012125,4.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.75,-2.955439966922736,-18.843442507112204,2.986939780130608,0.22571980528533458,0.1132783442735672,0.3428344130516052,-578.6731396845356,-892.1135447530223,-292.71314436976445,5.0
208-217,none,0_1,none,1.0,-5.898296045185118,-28.362795469086326,-1.0069140142064361,0.1384406079724431,0.05826202407479286,0.241430401802063,-157.9334651272864,-301.5573543346368,-41.18010068403396,6.0
217-227,none,0_1,none,1.0,-30.2932270169383,-40.0,-8.973827302305073,0.11573921233415603,0.06440088152885437,0.18017688393592834,-485.74883588869784,-787.3626047216883,-247.6842107500279,6.0
227-237,none,0_1,none,0.99,-7.277959761483084,-40.0,-1.6776821456892985,0.11564663395285607,0.05623869597911835,0.20074288547039032,-171.93173769704399,-313.41308252293356,-60.757768906946694,7.0
237-242,none,0_1,none,0.76,-1.8455149728770224,-16.985581473679456,2.402765457294015,0.08024443313479424,0.049141619354486465,0.1319907307624817,-72.07154863449229,-129.3042446716995,-15.309826622927176,14.0
242-246.7,none,0_1,none,0.78,-1.8101194678989085,-13.138522980463076,3.172001433165543,0.0931052301824093,0.05506632477045059,0.14425651729106903,-121.73488041604529,-233.73497955436733,-29.728341480552217,9.0
246.7-252,none,0_1,none,0.76,2.647228493428856,-3.972403543770616,12.38554419986968,0.12387925907969474,0.04190020635724068,0.22192879021167755,-162.55121686151907,-297.6945941015847,-31.18917734249999,8.0
252-259.5,none,0_1,none,0.94,-3.138121467339107,-15.013041886847317,2.3932769246849372,0.06234919276088476,0.03887354955077171,0.09049197286367416,-81.43062442013458,-144.5949114009568,-28.083325848461982,12.0
259.5-264.3,none,0_1,none,1.0,-13.381570896598262,-40.0,-3.173865199928672,0.06367905557155609,0.0384376235306263,0.09040039032697678,-83.75410033526516,-155.2974895726711,-22.70134312298387,11.0
264.3-274.4,none,0_1,none,1.0,-15.640678887826141,-40.0,-3.7751077165963838,0.07134865950793028,0.04281294345855713,0.10303095728158951,-166.8295496510882,-280.98314582253215,-70.09714666420814,7.0
274.4-283.5,none,0_1,none,0.98,-6.771440167121741,-40.0,-1.674503962885009,0.054858221858739856,0.03115004301071167,0.07119480520486832,-78.21287803036827,-143.06207079388787,-23.157864202819383,13.0
283.5-290.1,none,0_1,none,1.0,-11.724271516477746,-40.0,-2.827461158857746,0.06976435400545597,0.03923628106713295,0.10060522705316544,-92.89555970157456,-170.5034607745415,-22.031666340571064,10.0
