feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-14.0153277883584,0.46568271934986116,0.3481275737285614,0.5883844494819641,-1116.7010332119914,-1391.4966010629028,-828.369277497585,3.0
Temperate_N,none,0_1,none,0.97,-4.704959264514039,-20.03029874150859,1.2139310260070595,0.6493536692857742,0.35379964113235474,0.9424512982368469,-917.2718175439006,-1433.8135493077498,-408.1674146052592,4.0
Tropical,none,0_1,none,1.0,-8.425190649890656,-32.78860933397665,-1.0705939606587154,0.6046985527873039,0.32162049412727356,0.9333785772323608,-1128.8787739843258,-1842.2513371269856,-471.05021908158983,2.0
Temperate_S,none,0_1,none,1.0,-21.0971176732803,-40.0,-5.074639726094118,0.6764964547753334,0.3828100860118866,0.9513142704963684,-1301.7179478616997,-2181.9743938758024,-471.7105259757311,1.0
Antarctic,none,0_1,none,0.81,-2.371056331093369,-33.84324444170522,3.685241047288168,0.07180395077914,0.05125303566455841,0.09276553243398666,-23.63854088529808,-76.8231157803018,2.660182618097906,18.0
mean_pt_1myr_z_trans,none,none,none,0.77,-1.9078917398738282,-12.720142087533294,4.672897148094994,0.38855493903160093,0.22862595319747925,0.5451104640960693,-1175.2956248001803,-1876.854643312061,-647.3231649756725,6.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.79,-2.648107974108406,-16.743326173889436,4.475671076757871,0.29901699438691137,0.1690085083246231,0.42121702432632446,-627.8658685303868,-942.164756410458,-376.17739278896283,7.0
208-217,none,0_1,none,1.0,-11.528832396047823,-40.0,-3.4885884753679486,0.13780131347477437,0.0900629386305809,0.1987861841917038,-205.7200946478651,-395.00636241625375,-51.718300294506435,10.0
217-227,none,0_1,none,1.0,-10.48890636924748,-40.0,-2.768719391193806,0.21488713957369326,0.12561750411987305,0.3273744285106659,-543.0011923192891,-1023.234536165514,-210.03040765836784,8.0
227-237,none,0_1,none,0.76,-2.05018908602345,-12.72720256430164,3.9361308980181353,0.20197461016476154,0.10010513663291931,0.33335405588150024,-282.42073779192395,-480.98752721228425,-114.63109732829639,9.0
237-242,none,0_1,none,0.79,-2.733562424925937,-12.510616675507569,3.86688928495874,0.0973665177449584,0.06252527981996536,0.14567208290100098,-78.15421372620295,-148.26822712926457,-18.88568091839045,17.0
242-246.7,none,0_1,none,0.92,-3.9584692351232897,-32.18505797928488,2.2478626562757964,0.1479831624776125,0.06806384772062302,0.28278204798698425,-113.49858016974478,-262.518622294368,-16.549336167347292,13.0
246.7-252,none,0_1,none,0.95,5.157149433624909,-3.036963369294064,33.7676590961798,0.537780185341835,0.22148297727108002,0.8985691666603088,-406.8266099983146,-724.8310008884312,-155.98093058964355,5.0
252-259.5,none,0_1,none,0.96,-3.752798436206888,-16.352409171468505,1.3659267680344942,0.09474459305405616,0.05832570791244507,0.1389489620923996,-96.6702239220778,-180.91846082257928,-27.511256857180342,15.0
259.5-264.3,none,0_1,none,0.95,-9.023389244770907,-40.0,-1.225700554192304,0.09830346331000328,0.058325838297605515,0.14235030114650726,-114.82589399762507,-212.65412237742112,-26.443316968277486,12.0
264.3-274.4,none,0_1,none,0.99,-6.625001187834689,-40.0,-1.5119083132418472,0.11582979753613472,0.07462966442108154,0.17851655185222626,-194.78650782763953,-328.6581226898886,-76.79959268007542,11.0
274.4-283.5,none,0_1,none,0.98,-5.567959183468245,-30.29368643790725,6.993578919297081,0.08177486658096314,0.054284702986478806,0.11685439944267273,-94.01282219743682,-174.8540787738541,-24.224147797443038,16.0
283.5-290.1,none,0_1,none,1.0,-11.05135743475671,-40.0,-2.131572544034035,0.0951328431814909,0.06153502315282822,0.13001702725887299,-105.77629497813787,-185.4094938241334,-21.779353995412407,14.0
